protein_id,refseq_product
WP_010994090.1,ParM/StbA family protein
WP_010994091.1,hypothetical protein
WP_010994092.1,MobF family relaxase
WP_010994094.1,hypothetical protein
WP_010994095.1,type IV secretory system conjugative DNA transfer family protein
WP_010994097.1,hypothetical protein
WP_010994098.1,TrbI/VirB10 family protein
WP_010994103.1,hypothetical protein
WP_010994104.1,helicase HerA domain-containing protein
WP_010994105.1,hypothetical protein
WP_010994109.1,ParM/StbA family protein
WP_010994110.1,hypothetical protein
WP_010994111.1,hypothetical protein
WP_010994112.1,hypothetical protein
WP_010994114.1,hypothetical protein
WP_010994115.1,hypothetical protein
WP_010994116.1,hypothetical protein
WP_010994119.1,hypothetical protein
WP_010994124.1,GNAT family N-acetyltransferase
WP_010994125.1,family 10 glycosylhydrolase
WP_010994126.1,zinc ribbon domain-containing protein
WP_010994127.1,RNA-guided endonuclease InsQ/TnpB family protein
WP_010994128.1,IS200/IS605 family transposase
WP_010994130.1,type 1 glutamine amidotransferase domain-containing protein
WP_010994131.1,NADPH-dependent F420 reductase
WP_010994132.1,DEAD/DEAH box helicase
WP_010994133.1,type I restriction endonuclease
WP_010994134.1,ribosome small subunit-dependent GTPase A
WP_010994135.1,beta strand repeat-containing protein
WP_010994136.1,PhoX family protein
WP_010994137.1,AAA family ATPase
WP_010994139.1,hypothetical protein
WP_010994140.1,Rpn family recombination-promoting nuclease/putative transposase
WP_010994143.1,LysR family transcriptional regulator
WP_010994144.1,phosphonate dehydrogenase
WP_010994145.1,"phosphonate ABC transporter, permease protein PhnE"
WP_010994146.1,phosphate/phosphite/phosphonate ABC transporter substrate-binding protein
WP_010994147.1,phosphonate ABC transporter ATP-binding protein
WP_010994148.1,MobV family relaxase
WP_010994149.1,hypothetical protein
WP_010994150.1,DNA primase family protein
WP_010994151.1,plasmid partition protein ParG
WP_010994152.1,ParM/StbA family protein
WP_010994154.1,hypothetical protein
WP_010994155.1,hypothetical protein
WP_010994156.1,hypothetical protein
WP_010994157.1,hypothetical protein
WP_010994158.1,hypothetical protein
WP_010994159.1,hypothetical protein
WP_010994160.1,response regulator
WP_010994161.1,pentapeptide repeat-containing protein
WP_010994162.1,NACHT domain-containing protein
WP_010994163.1,hypothetical protein
WP_010994164.1,hypothetical protein
WP_010994165.1,hypothetical protein
WP_010994166.1,tyrosine-type recombinase/integrase
WP_010994167.1,NACHT domain-containing protein
WP_010994168.1,hypothetical protein
WP_010994169.1,transposase
WP_010994170.1,glycosyltransferase family 39 protein
WP_010994171.1,IS1182 family transposase
WP_010994173.1,ParA family protein
WP_010994174.1,ParB/RepB/Spo0J family partition protein
WP_010994175.1,"ribbon-helix-helix protein, CopG family"
WP_010994176.1,type II toxin-antitoxin system death-on-curing family toxin
WP_010994177.1,hypothetical protein
WP_010994178.1,hypothetical protein
WP_010994179.1,hypothetical protein
WP_010994180.1,hypothetical protein
WP_010994181.1,F0F1 ATP synthase subunit gamma
WP_010994182.1,F0F1 ATP synthase subunit alpha
WP_010994183.1,ATP synthase F1 subunit delta
WP_010994184.1,F0F1 ATP synthase subunit B
WP_010994185.1,F0F1 ATP synthase subunit B'
WP_010994186.1,ATP synthase F0 subunit C
WP_010994187.1,F0F1 ATP synthase subunit A
WP_010994189.1,class I SAM-dependent methyltransferase
WP_010994190.1,hypothetical protein
WP_010994191.1,Imm30 family immunity protein
WP_010994194.1,hypothetical protein
WP_010994197.1,phycobilisome rod-core linker polypeptide
WP_010994198.1,allophycocyanin subunit alpha
WP_010994199.1,allophycocyanin subunit beta
WP_010994200.1,phycobilisome linker polypeptide
WP_010994201.1,SirB1 family protein
WP_010994202.1,SRPBCC family protein
WP_010994203.1,hypothetical protein
WP_010994205.1,hypothetical protein
WP_010994208.1,glycogen synthase GlgA
WP_010994209.1,isochorismate synthase
WP_010994211.1,o-succinylbenzoate synthase
WP_010994212.1,2-succinylbenzoate--CoA ligase
WP_010994213.1,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
WP_010994214.1,tellurite resistance TerB family protein
WP_010994215.1,"dTDP-glucose 4,6-dehydratase"
WP_010994216.1,alpha/beta fold hydrolase
WP_010994218.1,lysylphosphatidylglycerol synthase transmembrane domain-containing protein
WP_010994220.1,DUF2997 domain-containing protein
WP_010994221.1,DUF1257 domain-containing protein
WP_010994222.1,ferredoxin
WP_010994224.1,DUF4335 domain-containing protein
WP_010994225.1,DUF3038 domain-containing protein
WP_010994226.1,endonuclease MutS2
WP_010994227.1,hypothetical protein
WP_010994228.1,GuaB3 family IMP dehydrogenase-related protein
WP_010994231.1,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
WP_010994232.1,glycosyltransferase family 39 protein
WP_010994233.1,"DOPA 4,5-dioxygenase family protein"
WP_010994235.1,2-hydroxyacid dehydrogenase
WP_010994236.1,GumC family protein
WP_010994237.1,DUF427 domain-containing protein
WP_010994238.1,DNA adenine methylase
WP_010994239.1,DUF751 family protein
WP_010994240.1,30S ribosome-binding factor RbfA
WP_010994241.1,DUF4327 family protein
WP_010994242.1,hypothetical protein
WP_010994244.1,P-loop NTPase family protein
WP_010994245.1,adenylate kinase family protein
WP_010994246.1,ribonuclease PH
WP_010994247.1,superoxide dismutase
WP_010994249.1,two-component system response regulator RppA
WP_010994250.1,TIGR01548 family HAD-type hydrolase
WP_010994251.1,hormogonium polysaccharide biosynthesis glycosyltransferase HpsE
WP_010994252.1,BamA/OMP85 family outer membrane protein
WP_010994253.1,ABC transporter permease
WP_010994254.1,ABC transporter ATP-binding protein
WP_010994255.1,DUF6174 domain-containing protein
WP_010994256.1,alpha/beta hydrolase
WP_010994257.1,6-pyruvoyl trahydropterin synthase family protein
WP_010994258.1,hypothetical protein
WP_010994259.1,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
WP_010994261.1,XisI protein
WP_010994263.1,rod shape-determining protein MreC
WP_010994265.1,single-stranded DNA-binding protein
WP_010994268.1,cation:proton antiporter
WP_010994269.1,N-acetylmuramoyl-L-alanine amidase
WP_010994270.1,N-acetylmuramoyl-L-alanine amidase
WP_010994271.1,glutamate racemase
WP_010994273.1,solanesyl diphosphate synthase
WP_010994277.1,hypothetical protein
WP_010994278.1,hypothetical protein
WP_010994280.1,transglutaminase TgpA family protein
WP_010994282.1,extracellular matrix/biofilm regulator RemA
WP_010994283.1,guanylate kinase
WP_010994284.1,photosystem I reaction center protein subunit XI
WP_010994285.1,photosystem I reaction center subunit IX
WP_010994286.1,photosystem I reaction center subunit III
WP_010994287.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
WP_010994288.1,alpha/beta fold hydrolase
WP_010994289.1,hypothetical protein
WP_010994290.1,GNAT family N-acetyltransferase
WP_010994291.1,outer membrane biogenesis proteinTic22
WP_010994292.1,peptide chain release factor N(5)-glutamine methyltransferase
WP_010994293.1,L-threonylcarbamoyladenylate synthase
WP_010994294.1,ATP-binding protein
WP_010994295.1,GNAT family N-acetyltransferase
WP_010994296.1,hypothetical protein
WP_010994297.1,protein translocase subunit SecF
WP_010994298.1,protein translocase subunit SecD
WP_010994299.1,alpha-ketoacid dehydrogenase subunit beta
WP_010994300.1,Uma2 family endonuclease
WP_010994301.1,leucine-rich repeat domain-containing protein
WP_010994302.1,helix-turn-helix domain-containing protein
WP_010994303.1,sulfate/molybdate ABC transporter ATP-binding protein
WP_010994304.1,membrane protein insertion efficiency factor YidD
WP_010994305.1,geranylgeranyl reductase
WP_010994306.1,response regulator transcription factor
WP_010994307.1,YheT family hydrolase
WP_010994308.1,PEP-CTERM sorting domain-containing protein
WP_010994309.1,PhoX family protein
WP_010994310.1,Uma2 family endonuclease
WP_010994311.1,Uma2 family endonuclease
WP_010994312.1,HAD family hydrolase
WP_010994313.1,30S ribosomal protein S1
WP_010994314.1,photosystem II reaction center protein T
WP_010994315.1,photosystem II chlorophyll-binding protein CP47
WP_010994316.1,hypothetical protein
WP_010994317.1,ABC transporter substrate-binding protein
WP_010994318.1,ABC transporter permease
WP_010994319.1,ribonuclease HI
WP_010994321.1,gamma-carotene 1'-hydroxylase CruF
WP_010994322.1,hypothetical protein
WP_010994323.1,50S ribosomal protein L27
WP_010994324.1,50S ribosomal protein L21
WP_010994325.1,type II toxin-antitoxin system VapB family antitoxin
WP_010994326.1,type II toxin-antitoxin system VapC family toxin
WP_010994327.1,nucleotidyltransferase domain-containing protein
WP_010994328.1,hypothetical protein
WP_010994329.1,magnesium chelatase ATPase subunit I
WP_010994330.1,serine hydrolase domain-containing protein
WP_010994331.1,FtsW/RodA/SpoVE family cell cycle protein
WP_010994334.1,hypothetical protein
WP_010994336.1,glycosyltransferase family 4 protein
WP_010994337.1,glycosyltransferase
WP_010994338.1,cytochrome c6 PetJ
WP_010994339.1,hypothetical protein
WP_010994340.1,YqaE/Pmp3 family membrane protein
WP_010994341.1,phage holin family protein
WP_010994342.1,ATP-dependent helicase
WP_010994343.1,trehalase family glycosidase
WP_010994344.1,malto-oligosyltrehalose synthase
WP_010994346.1,alpha-amylase family glycosyl hydrolase
WP_010994347.1,alpha-hydroxy acid oxidase
WP_010994348.1,Txe/YoeB family addiction module toxin
WP_010994349.1,type II toxin-antitoxin system Phd/YefM family antitoxin
WP_010994350.1,M48 family metallopeptidase
WP_010994351.1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
WP_010994353.1,hypothetical protein
WP_010994354.1,diflavin flavoprotein
WP_010994355.1,diflavin flavoprotein
WP_010994357.1,ABC transporter ATP-binding protein
WP_010994358.1,MlaD family protein
WP_010994359.1,hybrid sensor histidine kinase/response regulator
WP_010994361.1,DHH family phosphoesterase
WP_010994363.1,pentapeptide repeat-containing protein
WP_010994364.1,LCP family protein
WP_010994366.1,ABC1 kinase family protein
WP_010994368.1,ABC transporter permease
WP_010994369.1,serine/threonine-protein kinase
WP_010994371.1,hypothetical protein
WP_010994372.1,Spx/MgsR family RNA polymerase-binding regulatory protein
WP_010994373.1,hypothetical protein
WP_010994375.1,DUF6658 family protein
WP_010994376.1,hypothetical protein
WP_010994377.1,nickel pincer cofactor biosynthesis protein LarC
WP_010994378.1,L-threonylcarbamoyladenylate synthase
WP_010994379.1,HetZ-related protein
WP_010994381.1,hypothetical protein
WP_010994382.1,DNA helicase RecQ
WP_010994383.1,hypothetical protein
WP_010994384.1,alkaline phosphatase D family protein
WP_010994385.1,PEP-CTERM sorting domain-containing protein
WP_010994386.1,AI-2E family transporter
WP_010994387.1,NUDIX hydrolase
WP_010994388.1,hypothetical protein
WP_010994389.1,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
WP_010994390.1,geranylgeranyl diphosphate synthase CrtE
WP_010994391.1,divergent PAP2 family protein
WP_010994392.1,hypothetical protein
WP_010994394.1,hypothetical protein
WP_010994395.1,pyridoxine 5'-phosphate synthase
WP_010994396.1,putative bifunctional diguanylate cyclase/phosphodiesterase
WP_010994397.1,isopentenyl transferase family protein
WP_010994398.1,phosphohistidine phosphatase SixA
WP_010994399.1,citrate synthase
WP_010994400.1,NADH-quinone oxidoreductase subunit NuoH
WP_010994401.1,NAD(P)H-quinone oxidoreductase subunit I
WP_010994402.1,NADH-quinone oxidoreductase subunit J
WP_010994403.1,NADH-quinone oxidoreductase subunit NuoK
WP_010994404.1,NAD(+) kinase
WP_010994405.1,GNAT family N-acetyltransferase
WP_010994406.1,hypothetical protein
WP_010994407.1,glycosyltransferase family 39 protein
WP_010994408.1,LPS export ABC transporter periplasmic protein LptC
WP_010994409.1,NYN domain-containing protein
WP_010994410.1,methionine--tRNA ligase
WP_010994411.1,lysophospholipid acyltransferase family protein
WP_010994412.1,alpha/beta fold hydrolase
WP_010994413.1,hypothetical protein
WP_010994414.1,leucyl aminopeptidase
WP_010994415.1,phosphate acyltransferase PlsX
WP_010994416.1,beta-ketoacyl-ACP synthase 3
WP_010994417.1,ACP S-malonyltransferase
WP_010994418.1,lysophospholipid acyltransferase family protein
WP_010994419.1,AI-2E family transporter
WP_010994420.1,DUF2288 domain-containing protein
WP_010994424.1,WD40 repeat domain-containing protein
WP_010994425.1,hypothetical protein
WP_010994426.1,IS110 family transposase
WP_010994427.1,metallophosphoesterase
WP_010994428.1,metallophosphoesterase
WP_010994429.1,cation:proton antiporter
WP_010994430.1,cytochrome b N-terminal domain-containing protein
WP_010994431.1,esterase/lipase family protein
WP_010994432.1,hypothetical protein
WP_010994435.1,plastocyanin
WP_010994436.1,photosystem II cytochrome c-550
WP_010994438.1,carbohydrate ABC transporter permease
WP_010994439.1,pyridoxal-phosphate dependent enzyme
WP_010994441.1,response regulator
WP_010994442.1,thermonuclease family protein
WP_010994443.1,Xaa-Pro aminopeptidase
WP_010994444.1,FG-GAP repeat domain-containing protein
WP_010994445.1,MBL fold metallo-hydrolase
WP_010994447.1,diacylglycerol kinase family protein
WP_010994449.1,DUF3285 domain-containing protein
WP_010994451.1,DUF4114 domain-containing protein
WP_010994452.1,esterase-like activity of phytase family protein
WP_010994453.1,ExeM/NucH family extracellular endonuclease
WP_010994454.1,RNA polymerase sigma factor SigF
WP_010994455.1,magnesium chelatase ATPase subunit D
WP_010994456.1,Uma2 family endonuclease
WP_010994457.1,ribonuclease III
WP_010994459.1,hypothetical protein
WP_010994460.1,eIF2A-related protein
WP_010994461.1,eIF2A-related protein
WP_010994462.1,DMT family transporter
WP_010994463.1,Hsp20/alpha crystallin family protein
WP_010994464.1,uroporphyrinogen-III synthase
WP_010994465.1,HAD family hydrolase
WP_010994466.1,nucleoside hydrolase
WP_010994468.1,hypothetical protein
WP_010994469.1,hypothetical protein
WP_010994470.1,hypothetical protein
WP_010994472.1,Crp/Fnr family transcriptional regulator
WP_010994473.1,DUF2232 domain-containing protein
WP_010994474.1,nicotinate mononucleotide-dependent phosphoribosyltransferase CobT
WP_010994475.1,hypothetical protein
WP_010994478.1,DUF4336 domain-containing protein
WP_010994479.1,AIM24 family protein
WP_010994480.1,CU044_2847 family protein
WP_010994483.1,hypothetical protein
WP_010994484.1,methionine synthase
WP_010994485.1,hemolysin family protein
WP_010994487.1,zinc ribbon domain-containing protein
WP_010994488.1,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
WP_010994489.1,hypothetical protein
WP_010994492.1,alpha/beta fold hydrolase
WP_010994493.1,carbon dioxide-concentrating mechanism protein CcmK
WP_010994494.1,carbon dioxide-concentrating mechanism protein CcmK
WP_010994495.1,NIL domain-containing protein
WP_010994496.1,sulfate ABC transporter permease subunit CysW
WP_010994497.1,sulfate ABC transporter permease subunit CysT
WP_010994498.1,sulfate ABC transporter substrate-binding protein
WP_010994499.1,trifunctional serine/threonine-protein kinase/ATP-binding protein/sensor histidine kinase
WP_010994500.1,FAD-binding oxidoreductase
WP_010994501.1,class I SAM-dependent methyltransferase
WP_010994502.1,hypothetical protein
WP_010994503.1,class II glutamine amidotransferase
WP_010994504.1,anthranilate synthase component I
WP_010994505.1,photosystem I reaction center subunit II PsaD
WP_010994506.1,DICT sensory domain-containing protein
WP_010994507.1,"amylo-alpha-1,6-glucosidase"
WP_010994508.1,hypothetical protein
WP_010994509.1,DUF2973 domain-containing protein
WP_010994510.1,DUF2605 domain-containing protein
WP_010994511.1,threonine--tRNA ligase
WP_010994512.1,hypothetical protein
WP_010994513.1,type II toxin-antitoxin system PemK/MazF family toxin
WP_010994514.1,hypothetical protein
WP_010994516.1,ATP-binding protein
WP_010994518.1,dicarboxylate/amino acid:cation symporter
WP_010994523.1,hypothetical protein
WP_010994525.1,2TM domain-containing protein
WP_010994526.1,antibiotic biosynthesis monooxygenase
WP_010994527.1,SMP-30/gluconolactonase/LRE family protein
WP_010994528.1,SDR family oxidoreductase
WP_010994529.1,LysR family transcriptional regulator
WP_010994530.1,trifunctional serine/threonine-protein kinase/ATP-binding protein/sensor histidine kinase
WP_010994532.1,response regulator
WP_010994534.1,ATP-binding protein
WP_010994535.1,DUF928 domain-containing protein
WP_010994537.1,hypothetical protein
WP_010994539.1,helix-turn-helix domain-containing protein
WP_010994540.1,S8 family serine peptidase
WP_010994541.1,hypothetical protein
WP_010994542.1,filamentous hemagglutinin N-terminal domain-containing protein
WP_010994543.1,filamentous hemagglutinin N-terminal domain-containing protein
WP_010994544.1,hypothetical protein
WP_010994545.1,C2 family cysteine protease
WP_010994547.1,MFS transporter
WP_010994549.1,metallophosphoesterase
WP_010994550.1,8-amino-7-oxononanoate synthase
WP_010994551.1,Holliday junction branch migration protein RuvA
WP_010994553.1,hypothetical protein
WP_010994554.1,NupC/NupG family nucleoside CNT transporter
WP_010994555.1,adenosylcobinamide-GDP ribazoletransferase
WP_010994556.1,CRISPR-associated protein Csx18
WP_010994558.1,CRISPR-associated endonuclease Cas2
WP_010994560.1,rhodanese-related sulfurtransferase
WP_010994561.1,class I SAM-dependent methyltransferase
WP_010994563.1,Fe(3+)-hydroxamate ABC transporter permease FhuB
WP_010994564.1,ABC transporter substrate-binding protein
WP_010994565.1,ABC transporter ATP-binding protein
WP_010994567.1,MFS transporter
WP_010994568.1,lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein
WP_010994569.1,GNAT family N-acetyltransferase
WP_010994570.1,IucA/IucC family protein
WP_010994571.1,pyridoxal phosphate-dependent decarboxylase family protein
WP_010994572.1,aspartate aminotransferase family protein
WP_010994574.1,hypothetical protein
WP_010994575.1,UPF0175 family protein
WP_010994576.1,hypothetical protein
WP_010994577.1,hypothetical protein
WP_010994578.1,hypothetical protein
WP_010994579.1,DUF2103 domain-containing protein
WP_010994580.1,ATP-dependent Clp protease adapter ClpS
WP_010994582.1,hypothetical protein
WP_010994583.1,hypothetical protein
WP_010994584.1,3-deoxy-7-phosphoheptulonate synthase
WP_010994585.1,anthranilate phosphoribosyltransferase
WP_010994586.1,tryptophan synthase subunit beta
WP_010994587.1,tryptophan synthase subunit alpha
WP_010994588.1,zinc-dependent alcohol dehydrogenase family protein
WP_010994590.1,anthranilate synthase
WP_010994591.1,alkaline phosphatase family protein
WP_010994593.1,3-dehydroquinate synthase
WP_010994594.1,bifunctional chorismate mutase/prephenate dehydrogenase
WP_010994596.1,TatD family hydrolase
WP_010994599.1,ScyD/ScyE family protein
WP_010994600.1,ScyD/ScyE family protein
WP_010994601.1,scytonemin biosynthesis cyclase/decarboxylase ScyC
WP_010994602.1,tryptophan dehydrogenase ScyB
WP_010994604.1,scytonemin biosynthesis sensor histidine kinase
WP_010994605.1,response regulator transcription factor
WP_010994608.1,zinc-dependent metalloprotease
WP_010994609.1,pentapeptide repeat-containing protein
WP_010994610.1,hypothetical protein
WP_010994611.1,hypothetical protein
WP_010994612.1,DUF3370 domain-containing protein
WP_010994613.1,small RNA NsiR4-regulated ssr1528 family protein
WP_010994614.1,serine/threonine-protein kinase
WP_010994615.1,ABC transporter ATP-binding protein
WP_010994616.1,NAD-binding protein
WP_010994617.1,DNA gyrase subunit A
WP_010994618.1,response regulator
WP_010994619.1,tetratricopeptide repeat protein
WP_010994620.1,hypothetical protein
WP_010994622.1,ABC transporter permease
WP_010994626.1,allophycocyanin subunit alpha
WP_010994627.1,efflux RND transporter periplasmic adaptor subunit
WP_010994628.1,ABC transporter permease
WP_010994629.1,precorrin-3B C(17)-methyltransferase
WP_010994630.1,AlbA family DNA-binding domain-containing protein
WP_010994631.1,precorrin-2 C(20)-methyltransferase
WP_010994634.1,Dps family protein
WP_010994635.1,hypothetical protein
WP_010994636.1,hypothetical protein
WP_010994637.1,hypothetical protein
WP_010994638.1,translocation/assembly module TamB domain-containing protein
WP_010994639.1,hypothetical protein
WP_010994640.1,TrbI/VirB10 family protein
WP_010994641.1,hypothetical protein
WP_010994643.1,hypothetical protein
WP_010994646.1,hypothetical protein
WP_010994647.1,hypothetical protein
WP_010994649.1,ZIP family metal transporter
WP_010994651.1,SDR family oxidoreductase
WP_010994652.1,nuclear transport factor 2 family protein
WP_010994654.1,hypothetical protein
WP_010994655.1,P-loop NTPase fold protein
WP_010994656.1,SDR family oxidoreductase
WP_010994657.1,SRPBCC family protein
WP_010994658.1,hypothetical protein
WP_010994659.1,ribosome biogenesis GTPase Der
WP_010994660.1,energy-coupling factor transporter transmembrane component T family protein
WP_010994661.1,transcriptional coactivator PipX
WP_010994662.1,YggS family pyridoxal phosphate-dependent enzyme
