protein_id,refseq_product
WP_011242482.1,ATP-dependent sacrificial sulfur transferase LarE
WP_011242486.1,inorganic diphosphatase
WP_011242490.1,solute carrier family 26 protein
WP_011242491.1,acetyl-CoA carboxylase biotin carboxylase subunit
WP_011242493.1,RelA/SpoT family protein
WP_011242495.1,NAD(P)H-dependent oxidoreductase
WP_011242496.1,RluA family pseudouridine synthase
WP_011242497.1,HupE/UreJ family protein
WP_011242500.1,recombination mediator RecR
WP_011242501.1,SH3 domain-containing protein
WP_011242502.1,cytochrome P450
WP_011242503.1,"2-carboxy-1,4-naphthoquinone phytyltransferase"
WP_011242505.1,HHL1-like protein
WP_011242507.1,pentapeptide repeat-containing protein
WP_011242509.1,"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain"
WP_011242514.1,EAL domain-containing protein
WP_011242515.1,MFS transporter
WP_011242517.1,acetate--CoA ligase
WP_011242519.1,YqiA/YcfP family alpha/beta fold hydrolase
WP_011242520.1,2-hydroxyacid dehydrogenase
WP_011242521.1,NADH-quinone oxidoreductase subunit NuoK
WP_011242523.1,NAD(P)H-quinone oxidoreductase subunit I
WP_011242524.1,NADH-quinone oxidoreductase subunit NuoH
WP_011242527.1,peptide deformylase
WP_011242528.1,hypothetical protein
WP_011242533.1,aminotransferase class IV
WP_011242535.1,7-cyano-7-deazaguanine synthase QueC
WP_011242536.1,7-carboxy-7-deazaguanine synthase QueE
WP_011242537.1,chlorophyll a/b-binding protein
WP_011242540.1,DUF1622 domain-containing protein
WP_011242545.1,photosystem I reaction center subunit IV
WP_011242547.1,CHAD domain-containing protein
WP_011242548.1,bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR
WP_011242549.1,metal ABC transporter permease
WP_011242552.1,FADH(2)-oxidizing methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase TrmFO
WP_011242557.1,HTH-type transcriptional activator CmpR
WP_011242559.1,tryptophan--tRNA ligase
WP_011242560.1,ABC transporter permease
WP_011242561.1,DUF3172 domain-containing protein
WP_011242564.1,hypothetical protein
WP_011242566.1,RecQ family ATP-dependent DNA helicase
WP_011242567.1,5-formyltetrahydrofolate cyclo-ligase
WP_011242568.1,DUF362 domain-containing protein
WP_011242570.1,NAD(P)-dependent malic enzyme
WP_011242571.1,2OG-Fe(II) oxygenase family protein
WP_011242576.1,Zn(II)-sensing metalloregulatory transcriptional repressor SmtB
WP_011242588.1,50S ribosomal protein L35
WP_011242589.1,50S ribosomal protein L20
WP_011242590.1,transporter substrate-binding domain-containing protein
WP_011242592.1,tetratricopeptide repeat protein
WP_011242595.1,glycosyltransferase
WP_011242597.1,phosphoglucomutase/phosphomannomutase family protein
WP_011242603.1,NAD(P)/FAD-dependent oxidoreductase
WP_011242609.1,glutathione S-transferase family protein
WP_011242610.1,aminotransferase class V-fold PLP-dependent enzyme
WP_011242613.1,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD
WP_011242614.1,photosystem I reaction center subunit III
WP_011242617.1,hypothetical protein
WP_011242621.1,Crp/Fnr family transcriptional regulator
WP_011242622.1,LysR family transcriptional regulator
WP_011242623.1,HEAT repeat domain-containing protein
WP_011242624.1,ferredoxin--nitrite reductase
WP_011242625.1,CmpA/NrtA family ABC transporter substrate-binding protein
WP_011242626.1,nitrate ABC transporter permease
WP_011242627.1,nitrate ABC transporter ATP-binding protein
WP_011242628.1,nitrate ABC transporter ATP-binding protein
WP_011242631.1,potassium channel family protein
WP_011242632.1,cytochrome b6-f complex iron-sulfur subunit
WP_011242633.1,cytochrome f
WP_011242635.1,precorrin-4 C(11)-methyltransferase
WP_011242637.1,RadC family protein
WP_011242640.1,HlyD family efflux transporter periplasmic adaptor subunit
WP_011242642.1,tRNA pseudouridine(55) synthase TruB
WP_011242644.1,50S ribosomal protein L27
WP_011242647.1,circadian clock protein KaiB
WP_011242648.1,circadian clock protein KaiC
WP_011242652.1,DUF4160 domain-containing protein
WP_011242653.1,DUF2442 domain-containing protein
WP_011242655.1,DUF2442 domain-containing protein
WP_011242656.1,type II toxin-antitoxin system Phd/YefM family antitoxin
WP_011242657.1,Txe/YoeB family addiction module toxin
WP_011242660.1,type II toxin-antitoxin system VapC family toxin
WP_011242661.1,glycosyltransferase family 39 protein
WP_011242664.1,TrmH family RNA methyltransferase
WP_011242666.1,indole-3-glycerol phosphate synthase TrpC
WP_011242667.1,regulatory protein SipA
WP_011242674.1,molybdenum cofactor guanylyltransferase
WP_011242675.1,DUF4346 domain-containing protein
WP_011242677.1,hypothetical protein
WP_011242678.1,6-carboxytetrahydropterin synthase
WP_011242679.1,hypothetical protein
WP_011242681.1,NADH dehydrogenase subunit K
WP_011242683.1,rubredoxin
WP_011242685.1,cytochrome b559 subunit alpha
WP_011242686.1,cytochrome b559 subunit beta
WP_011242692.1,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
WP_011242696.1,recombinase family protein
WP_011242700.1,DMT family transporter
WP_011242701.1,DMT family transporter
WP_011242702.1,NAD-dependent epimerase/dehydratase family protein
WP_011242703.1,MarR family winged helix-turn-helix transcriptional regulator
WP_011242707.1,hypothetical protein
WP_011242709.1,GTPase family protein
WP_011242711.1,bifunctional pantoate--beta-alanine ligase/(d)CMP kinase
WP_011242712.1,DUF305 domain-containing protein
WP_011242714.1,HD domain-containing phosphohydrolase
WP_011242715.1,hypothetical protein
WP_011242716.1,BolA family protein
WP_011242719.1,NYN domain-containing protein
WP_011242720.1,methionine--tRNA ligase
WP_011242725.1,DUF561 domain-containing protein
WP_011242727.1,gamma-glutamylcyclotransferase
WP_011242728.1,peptidase domain-containing ABC transporter
WP_011242730.1,ferredoxin-thioredoxin reductase variable chain
WP_011242733.1,bluetail domain-containing putative surface protein
WP_011242734.1,TldD/PmbA family protein
WP_011242735.1,ABC transporter permease
WP_011242737.1,ribonuclease R family protein
WP_011242738.1,30S ribosomal protein S18
WP_011242739.1,50S ribosomal protein L33
WP_011242744.1,EcsC family protein
WP_011242746.1,universal stress protein
WP_011242747.1,ribosome biogenesis GTPase YlqF
WP_011242748.1,AI-2E family transporter
WP_011242749.1,RluA family pseudouridine synthase
WP_011242753.1,HU family DNA-binding protein
WP_011242754.1,pentapeptide repeat-containing protein
WP_011242755.1,CRR6 family NdhI maturation factor
WP_011242756.1,iron-sulfur cluster carrier protein ApbC
WP_011242759.1,hypothetical protein
WP_011242760.1,HhoA/HhoB/HtrA family serine endopeptidase
WP_011242762.1,"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE"
WP_011242766.1,hypothetical protein
WP_011242767.1,TenA family protein
WP_011242769.1,class I SAM-dependent methyltransferase
WP_011242770.1,class I SAM-dependent methyltransferase
WP_011242771.1,TPM domain-containing protein
WP_011242773.1,plastocyanin
WP_011242774.1,NAD-dependent epimerase/dehydratase family protein
WP_011242775.1,uroporphyrinogen decarboxylase
WP_011242776.1,"1,4-alpha-glucan branching protein GlgB"
WP_011242777.1,hypothetical protein
WP_011242778.1,glycosyltransferase
WP_011242780.1,potassium channel family protein
WP_011242782.1,ATP-dependent DNA helicase RecG
WP_011242783.1,hypothetical protein
WP_011242785.1,YbjN domain-containing protein
WP_011242786.1,hypothetical protein
WP_011242787.1,hypothetical protein
WP_011242788.1,ribonuclease PH
WP_011242790.1,bifunctional nuclease family protein
WP_011242791.1,aldo/keto reductase
WP_011242794.1,DUF4145 domain-containing protein
WP_011242795.1,type I restriction endonuclease subunit R
WP_011242797.1,DUF4351 domain-containing protein
WP_011242798.1,DUF4351 domain-containing protein
WP_011242799.1,DUF4351 domain-containing protein
WP_011242800.1,type I restriction-modification system subunit M
WP_011242801.1,DUF1517 domain-containing protein
WP_011242802.1,sulfur carrier protein ThiS
WP_011242804.1,helix-turn-helix domain-containing protein
WP_011242806.1,HEAT repeat domain-containing protein
WP_011242807.1,phycocyanin subunit alpha
WP_011242808.1,phycocyanin subunit beta
WP_011242809.1,phycobilisome linker polypeptide
WP_011242810.1,phycobilisome rod-core linker polypeptide
WP_011242816.1,FAD-dependent thymidylate synthase
WP_011242817.1,diacylglycerol/polyprenol kinase family protein
WP_011242818.1,hypothetical protein
WP_011242819.1,GIY-YIG nuclease family protein
WP_011242820.1,DUF1348 family protein
WP_011242826.1,alpha-E domain-containing protein
WP_011242829.1,branched-chain amino acid transaminase
WP_011242830.1,alpha/beta fold hydrolase
WP_011242832.1,Rqc2 family fibronectin-binding protein
WP_011242835.1,hypothetical protein
WP_011242836.1,DUF1350 family protein
WP_011242837.1,2-succinylbenzoate--CoA ligase
WP_011242838.1,o-succinylbenzoate synthase
WP_011242839.1,4-alpha-glucanotransferase
WP_011242840.1,hypothetical protein
WP_011242842.1,chemotaxis protein CheW
WP_011242843.1,methyl-accepting chemotaxis protein
WP_011242845.1,response regulator transcription factor
WP_011242847.1,pseudouridine synthase
WP_011242850.1,class II fumarate hydratase
WP_011242851.1,tetratricopeptide repeat protein
WP_011242852.1,HAD family hydrolase
WP_011242859.1,50S ribosomal protein L32
WP_011242865.1,proton extrusion protein PcxA
WP_011242866.1,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
WP_011242868.1,MgPME-cyclase complex family protein
WP_011242869.1,transcriptional repressor
WP_011242870.1,glycosyltransferase family 4 protein
WP_011242871.1,MFS transporter
WP_011242872.1,DNA repair protein RecO
WP_011242873.1,deoxyribose-phosphate aldolase
WP_011242875.1,ATP-binding protein
WP_011242877.1,DinB family protein
WP_011242878.1,ferredoxin--NADP reductase
WP_011242879.1,phosphoribulokinase
WP_011242881.1,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
WP_011242883.1,RidA family protein
WP_011242885.1,"C-3',4' desaturase CrtD"
WP_011242886.1,dienelactone hydrolase family protein
WP_011242887.1,hydroxymethylbilane synthase
WP_011242889.1,inositol monophosphatase family protein
WP_011242890.1,hypothetical protein
WP_011242891.1,MGMT family protein
WP_011242895.1,GTPase ObgE
WP_011242896.1,phosphoribosylglycinamide formyltransferase
WP_011242897.1,"cob(I)yrinic acid a,c-diamide adenosyltransferase"
WP_011242898.1,CobW family GTP-binding protein
WP_011242899.1,hypothetical protein
WP_011242901.1,EVE domain-containing protein
WP_011242904.1,ABC transporter substrate-binding protein
WP_011242905.1,carbohydrate ABC transporter permease
WP_011242907.1,ABC transporter ATP-binding protein
WP_011242908.1,flavin monoamine oxidase family protein
WP_011242909.1,arsenosugar biosynthesis radical SAM (seleno)protein ArsS
WP_011242910.1,bifunctional folylpolyglutamate synthase/dihydrofolate synthase
WP_011242912.1,ATP-dependent zinc metalloprotease FtsH2
WP_011242913.1,ABC-F family ATP-binding cassette domain-containing protein
WP_011242914.1,helix-turn-helix domain-containing protein
WP_011242915.1,adenylyl-sulfate kinase
WP_011242917.1,MBL fold metallo-hydrolase
WP_011242921.1,nitrate reductase associated protein
WP_011242925.1,UDP-3-O-acyl-N-acetylglucosamine deacetylase
WP_011242928.1,tetratricopeptide repeat protein
WP_011242929.1,phosphoribosylamine--glycine ligase
WP_011242931.1,S-methyl-5'-thioadenosine phosphorylase
WP_011242933.1,DUF3593 domain-containing protein
WP_011242934.1,photosystem I reaction center subunit PsaK
WP_011242937.1,NIL domain-containing protein
WP_011242938.1,hypothetical protein
WP_011242939.1,type II 3-dehydroquinate dehydratase
WP_011242940.1,tRNA-(ms[2]io[6]A)-hydroxylase
WP_011242942.1,DNA polymerase III subunit gamma/tau
WP_011242943.1,hypothetical protein
WP_011242944.1,tetratricopeptide repeat protein
WP_011242945.1,HesB/IscA family protein
WP_011242949.1,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase
WP_011242952.1,hypothetical protein
WP_011242955.1,cell division topological specificity factor MinE
WP_011242956.1,septum site-determining protein MinD
WP_011242957.1,hypothetical protein
WP_011242958.1,shikimate kinase
WP_011242960.1,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG"
WP_011242961.1,DUF1830 domain-containing protein
WP_011242964.1,phosphomannose isomerase type II C-terminal cupin domain
WP_011242965.1,30S ribosomal protein S12
WP_011242966.1,30S ribosomal protein S7
WP_011242967.1,elongation factor G
WP_011242968.1,elongation factor Tu
WP_011242969.1,30S ribosomal protein S10
WP_011242970.1,LON peptidase substrate-binding domain-containing protein
WP_011242972.1,DUF1997 domain-containing protein
WP_011242973.1,ribonuclease HII
WP_011242975.1,TIGR03960 family B12-binding radical SAM protein
WP_011242977.1,hypothetical protein
WP_011242979.1,DUF4062 domain-containing protein
WP_011242980.1,hypothetical protein
WP_011242982.1,type II toxin-antitoxin system HicA family toxin
WP_011242987.1,YajQ family cyclic di-GMP-binding protein
WP_011242988.1,hypothetical protein
WP_011242989.1,phosphotransacetylase family protein
WP_011242990.1,type IV pilus biogenesis protein EbsA
WP_011242991.1,bifunctional sterol desaturase/short chain dehydrogenase
WP_011242992.1,chemotaxis protein CheW
WP_011242996.1,response regulator transcription factor
WP_011242999.1,LL-diaminopimelate aminotransferase
WP_011243002.1,DUF2811 domain-containing protein
WP_011243004.1,excinuclease ABC subunit UvrA
WP_011243005.1,type IV pilus twitching motility protein PilT
WP_011243009.1,hypothetical protein
WP_011243013.1,Nit6803 family nitrilase
WP_011243020.1,IS5 family transposase
WP_011243023.1,DUF2237 family protein
WP_011243025.1,serine hydrolase
WP_011243028.1,AI-2E family transporter
WP_011243029.1,ABC transporter permease
WP_011243030.1,ABC transporter substrate-binding protein
WP_011243032.1,phosphoribosylformylglycinamidine synthase subunit PurQ
WP_011243034.1,Fur family transcriptional regulator
WP_011243036.1,ABC transporter ATP-binding protein
WP_011243037.1,indolepyruvate ferredoxin oxidoreductase subunit alpha
WP_011243038.1,ATP phosphoribosyltransferase regulatory subunit
WP_011243039.1,J domain-containing protein
WP_011243043.1,Rpn family recombination-promoting nuclease/putative transposase
WP_011243044.1,16S rRNA (uracil(1498)-N(3))-methyltransferase
WP_011243045.1,MBL fold metallo-hydrolase
WP_011243046.1,4-hydroxythreonine-4-phosphate dehydrogenase PdxA
WP_011243047.1,ABC transporter permease
WP_011243052.1,crossover junction endodeoxyribonuclease RuvC
WP_011243054.1,hypothetical protein
WP_011243055.1,PspA/IM30 family protein
WP_011243056.1,PspA/IM30 family protein
WP_011243060.1,hypothetical protein
WP_011243061.1,glutathione S-transferase family protein
WP_011243062.1,metallophosphoesterase family protein
WP_011243066.1,ATP phosphoribosyltransferase
WP_011243072.1,geranylgeranyl diphosphate synthase CrtE
WP_011243073.1,divergent PAP2 family protein
WP_011243074.1,alpha/beta fold hydrolase
WP_011243076.1,chromophore lyase CpcT/CpeT
WP_011243077.1,glutathione S-transferase family protein
WP_011243082.1,BRO family protein
WP_011243085.1,Panacea domain-containing protein
WP_011243086.1,hypothetical protein
WP_011243089.1,glycoside hydrolase family protein
WP_011243092.1,tail protein X
WP_011243093.1,phage tail protein
WP_011243101.1,hypothetical protein
WP_011243102.1,phage tail protein
WP_011243103.1,baseplate assembly protein
WP_011243105.1,PAAR domain-containing protein
WP_011243108.1,DUF2190 family protein
WP_011243109.1,prohead protease/major capsid protein fusion protein
WP_011243110.1,phage portal protein
WP_011243111.1,phage head-tail joining protein
WP_011243112.1,phage terminase large subunit family protein
WP_011243114.1,hypothetical protein
WP_011243115.1,hypothetical protein
WP_011243117.1,VRR-NUC domain-containing protein
WP_011243118.1,DEAD/DEAH box helicase
WP_011243119.1,hypothetical protein
WP_011243121.1,hypothetical protein
WP_011243123.1,hypothetical protein
WP_011243124.1,hypothetical protein
WP_011243125.1,dCTP deaminase
WP_011243126.1,tyrosine-type recombinase/integrase
WP_011243128.1,N-acetylmuramoyl-L-alanine amidase
WP_011243129.1,(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
WP_011243130.1,carboxyl-terminal processing protease CtpC
WP_011243131.1,carbamoyl-phosphate synthase large subunit
WP_011243133.1,hypothetical protein
WP_011243134.1,ABC1 kinase family protein
WP_011243138.1,Vat family streptogramin A O-acetyltransferase
WP_011243141.1,acyl-CoA thioesterase
WP_011243142.1,universal stress protein
WP_011243143.1,photosystem II reaction center protein PsbM
WP_011243145.1,photosystem II chlorophyll-binding protein CP47
WP_011243146.1,photosystem II reaction center protein T
WP_011243147.1,transcriptional regulator NrdR
WP_011243148.1,30S ribosomal protein S1
WP_011243149.1,HAD family hydrolase
WP_011243150.1,alpha/beta hydrolase
WP_011243153.1,ArsR/SmtB family transcription factor
WP_011243154.1,DUF3352 domain-containing protein
WP_011243155.1,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofH"
WP_011243156.1,chaperonin GroEL
WP_011243157.1,3-oxoacyl-[acyl-carrier-protein] reductase
WP_011243158.1,potassium channel family protein
WP_011243161.1,sterol desaturase family protein
WP_011243163.1,ribonuclease D
WP_011243167.1,oxygen-dependent coproporphyrinogen oxidase
WP_011243168.1,A/G-specific adenine glycosylase
WP_011243171.1,aspartate carbamoyltransferase catalytic subunit
WP_011243172.1,DNA-3-methyladenine glycosylase
WP_011243173.1,DUF6679 family protein
WP_011243174.1,J domain-containing protein
WP_011243175.1,creatininase family protein
WP_011243177.1,adenylate/guanylate cyclase domain-containing protein
WP_011243182.1,DUF2839 domain-containing protein
WP_011243183.1,DUF1815 family protein
WP_011243185.1,photosystem II D2 protein (photosystem q(a) protein)
WP_011243187.1,peptidylprolyl isomerase
WP_011243188.1,NAD(P)/FAD-dependent oxidoreductase
WP_011243189.1,primosomal protein N'
WP_011243190.1,GNAT family N-acetyltransferase
WP_011243194.1,circadian input-output histidine kinase CikA
WP_011243195.1,peroxiredoxin
WP_011243197.1,ABC transporter ATP-binding protein
WP_011243198.1,phosphopyruvate hydratase
WP_011243199.1,lactoylglutathione lyase
WP_011243200.1,ATP-dependent chaperone ClpB
WP_011243201.1,preprotein translocase subunit SecE
WP_011243205.1,50S ribosomal protein L10
WP_011243206.1,50S ribosomal protein L7/L12
WP_011243207.1,DUF3747 domain-containing protein
WP_011243208.1,polyamine aminopropyltransferase
WP_011243209.1,HAD family hydrolase
WP_011243210.1,dihydroxy-acid dehydratase
WP_011243215.1,hypothetical protein
WP_011243216.1,SIMPL domain-containing protein
WP_011243220.1,heat-inducible transcriptional repressor HrcA
WP_011243221.1,rhodanese-like domain-containing protein
WP_011243222.1,DUF3352 domain-containing protein
WP_011243223.1,phosphohistidine phosphatase SixA
WP_011243229.1,hypothetical protein
WP_011243233.1,glucose-1-phosphate adenylyltransferase
WP_011243234.1,hypothetical protein
WP_011243235.1,serine/threonine-protein kinase
WP_011243236.1,TetR/AcrR family transcriptional regulator
WP_011243239.1,methyltransferase domain-containing protein
WP_011243241.1,CocE/NonD family hydrolase
WP_011243244.1,TMEM165/GDT1 family protein
WP_011243245.1,TMEM165/GDT1 family protein
WP_011243246.1,YkgJ family cysteine cluster protein
WP_011243247.1,formate-dependent phosphoribosylglycinamide formyltransferase
WP_011243248.1,valine--tRNA ligase
WP_011243252.1,magnesium chelatase ATPase subunit I
WP_011243253.1,YheT family hydrolase
WP_011243254.1,hypothetical protein
WP_011243256.1,glycosyltransferase
WP_011243257.1,NAD-dependent epimerase/dehydratase family protein
WP_011243258.1,photosystem II assembly protein Psb34
WP_011243261.1,DUF3598 family protein
WP_011243263.1,MFS transporter
WP_011243264.1,trans-splicing intein-formed DNA polymerase III subunit alpha C-terminal partner DnaE-C
WP_011243265.1,RpoD/SigA family RNA polymerase sigma factor
WP_011243268.1,HAD family hydrolase
WP_011243269.1,FHA domain-containing protein
WP_011243270.1,DevA family ABC transporter ATP-binding protein
WP_011243271.1,excinuclease ABC subunit UvrB
WP_011243272.1,DUF3531 family protein
WP_011243275.1,Hsp33 family molecular chaperone HslO
WP_011243276.1,CPP1-like family protein
WP_011243277.1,response regulator transcription factor
WP_011243278.1,M48 family metallopeptidase
WP_011243279.1,redox-regulated ATPase YchF
WP_011243281.1,non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase
WP_011243285.1,hypothetical protein
WP_011243286.1,hypothetical protein
WP_011243287.1,cation:proton antiporter
WP_011243288.1,hypothetical protein
WP_011243292.1,hypothetical protein
WP_011243294.1,CPBP family glutamic-type intramembrane protease
WP_011243295.1,transketolase
WP_011243296.1,beta-ketoacyl-ACP synthase II
WP_011243297.1,acyl carrier protein
WP_011243298.1,photosystem I iron-sulfur center protein PsaC
WP_011243299.1,glutamine--fructose-6-phosphate transaminase (isomerizing)
WP_011243300.1,DUF433 domain-containing protein
WP_011243301.1,DUF5615 family PIN-like protein
WP_011243304.1,6-phosphogluconolactonase
WP_011243308.1,3-dehydroquinate synthase
WP_011243310.1,MAPEG family protein
WP_011243311.1,pentapeptide repeat-containing protein
WP_011243312.1,hypothetical protein
WP_011243314.1,AI-2E family transporter
WP_011243315.1,single-stranded-DNA-specific exonuclease RecJ
WP_011243316.1,S41 family peptidase
WP_011243319.1,LPS export ABC transporter ATP-binding protein
WP_011243321.1,c-type cytochrome biogenesis protein CcsB
WP_011243322.1,HAD-IB family phosphatase
WP_011243324.1,geranylgeranyl reductase family protein
WP_011243325.1,ribosome recycling factor
WP_011243327.1,class II fructose-bisphosphatase
WP_011243328.1,glutamyl-tRNA reductase
WP_011243329.1,TIGR03792 family protein
WP_011243330.1,GNAT family N-acetyltransferase
