old_locus_tag,protein_id
Synpcc7942_0127,WP_011243689.1
Synpcc7942_0128,WP_011243688.1
Synpcc7942_0129,WP_011243687.1
Synpcc7942_0130,WP_011377455.1
Synpcc7942_0131,WP_011377456.1
Synpcc7942_0132,WP_011377457.1
Synpcc7942_0133,WP_199290675.1
Synpcc7942_0134,WP_011377459.1
Synpcc7942_0135,WP_011243682.1
Synpcc7942_0136,WP_011243681.1
Synpcc7942_0137,WP_011243680.1
Synpcc7942_0138,WP_011377460.1
Synpcc7942_0139,WP_011377461.1
Synpcc7942_0141,WP_011377462.1
Synpcc7942_0142,WP_011377463.1
Synpcc7942_0143,WP_011377464.1
Synpcc7942_0144,WP_011243673.1
Synpcc7942_0145,WP_011243672.1
Synpcc7942_0146,WP_011377465.1
Synpcc7942_0147,WP_011243670.1
Synpcc7942_0148,WP_011377466.1
Synpcc7942_0149,WP_011377467.1
Synpcc7942_0150,WP_155813908.1
Synpcc7942_0151,WP_011377469.1
Synpcc7942_0152,WP_011243665.1
Synpcc7942_0153,WP_199290676.1
Synpcc7942_0154,WP_011243663.1
Synpcc7942_0155,WP_011377471.1
Synpcc7942_0156,WP_011243662.1
Synpcc7942_0157,WP_011243661.1
Synpcc7942_0158,WP_011377472.1
Synpcc7942_0159,WP_011243659.1
Synpcc7942_0160,WP_011243658.1
Synpcc7942_0161,WP_231621364.1
Synpcc7942_0162,WP_011243656.1
Synpcc7942_0163,WP_011243655.1
Synpcc7942_0164,WP_011243654.1
Synpcc7942_0165,WP_011243653.1
Synpcc7942_0166,WP_011243652.1
Synpcc7942_0167,WP_011377473.1
Synpcc7942_0168,WP_011377474.1
Synpcc7942_0169,WP_011243650.1
Synpcc7942_0170,WP_039755496.1
Synpcc7942_0171,WP_039755494.1
Synpcc7942_0172,WP_011377476.1
Synpcc7942_0173,WP_011243648.1
Synpcc7942_0174,WP_011243647.1
Synpcc7942_0175,WP_011377477.1
Synpcc7942_0176,WP_173282528.1
Synpcc7942_0177,WP_011377478.1
Synpcc7942_0178,WP_039755888.1
Synpcc7942_0179,WP_011243643.1
Synpcc7942_0180,WP_011243642.1
Synpcc7942_0181,WP_011243641.1
Synpcc7942_0182,WP_011377481.1
Synpcc7942_0183,WP_011377482.1
Synpcc7942_0184,WP_011243638.1
Synpcc7942_0185,WP_011377483.1
Synpcc7942_0186,WP_011377484.1
Synpcc7942_0187,WP_011243636.1
Synpcc7942_0188,WP_011243635.1
Synpcc7942_0189,WP_173282570.1
Synpcc7942_0190,WP_011243633.1
Synpcc7942_0191,WP_011243632.1
Synpcc7942_0192,WP_011243631.1
Synpcc7942_0193,WP_011243630.1
Synpcc7942_0194,WP_011377486.1
Synpcc7942_0195,WP_011243628.1
Synpcc7942_0196,WP_011243627.1
Synpcc7942_0197,WP_011377487.1
Synpcc7942_0198,WP_011243625.1
Synpcc7942_0199,WP_011377488.1
Synpcc7942_0200,WP_011377489.1
Synpcc7942_0201,WP_011243622.1
Synpcc7942_0202,WP_011377490.1
Synpcc7942_0203,WP_011377491.1
Synpcc7942_0204,WP_011243619.1
Synpcc7942_0205,WP_011377492.1
Synpcc7942_0206,WP_011243617.1
Synpcc7942_0207,WP_011377493.1
Synpcc7942_0208,WP_011377494.1
Synpcc7942_0209,WP_173282566.1
Synpcc7942_0210,WP_011377495.1
Synpcc7942_0211,WP_011377496.1
Synpcc7942_0212,WP_011377497.1
Synpcc7942_0213,WP_231621362.1
Synpcc7942_0214,WP_039755486.1
Synpcc7942_0215,WP_011243609.1
Synpcc7942_0216,WP_423218607.1
Synpcc7942_0217,WP_011377500.1
Synpcc7942_0218,WP_011243606.1
Synpcc7942_0219,WP_011243605.1
Synpcc7942_0220,WP_011243604.1
Synpcc7942_0221,WP_011243603.1
Synpcc7942_0222,WP_011243602.1
Synpcc7942_0223,WP_011377501.1
Synpcc7942_0224,WP_011243601.1
Synpcc7942_0225,WP_011243600.1
Synpcc7942_0226,WP_011243599.1
Synpcc7942_0227,WP_011243598.1
Synpcc7942_0228,WP_011243597.1
Synpcc7942_0229,WP_011377502.1
Synpcc7942_0230,WP_011243595.1
Synpcc7942_0231,WP_011243594.1
Synpcc7942_0232,WP_011243593.1
Synpcc7942_0233,WP_011243592.1
Synpcc7942_0234,WP_011243591.1
Synpcc7942_0235,WP_011243590.1
Synpcc7942_0236,WP_011243589.1
Synpcc7942_0237,WP_011243588.1
Synpcc7942_0238,WP_011243587.1
Synpcc7942_0239,WP_011243586.1
Synpcc7942_0240,WP_011243585.1
Synpcc7942_0241,WP_011377504.1
Synpcc7942_0242,WP_231621361.1
Synpcc7942_0243,WP_011243582.1
Synpcc7942_0244,WP_011243581.1
Synpcc7942_0245,WP_011243580.1
Synpcc7942_0246,WP_011243579.1
Synpcc7942_0247,WP_011377506.1
Synpcc7942_0248,WP_011377507.1
Synpcc7942_0249,WP_011243576.1
Synpcc7942_0250,WP_011243575.1
Synpcc7942_0251,WP_011243574.1
Synpcc7942_0252,WP_011243573.1
Synpcc7942_0253,WP_011377508.1
Synpcc7942_0254,WP_011243571.1
Synpcc7942_0255,WP_011377509.1
Synpcc7942_0256,WP_039755882.1
Synpcc7942_0257,WP_011243568.1
Synpcc7942_0258,WP_011377511.1
Synpcc7942_0259,WP_011243566.1
Synpcc7942_0260,WP_011377512.1
Synpcc7942_0261,WP_011377513.1
Synpcc7942_0262,WP_011243563.1
Synpcc7942_0263,WP_011243562.1
Synpcc7942_0264,WP_011243561.1
Synpcc7942_0265,WP_011243560.1
Synpcc7942_0266,WP_011243559.1
Synpcc7942_0267,WP_011243558.1
Synpcc7942_0268,WP_231621360.1
Synpcc7942_0269,WP_011377515.1
Synpcc7942_0270,WP_011243555.1
Synpcc7942_0271,WP_011243554.1
Synpcc7942_0272,WP_011243553.1
Synpcc7942_0273,WP_011243552.1
Synpcc7942_0274,WP_011243551.1
Synpcc7942_0275,WP_011243550.1
Synpcc7942_0276,WP_011243549.1
Synpcc7942_0277,WP_011243548.1
Synpcc7942_0278,WP_011243547.1
Synpcc7942_0279,WP_011377518.1
Synpcc7942_0280,WP_011377519.1
Synpcc7942_0281,WP_011243544.1
Synpcc7942_0282,WP_011243543.1
Synpcc7942_0283,WP_011243541.1
Synpcc7942_0284,WP_011243540.1
Synpcc7942_0285,WP_011243539.1
Synpcc7942_0286,WP_011243538.1
Synpcc7942_0287,WP_011377520.1
Synpcc7942_0288,WP_011243536.1
Synpcc7942_0289,WP_011243535.1
Synpcc7942_0290,WP_011377521.1
Synpcc7942_0291,WP_011243533.1
Synpcc7942_0292,WP_011377522.1
Synpcc7942_0293,WP_011243531.1
Synpcc7942_0294,WP_011243530.1
Synpcc7942_0295,WP_011243529.1
Synpcc7942_0296,WP_011377523.1
Synpcc7942_0297,WP_011243527.1
Synpcc7942_0298,WP_011243526.1
Synpcc7942_0299,WP_011243525.1
Synpcc7942_0300,WP_039755477.1
Synpcc7942_0301,WP_011377525.1
Synpcc7942_0302,WP_011377526.1
Synpcc7942_0303,WP_011243521.1
Synpcc7942_0304,WP_011243520.1
Synpcc7942_0305,WP_011377528.1
Synpcc7942_0307,WP_011377529.1
Synpcc7942_0308,WP_011243517.1
Synpcc7942_0309,WP_011377530.1
Synpcc7942_0310,WP_011243515.1
Synpcc7942_0311,WP_011243514.1
Synpcc7942_0312,WP_011377531.1
Synpcc7942_0313,WP_011243512.1
Synpcc7942_0314,WP_231621359.1
Synpcc7942_0315,WP_011377532.1
Synpcc7942_0316,WP_011243509.1
Synpcc7942_0317,WP_011377533.1
Synpcc7942_0318,WP_011377534.1
Synpcc7942_0319,WP_011243506.1
Synpcc7942_0320,WP_011243505.1
Synpcc7942_0321,WP_011243504.1
Synpcc7942_0322,WP_011243503.1
Synpcc7942_0323,WP_011243502.1
Synpcc7942_0324,WP_011377535.1
Synpcc7942_0325,WP_011243500.1
Synpcc7942_0326,WP_011243499.1
Synpcc7942_0327,WP_011243498.1
Synpcc7942_0328,WP_011243497.1
Synpcc7942_0329,WP_011243496.1
Synpcc7942_0330,WP_231621358.1
Synpcc7942_0331,WP_196794062.1
Synpcc7942_0332,WP_011243493.1
Synpcc7942_0333,WP_011243492.1
Synpcc7942_0334,WP_011377538.1
Synpcc7942_0335,WP_011243490.1
Synpcc7942_0336,WP_011377539.1
Synpcc7942_0337,WP_011377540.1
Synpcc7942_0338,WP_011243487.1
Synpcc7942_0339,WP_011243486.1
Synpcc7942_0340,WP_011243485.1
Synpcc7942_0341,WP_011243484.1
Synpcc7942_0342,WP_011377541.1
Synpcc7942_0343,WP_011377542.1
Synpcc7942_0344,WP_011243481.1
Synpcc7942_0345,WP_011243480.1
Synpcc7942_0346,WP_011243479.1
Synpcc7942_0347,WP_011243478.1
Synpcc7942_0348,WP_011243477.1
Synpcc7942_0349,WP_011243476.1
Synpcc7942_0350,WP_231621357.1
Synpcc7942_0351,WP_011243474.1
Synpcc7942_0352,WP_407830096.1
Synpcc7942_0353,WP_011377543.1
Synpcc7942_0354,WP_011377544.1
Synpcc7942_0355,WP_011243470.1
Synpcc7942_0356,WP_011243469.1
Synpcc7942_0357,WP_011243468.1
Synpcc7942_0358,WP_011243467.1
Synpcc7942_0359,WP_011377545.1
Synpcc7942_0360,WP_011243465.1
Synpcc7942_0361,WP_011243464.1
Synpcc7942_0362,WP_011243463.1
Synpcc7942_0363,WP_011377546.1
Synpcc7942_0364,WP_011243461.1
Synpcc7942_0365,WP_231621356.1
Synpcc7942_0366,WP_011243459.1
Synpcc7942_0367,WP_011377547.1
Synpcc7942_0368,WP_039755458.1
Synpcc7942_0369,WP_011377549.1
Synpcc7942_0370,WP_011243455.1
Synpcc7942_0371,WP_011377550.1
Synpcc7942_0372,WP_011377551.1
Synpcc7942_0373,WP_011377552.1
Synpcc7942_0374,WP_011377553.1
Synpcc7942_0375,WP_011243451.1
Synpcc7942_0376,WP_011377554.1
Synpcc7942_0377,WP_011243449.1
Synpcc7942_0378,WP_011243448.1
Synpcc7942_0379,WP_011377555.1
Synpcc7942_0380,WP_011243446.1
Synpcc7942_0381,WP_231621355.1
Synpcc7942_0382,WP_011243444.1
Synpcc7942_0383,WP_011377557.1
Synpcc7942_0384,WP_011377558.1
Synpcc7942_0385,WP_039755450.1
Synpcc7942_0386,WP_011243440.1
Synpcc7942_0387,WP_407830097.1
Synpcc7942_0388,WP_011377559.1
Synpcc7942_0389,WP_039755448.1
Synpcc7942_0390,WP_011243437.1
Synpcc7942_0391,WP_011243436.1
Synpcc7942_0392,WP_011377561.1
Synpcc7942_0393,WP_011377562.1
Synpcc7942_0394,WP_011243433.1
Synpcc7942_0395,WP_011377563.1
Synpcc7942_0396,WP_011377564.1
Synpcc7942_0397,WP_011377565.1
Synpcc7942_0398,WP_011243429.1
Synpcc7942_0399,WP_011243428.1
Synpcc7942_0400,WP_011243427.1
Synpcc7942_0401,WP_231621354.1
Synpcc7942_0402,WP_011243425.1
Synpcc7942_0403,WP_011243424.1
Synpcc7942_0404,WP_155813972.1
Synpcc7942_0405,WP_011377567.1
Synpcc7942_0406,WP_011243421.1
Synpcc7942_0407,WP_011243420.1
Synpcc7942_0408,WP_011377568.1
Synpcc7942_0409,WP_011377569.1
Synpcc7942_0410,WP_011243418.1
Synpcc7942_0411,WP_011243417.1
Synpcc7942_0412,WP_011243416.1
Synpcc7942_0414,WP_011377571.1
Synpcc7942_0415,WP_011243413.1
Synpcc7942_0416,WP_039755442.1
Synpcc7942_0417,WP_011243411.1
Synpcc7942_0418,WP_011243410.1
Synpcc7942_0419,WP_011243409.1
Synpcc7942_0420,WP_011377573.1
Synpcc7942_0421,WP_011377574.1
Synpcc7942_0422,WP_011243406.1
Synpcc7942_0423,WP_011243405.1
Synpcc7942_0424,WP_011243404.1
Synpcc7942_0425,WP_011243403.1
Synpcc7942_0426,WP_011243402.1
Synpcc7942_0427,WP_011243401.1
Synpcc7942_0428,WP_011243400.1
Synpcc7942_0429,WP_011377575.1
Synpcc7942_0430,WP_011377576.1
Synpcc7942_0431,WP_011243397.1
Synpcc7942_0432,WP_011243396.1
Synpcc7942_0433,WP_011377578.1
Synpcc7942_0434,WP_011243394.1
Synpcc7942_0435,WP_011243393.1
Synpcc7942_0436,WP_011243392.1
Synpcc7942_0437,WP_011377579.1
Synpcc7942_0438,WP_011377580.1
Synpcc7942_0439,WP_011243390.1
Synpcc7942_0440,WP_011243389.1
Synpcc7942_0441,WP_049749323.1
Synpcc7942_0442,WP_011377582.1
Synpcc7942_0443,WP_011243386.1
Synpcc7942_0444,WP_011243385.1
Synpcc7942_0445,WP_011243384.1
Synpcc7942_0446,WP_011243383.1
Synpcc7942_0447,WP_011243382.1
Synpcc7942_0448,WP_011243381.1
Synpcc7942_0449,WP_011243380.1
Synpcc7942_0450,WP_011243379.1
Synpcc7942_0451,WP_231621352.1
Synpcc7942_0452,WP_049749342.1
Synpcc7942_0453,WP_011377584.1
Synpcc7942_0454,WP_011243375.1
Synpcc7942_0455,WP_011377585.1
Synpcc7942_0456,WP_006195022.1
Synpcc7942_0457,WP_011243373.1
Synpcc7942_0458,WP_011243372.1
Synpcc7942_0459,WP_011243371.1
Synpcc7942_0460,WP_011243370.1
Synpcc7942_0461,WP_011243369.1
Synpcc7942_0462,WP_011243368.1
Synpcc7942_0463,WP_011377586.1
Synpcc7942_0464,WP_011243366.1
Synpcc7942_0465,WP_011243365.1
Synpcc7942_0466,WP_231621351.1
Synpcc7942_0467,WP_011243363.1
Synpcc7942_0468,WP_011243362.1
Synpcc7942_0469,WP_011243361.1
Synpcc7942_0470,WP_234910050.1
Synpcc7942_0471,WP_011243359.1
Synpcc7942_0472,WP_011243358.1
Synpcc7942_0473,WP_011377589.1
Synpcc7942_0474,WP_011377590.1
Synpcc7942_0475,WP_011243356.1
Synpcc7942_0476,WP_321167215.1
Synpcc7942_0477,WP_011243354.1
Synpcc7942_0478,WP_011243353.1
Synpcc7942_0479,WP_011377593.1
Synpcc7942_0480,WP_011377594.1
Synpcc7942_0481,WP_011377595.1
Synpcc7942_0482,WP_011243349.1
Synpcc7942_0483,WP_011243348.1
Synpcc7942_0484,WP_231621350.1
Synpcc7942_0485,WP_011377597.1
Synpcc7942_0486,WP_011243345.1
Synpcc7942_0487,WP_011243344.1
Synpcc7942_0488,WP_011243343.1
Synpcc7942_0489,WP_011243342.1
Synpcc7942_0490,WP_231621349.1
Synpcc7942_0491,WP_011377599.1
Synpcc7942_0492,WP_011243340.1
Synpcc7942_0493,WP_011377600.1
Synpcc7942_0494,WP_011243338.1
Synpcc7942_0495,WP_011377601.1
Synpcc7942_0496,WP_011243336.1
Synpcc7942_0497,WP_011243335.1
Synpcc7942_0498,WP_011243334.1
Synpcc7942_0499,WP_011377602.1
Synpcc7942_0500,WP_011243332.1
Synpcc7942_0501,WP_011243331.1
Synpcc7942_0502,WP_011243330.1
Synpcc7942_0503,WP_011243329.1
Synpcc7942_0504,WP_011243328.1
Synpcc7942_0505,WP_011243327.1
Synpcc7942_0506,WP_039755415.1
Synpcc7942_0507,WP_011243325.1
Synpcc7942_0508,WP_011243324.1
Synpcc7942_0509,WP_011377603.1
Synpcc7942_0510,WP_011243322.1
Synpcc7942_0511,WP_011243321.1
Synpcc7942_0512,WP_231621348.1
Synpcc7942_0513,WP_011243319.1
Synpcc7942_0514,WP_011377605.1
Synpcc7942_0515,WP_011377606.1
Synpcc7942_0516,WP_011243316.1
Synpcc7942_0517,WP_011243315.1
Synpcc7942_0518,WP_011243314.1
Synpcc7942_0519,WP_011377607.1
Synpcc7942_0520,WP_011243312.1
Synpcc7942_0521,WP_011243311.1
Synpcc7942_0522,WP_155813895.1
Synpcc7942_0523,WP_011243310.1
Synpcc7942_0524,WP_011377609.1
Synpcc7942_0525,WP_011243308.1
Synpcc7942_0526,WP_011377610.1
Synpcc7942_0527,WP_231621347.1
Synpcc7942_0528,WP_011377612.1
Synpcc7942_0529,WP_011243304.1
Synpcc7942_0530,WP_011377613.1
Synpcc7942_0531,WP_011377614.1
Synpcc7942_0532,WP_011243301.1
Synpcc7942_0533,WP_011243300.1
Synpcc7942_0534,WP_011243299.1
Synpcc7942_0535,WP_011243298.1
Synpcc7942_0536,WP_011243297.1
Synpcc7942_0537,WP_011243296.1
Synpcc7942_0538,WP_011243295.1
Synpcc7942_0539,WP_011243294.1
Synpcc7942_0540,WP_231621346.1
Synpcc7942_0541,WP_011243292.1
Synpcc7942_0542,WP_011377615.1
Synpcc7942_0543,WP_011377616.1
Synpcc7942_0544,WP_011377617.1
Synpcc7942_0545,WP_011243288.1
Synpcc7942_0546,WP_011243287.1
Synpcc7942_0547,WP_011243286.1
Synpcc7942_0548,WP_011243285.1
Synpcc7942_0549,WP_011377618.1
Synpcc7942_0550,WP_011377619.1
Synpcc7942_0551,WP_011377620.1
Synpcc7942_0552,WP_011243281.1
Synpcc7942_0553,WP_011377621.1
Synpcc7942_0554,WP_011243279.1
Synpcc7942_0555,WP_011243278.1
Synpcc7942_0556,WP_011243277.1
Synpcc7942_0557,WP_011377622.1
Synpcc7942_0558,WP_011243276.1
Synpcc7942_0559,WP_011243275.1
Synpcc7942_0560,WP_011377623.1
Synpcc7942_0561,WP_011377624.1
Synpcc7942_0562,WP_011243272.1
Synpcc7942_0563,WP_011243271.1
Synpcc7942_0564,WP_011243270.1
Synpcc7942_0565,WP_011243269.1
Synpcc7942_0566,WP_011243268.1
Synpcc7942_0567,WP_011377626.1
Synpcc7942_0568,WP_011377627.1
Synpcc7942_0569,WP_011243265.1
Synpcc7942_0570,WP_011243264.1
Synpcc7942_0571,WP_011243263.1
Synpcc7942_0572,WP_011377628.1
Synpcc7942_0573,WP_011377629.1
Synpcc7942_0574,WP_011243261.1
Synpcc7942_0575,WP_231621344.1
Synpcc7942_0576,WP_039755858.1
Synpcc7942_0577,WP_011243258.1
Synpcc7942_0578,WP_011243257.1
Synpcc7942_0579,WP_011243256.1
Synpcc7942_0580,WP_011377631.1
Synpcc7942_0581,WP_011243254.1
Synpcc7942_0582,WP_011243253.1
Synpcc7942_0583,WP_011243252.1
Synpcc7942_0584,WP_231621405.1
Synpcc7942_0585,WP_011377632.1
Synpcc7942_0586,WP_049749324.1
Synpcc7942_0587,WP_011243248.1
Synpcc7942_0588,WP_011243247.1
Synpcc7942_0590,WP_011243245.1
Synpcc7942_0591,WP_011243244.1
Synpcc7942_0592,WP_011377635.1
Synpcc7942_0593,WP_011377636.1
Synpcc7942_0594,WP_011243241.1
Synpcc7942_0595,WP_011377637.1
Synpcc7942_0596,WP_011243239.1
Synpcc7942_0597,WP_011377638.1
Synpcc7942_0598,WP_231621343.1
Synpcc7942_0599,WP_011243236.1
Synpcc7942_0600,WP_011243235.1
Synpcc7942_0602,WP_011243234.1
Synpcc7942_0603,WP_011243233.1
Synpcc7942_0604,WP_039755853.1
Synpcc7942_0605,WP_011377641.1
Synpcc7942_0606,WP_011377642.1
Synpcc7942_0607,WP_011243229.1
Synpcc7942_0608,WP_011377643.1
Synpcc7942_0609,WP_011377644.1
Synpcc7942_0610,WP_011377645.1
Synpcc7942_0611,WP_407830101.1
Synpcc7942_0612,WP_011377647.1
Synpcc7942_0613,WP_011243223.1
Synpcc7942_0614,WP_011243222.1
Synpcc7942_0615,WP_011243221.1
Synpcc7942_0616,WP_011243220.1
Synpcc7942_0617,WP_011377648.1
Synpcc7942_0618,WP_011377649.1
Synpcc7942_0619,WP_199290787.1
Synpcc7942_0620,WP_011243216.1
Synpcc7942_0621,WP_011243215.1
Synpcc7942_0622,WP_011377650.1
Synpcc7942_0623,WP_011377651.1
Synpcc7942_0624,WP_011377652.1
Synpcc7942_0625,WP_011377653.1
Synpcc7942_0626,WP_011243210.1
Synpcc7942_0627,WP_011243209.1
Synpcc7942_0628,WP_011243208.1
Synpcc7942_0629,WP_011377654.1
Synpcc7942_0630,WP_011243207.1
Synpcc7942_0631,WP_011243206.1
Synpcc7942_0632,WP_011243205.1
Synpcc7942_0633,WP_011377655.1
Synpcc7942_0634,WP_011377656.1
Synpcc7942_0635,WP_011377657.1
Synpcc7942_0636,WP_011243201.1
Synpcc7942_0637,WP_011243200.1
Synpcc7942_0638,WP_011243199.1
Synpcc7942_0639,WP_011243198.1
Synpcc7942_0640,WP_011243197.1
Synpcc7942_0641,WP_011377658.1
Synpcc7942_0642,WP_011243195.1
Synpcc7942_0643,WP_011377659.1
Synpcc7942_0644,WP_011243194.1
Synpcc7942_0645,WP_039755849.1
Synpcc7942_0646,WP_011377661.1
Synpcc7942_0647,WP_011377662.1
Synpcc7942_0648,WP_011377663.1
Synpcc7942_0649,WP_011377664.1
Synpcc7942_0650,WP_011243190.1
Synpcc7942_0651,WP_011243189.1
Synpcc7942_0652,WP_011243188.1
Synpcc7942_0653,WP_011243187.1
Synpcc7942_0654,WP_011377665.1
Synpcc7942_0655,WP_011243185.1
Synpcc7942_0656,WP_011377666.1
Synpcc7942_0657,WP_011243183.1
Synpcc7942_0658,WP_011243182.1
Synpcc7942_0659,WP_039755845.1
Synpcc7942_0660,WP_039755844.1
Synpcc7942_0661,WP_231621341.1
Synpcc7942_0662,WP_011377670.1
Synpcc7942_0663,WP_011243177.1
Synpcc7942_0664,WP_011377671.1
Synpcc7942_0665,WP_011243175.1
Synpcc7942_0666,WP_011243174.1
Synpcc7942_0667,WP_011243173.1
Synpcc7942_0668,WP_039755839.1
Synpcc7942_0669,WP_011243172.1
Synpcc7942_0670,WP_011243171.1
Synpcc7942_0671,WP_011377674.1
Synpcc7942_0672,WP_011377675.1
Synpcc7942_0673,WP_011243168.1
Synpcc7942_0674,WP_011243167.1
Synpcc7942_0675,WP_011377677.1
Synpcc7942_0676,WP_011377678.1
Synpcc7942_0677,WP_011377679.1
Synpcc7942_0678,WP_011243163.1
Synpcc7942_0679,WP_011377680.1
Synpcc7942_0680,WP_011243161.1
Synpcc7942_0681,WP_011377681.1
Synpcc7942_0682,WP_011377682.1
Synpcc7942_0683,WP_011243158.1
Synpcc7942_0684,WP_011243157.1
Synpcc7942_0685,WP_011243156.1
Synpcc7942_0686,WP_011243155.1
Synpcc7942_0687,WP_011243154.1
Synpcc7942_0688,WP_011243153.1
Synpcc7942_0689,WP_011377683.1
Synpcc7942_0690,WP_011377684.1
Synpcc7942_0691,WP_011377685.1
Synpcc7942_0692,WP_011243150.1
Synpcc7942_0693,WP_011243149.1
Synpcc7942_0694,WP_011243148.1
Synpcc7942_0695,WP_011243147.1
Synpcc7942_0696,WP_011243146.1
Synpcc7942_0697,WP_011243145.1
Synpcc7942_0699,WP_011243143.1
Synpcc7942_0700,WP_011243142.1
Synpcc7942_0701,WP_011243141.1
Synpcc7942_0702,WP_011377688.1
Synpcc7942_0703,WP_011377689.1
Synpcc7942_0704,WP_011243138.1
Synpcc7942_0705,WP_231621340.1
Synpcc7942_0706,WP_011377690.1
Synpcc7942_0707,WP_011377691.1
