old_locus_tag,protein_id
alr0088,WP_010994265.1
all0089,WP_044520479.1
alr0091,WP_010994268.1
alr0092,WP_010994269.1
alr0093,WP_010994270.1
alr0094,WP_010994271.1
alr0096,WP_010994273.1
alr0099,WP_011318294.1
alr0101,WP_010994278.1
alr0103,WP_010994280.1
asr0105,WP_010994282.1
alr0106,WP_010994283.1
all0107,WP_010994284.1
asl0108,WP_010994285.1
all0109,WP_010994286.1
alr0110,WP_010994287.1
all0111,WP_010994288.1
all0112,WP_010994289.1
alr0113,WP_010994290.1
alr0114,WP_010994291.1
alr0115,WP_010994292.1
alr0116,WP_010994293.1
alr0117,WP_010994294.1
all0118,WP_010994295.1
all0119,WP_010994296.1
all0120,WP_010994297.1
all0121,WP_010994298.1
all0122,WP_010994299.1
all0123,WP_010994300.1
alr0124,WP_010994301.1
asl0125,WP_010994302.1
all0126,WP_010994303.1
all0127,WP_010994304.1
alr0128,WP_010994305.1
all0129,WP_010994306.1
alr0130,WP_010994307.1
all0131,WP_010994308.1
alr0132,WP_010994309.1
all0133,WP_010994310.1
all0134,WP_010994311.1
all0135,WP_010994312.1
all0136,WP_010994313.1
asl0137,WP_010994314.1
all0138,WP_010994315.1
all0139,WP_010994316.1
alr0140,WP_010994317.1
alr0141,WP_010994318.1
alr0142,WP_010994319.1
all0143,WP_044520496.1
all0144,WP_010994321.1
alr0145,WP_010994322.1
asl0146,WP_010994323.1
all0147,WP_010994324.1
asr0148,WP_010994325.1
alr0149,WP_010994326.1
alr0150,WP_010994327.1
asl0151,WP_010994328.1
all0152,WP_010994329.1
alr0153,WP_010994330.1
all0154,WP_010994331.1
all0156,WP_044520502.1
all0157,WP_010994334.1
all0158,WP_044520504.1
alr0159,WP_010994336.1
all0160,WP_010994337.1
all0161,WP_010994338.1
alr0162,WP_010994339.1
all0164,WP_010994341.1
alr0165,WP_010994342.1
all0166,WP_010994343.1
all0167,WP_010994344.1
all0168,WP_044520508.1
alr0169,WP_010994346.1
all0170,WP_010994347.1
asl0171,WP_010994348.1
all0172,WP_010994349.1
all0173,WP_010994350.1
all0174,WP_010994351.1
alr0175,WP_044520512.1
asl0176,WP_010994353.1
all0177,WP_010994354.1
all0178,WP_010994355.1
alr0180,WP_010994357.1
alr0181,WP_010994358.1
all0182,WP_010994359.1
all0184,WP_010994361.1
all0185,WP_044520516.1
all0186,WP_010994363.1
all0187,WP_010994364.1
alr0188,WP_044520517.1
alr0189,WP_010994366.1
alr0190,WP_044520518.1
alr0191,WP_010994368.1
all0192,WP_010994369.1
all0193,WP_044520520.1
alr0194,WP_010994371.1
all0195,WP_010994372.1
alr0196,WP_010994373.1
all0197,WP_044520521.1
alr0198,WP_010994375.1
alr0199,WP_010994376.1
all0200,WP_010994377.1
alr0201,WP_010994378.1
alr0202,WP_010994379.1
alr0203,WP_044520524.1
asl0204,WP_010994381.1
alr0205,WP_010994382.1
asl0206,WP_010994383.1
all0207,WP_010994384.1
alr0208,WP_010994385.1
all0209,WP_010994386.1
all0210,WP_010994387.1
all0211,WP_010994388.1
alr0212,WP_010994389.1
alr0213,WP_010994390.1
alr0214,WP_010994391.1
all0215,WP_010994392.1
all0216,WP_044522660.1
all0217,WP_010994394.1
all0218,WP_010994395.1
all0219,WP_010994396.1
all0220,WP_010994397.1
alr0221,WP_010994398.1
alr0222,WP_010994399.1
alr0223,WP_010994400.1
alr0224,WP_010994401.1
alr0225,WP_010994402.1
alr0226,WP_010994403.1
alr0227,WP_010994404.1
alr0228,WP_010994405.1
asr0229,WP_010994406.1
alr0230,WP_010994407.1
all0231,WP_010994408.1
all0232,WP_010994409.1
all0233,WP_010994410.1
alr0234,WP_010994411.1
alr0235,WP_010994412.1
alr0236,WP_010994413.1
alr0237,WP_010994414.1
alr0238,WP_010994415.1
alr0239,WP_010994416.1
alr0240,WP_010994417.1
alr0241,WP_010994418.1
alr0242,WP_010994419.1
asr0243,WP_010994420.1
all0244,WP_044520538.1
all0245,WP_044520539.1
alr0246,WP_044520540.1
alr0247,WP_010994424.1
alr0248,WP_010994425.1
all0250,WP_010994427.1
all0251,WP_010994428.1
alr0252,WP_010994429.1
all0253,WP_010994430.1
all0254,WP_010994431.1
alr0255,WP_010994432.1
all0258,WP_010994435.1
all0259,WP_010994436.1
all0261,WP_010994438.1
all0262,WP_010994439.1
all0263,WP_044520549.1
alr0264,WP_010994441.1
all0265,WP_010994442.1
all0266,WP_010994443.1
alr0267,WP_010994444.1
all0268,WP_010994445.1
all0269,WP_044520553.1
all0270,WP_010994447.1
all0271,WP_044522663.1
all0273,WP_096637227.1
all0274,WP_010994451.1
all0275,WP_010994452.1
alr0276,WP_010994453.1
alr0277,WP_010994454.1
all0278,WP_010994455.1
alr0279,WP_010994456.1
alr0280,WP_010994457.1
all0283,WP_010994460.1
all0284,WP_010994461.1
all0285,WP_010994462.1
alr0286,WP_010994463.1
all0287,WP_010994464.1
alr0288,WP_010994465.1
all0291,WP_010994468.1
all0292,WP_010994469.1
all0293,WP_010994470.1
alr0295,WP_010994472.1
alr0296,WP_010994473.1
alr0297,WP_010994474.1
all0298,WP_010994475.1
alr0299,WP_231865504.1
alr0300,WP_044520562.1
alr0301,WP_010994478.1
alr0302,WP_010994479.1
alr0303,WP_010994480.1
alr0304,WP_126987755.1
all0307,WP_010994483.1
alr0308,WP_010994484.1
alr0309,WP_010994485.1
all0311,WP_010994487.1
alr0312,WP_010994488.1
all0313,WP_010994489.1
all0316,WP_010994492.1
alr0318,WP_010994494.1
asl0319,WP_010994495.1
all0320,WP_010994496.1
all0321,WP_010994497.1
all0322,WP_010994498.1
all0323,WP_010994499.1
all0324,WP_010994500.1
all0325,WP_010994501.1
all0326,WP_010994502.1
all0327,WP_010994503.1
all0328,WP_010994504.1
all0329,WP_010994505.1
all0330,WP_010994506.1
alr0331,WP_010994507.1
all0333,WP_010994509.1
all0334,WP_010994510.1
alr0335,WP_010994511.1
alr0336,WP_010994512.1
all0337,WP_010994513.1
asl0338,WP_010994514.1
asl0339,WP_044522672.1
alr0340,WP_010994516.1
all0342,WP_010994518.1
alr0344,WP_044520583.1
all0345,WP_044520584.1
alr0347,WP_010994523.1
alr0348,WP_044520586.1
all0349,WP_010994525.1
all0350,WP_010994526.1
all0351,WP_010994527.1
all0352,WP_010994528.1
alr0353,WP_010994529.1
alr0354,WP_010994530.1
all0355,WP_044520589.1
alr0357,WP_231865505.1
alr0359,WP_010994535.1
all0362,WP_149028798.1
all0363,WP_010994539.1
all0364,WP_010994540.1
alr0366,WP_010994542.1
alr0367,WP_010994543.1
alr0369,WP_010994545.1
alr0370,WP_044520591.1
all0371,WP_010994547.1
all0373,WP_010994549.1
all0374,WP_010994550.1
all0375,WP_010994551.1
alr0377,WP_010994553.1
all0378,WP_010994554.1
alr0379,WP_010994555.1
all0380,WP_010994556.1
alr0381,WP_231865506.1
asr0382,WP_010994558.1
all0384,WP_010994560.1
all0385,WP_010994561.1
alr0386,WP_044520599.1
all0387,WP_010994563.1
all0388,WP_010994564.1
all0390,WP_044520601.1
all0391,WP_010994567.1
all0392,WP_010994568.1
all0393,WP_010994569.1
all0394,WP_010994570.1
all0395,WP_010994571.1
all0396,WP_010994572.1
alr0397,WP_044520605.1
asl0399,WP_010994575.1
all0400,WP_010994576.1
asl0401,WP_010994577.1
alr0402,WP_010994578.1
all0403,WP_010994579.1
all0404,WP_010994580.1
all0405,WP_044520608.1
all0408,WP_010994584.1
all0409,WP_010994585.1
all0410,WP_010994586.1
all0411,WP_010994587.1
all0412,WP_010994588.1
all0413,WP_044520611.1
all0414,WP_010994590.1
all0415,WP_010994591.1
all0416,WP_044520613.1
all0417,WP_010994593.1
all0418,WP_010994594.1
all0419,WP_044520615.1
all0420,WP_010994596.1
all0421,WP_044522701.1
all0422,WP_044520616.1
all0423,WP_010994599.1
all0424,WP_010994600.1
all0425,WP_010994601.1
all0426,WP_010994602.1
all0427,WP_044520618.1
alr0428,WP_010994604.1
alr0429,WP_010994605.1
alr0430,WP_044520621.1
asr0431,WP_126987330.1
all0432,WP_010994608.1
alr0433,WP_010994609.1
all0434,WP_010994610.1
all0435,WP_010994611.1
alr0436,WP_010994612.1
all0437,WP_010994613.1
all0438,WP_010994614.1
all0439,WP_010994615.1
alr0440,WP_010994616.1
all0441,WP_010994617.1
alr0442,WP_010994618.1
all0443,WP_010994619.1
alr0444,WP_010994620.1
alr0445,WP_044520631.1
alr0446,WP_010994622.1
alr0447,WP_044520633.1
all0450,WP_010994626.1
alr0451,WP_010994627.1
alr0452,WP_010994628.1
all0453,WP_010994629.1
all0454,WP_010994630.1
all0455,WP_010994631.1
all0457,WP_044520642.1
all0458,WP_010994634.1
all0459,WP_010994635.1
asr0460,WP_010994636.1
asr0461,WP_010994637.1
all0462,WP_010994638.1
all0463,WP_010994639.1
all0464,WP_010994640.1
all0465,WP_010994641.1
all0466,WP_044520646.1
all0467,WP_010994643.1
all0468,WP_044520647.1
all0469,WP_044520648.1
all0470,WP_010994646.1
all0471,WP_010994647.1
alr0472,WP_044520649.1
all0473,WP_010994649.1
alr0474,WP_044520651.1
all0475,WP_010994651.1
all0476,WP_010994652.1
all0478,WP_010994654.1
all0479,WP_010994655.1
alr0480,WP_010994656.1
all0481,WP_010994657.1
asr0482,WP_010994658.1
alr0483,WP_010994659.1
alr0484,WP_010994660.1
asr0485,WP_010994661.1
alr0486,WP_010994662.1
alr0487,WP_010994663.1
alr0488,WP_010994664.1
alr0489,WP_010994665.1
alr0490,WP_010994666.1
asl0491,WP_010994667.1
all0492,WP_010994668.1
all0493,WP_010994669.1
all0495,WP_010994671.1
all0496,WP_010994672.1
all0497,WP_010994673.1
all0498,WP_416365166.1
alr0499,WP_010994675.1
asr0503,WP_010994679.1
alr0504,WP_044520661.1
alr0506,WP_010994682.1
alr0507,WP_010994683.1
alr0508,WP_010994684.1
alr0510,WP_231865550.1
alr0511,WP_010994687.1
alr0512,WP_010994688.1
all0513,WP_010994689.1
asl0514,WP_010994690.1
alr0515,WP_010994691.1
alr0517,WP_010994693.1
alr0518,WP_010994694.1
alr0519,WP_044520663.1
alr0520,WP_010994696.1
all0521,WP_010994697.1
alr0522,WP_010994698.1
alr0523,WP_010994699.1
alr0524,WP_010994700.1
alr0525,WP_010994701.1
alr0526,WP_010994702.1
alr0527,WP_010994703.1
alr0528,WP_010994704.1
alr0529,WP_010994705.1
alr0530,WP_010994706.1
asr0531,WP_010994707.1
alr0532,WP_010994708.1
alr0533,WP_010994709.1
alr0534,WP_010994710.1
alr0535,WP_010994711.1
alr0536,WP_010994712.1
alr0537,WP_010994713.1
all0538,WP_010994714.1
all0539,WP_010994715.1
alr0540,WP_010994716.1
alr0541,WP_044522713.1
all0542,WP_010994718.1
alr0543,WP_010994719.1
all0544,WP_010994720.1
alr0545,WP_010994721.1
alr0546,WP_010994722.1
alr0547,WP_010994723.1
alr0548,WP_010994724.1
alr0549,WP_010994725.1
asl0550,WP_010994726.1
alr0554,WP_010994730.1
alr0556,WP_010994732.1
alr0557,WP_010994733.1
alr0558,WP_010994734.1
alr0559,WP_010994735.1
all0562,WP_010994738.1
all0563,WP_044520670.1
alr0564,WP_010994740.1
all0565,WP_010994741.1
alr0566,WP_010994742.1
all0567,WP_010994743.1
alr0568,WP_010994744.1
all0569,WP_010994745.1
alr0570,WP_010994746.1
all0571,WP_044520672.1
asl0572,WP_044520673.1
alr0573,WP_010994749.1
all0574,WP_168370993.1
all0575,WP_010994751.1
alr0576,WP_010994752.1
alr0577,WP_010994753.1
all0578,WP_010994754.1
all0579,WP_010994755.1
all0580,WP_010994756.1
asr0581,WP_010994757.1
alr0582,WP_010994758.1
alr0583,WP_010994759.1
alr0584,WP_010994760.1
alr0585,WP_190449715.1
alr0586,WP_010994762.1
alr0587,WP_044520674.1
all0589,WP_010994765.1
all0591,WP_010994767.1
all0592,WP_010994768.1
alr0593,WP_010994769.1
all0594,WP_010994770.1
all0596,WP_010994772.1
asl0597,WP_010994773.1
alr0598,WP_010994774.1
alr0599,WP_010994775.1
alr0600,WP_010994776.1
all0601,WP_010994777.1
all0602,WP_010994778.1
all0603,WP_010994779.1
all0604,WP_010994780.1
all0605,WP_010994781.1
all0606,WP_010994782.1
alr0607,WP_010994783.1
alr0608,WP_010994784.1
alr0609,WP_010994785.1
alr0610,WP_010994786.1
alr0611,WP_010994787.1
alr0612,WP_010994788.1
alr0613,WP_044520679.1
alr0614,WP_010994790.1
all0615,WP_010994791.1
alr0616,WP_010994792.1
alr0617,WP_010994793.1
alr0618,WP_010994794.1
all0619,WP_010994795.1
all0620,WP_044522723.1
all0621,WP_010994797.1
alr0622,WP_010994798.1
all0623,WP_010994799.1
all0624,WP_010994800.1
all0625,WP_044520681.1
all0626,WP_010994802.1
alr0627,WP_010994803.1
asl0628,WP_044522726.1
asl0629,WP_010994805.1
all0630,WP_010994806.1
all0631,WP_044520683.1
all0632,WP_010994808.1
all0634,WP_010994810.1
all0635,WP_010994811.1
asr0636,WP_010994812.1
all0637,WP_044520686.1
all0638,WP_010994814.1
asl0639,WP_010994815.1
all0640,WP_044520689.1
all0641,WP_010994817.1
alr0642,WP_044520690.1
alr0643,WP_010994819.1
alr0644,WP_010994820.1
alr0645,WP_011321243.1
all0646,WP_010994822.1
alr0647,WP_010994823.1
all0648,WP_010994824.1
all0650,WP_044520692.1
alr0651,WP_010994827.1
alr0652,WP_010994828.1
alr0653,WP_010994829.1
asr0654,WP_010994830.1
alr0655,WP_044520694.1
alr0656,WP_010994832.1
alr0657,WP_010994833.1
alr0658,WP_010994834.1
all0659,WP_010994835.1
all0661,WP_010994837.1
asl0662,WP_010994838.1
alr0663,WP_010994839.1
all0666,WP_231865508.1
all0667,WP_010994843.1
alr0668,WP_010994844.1
alr0669,WP_010994845.1
alr0672,WP_010994848.1
all0675,WP_010994851.1
alr0677,WP_010994853.1
alr0679,WP_010994855.1
asr0680,WP_269083595.1
alr0681,WP_010994857.1
asr0682,WP_010994858.1
alr0683,WP_010994859.1
all0684,WP_010994860.1
alr0685,WP_010994861.1
all0688,WP_010994863.1
asr0689,WP_010994864.1
alr0691,WP_010994866.1
alr0692,WP_010994867.1
alr0693,WP_010994868.1
alr0694,WP_010994869.1
asr0695,WP_010994870.1
alr0696,WP_010994871.1
asr0697,WP_010994872.1
alr0698,WP_010994873.1
alr0699,WP_010994874.1
alr0700,WP_010994875.1
alr0702,WP_044522734.1
all0703,WP_010994878.1
alr0704,WP_010994879.1
all0706,WP_010994881.1
all0707,WP_044520703.1
all0708,WP_044520705.1
alr0709,WP_010994884.1
alr0710,WP_010994885.1
all0711,WP_010994886.1
all0712,WP_010994887.1
all0713,WP_010994888.1
all0714,WP_044520708.1
alr0717,WP_010994892.1
alr0718,WP_010994893.1
alr0719,WP_044522739.1
alr0720,WP_044520709.1
all0721,WP_010994896.1
alr0722,WP_010994897.1
all0723,WP_010994898.1
asl0724,WP_010994899.1
alr0725,WP_010994900.1
all0726,WP_231865509.1
all0727,WP_010994902.1
alr0728,WP_010994903.1
all0729,WP_010994904.1
alr0730,WP_010994905.1
alr0731,WP_010994906.1
alr0733,WP_010994907.1
alr0734,WP_044520711.1
alr0735,WP_010994909.1
all0736,WP_044520712.1
all0737,WP_044520713.1
alr0738,WP_010994912.1
alr0739,WP_010994913.1
alr0740,WP_010994914.1
alr0741,WP_010994915.1
asr0742,WP_010994916.1
all0743,WP_010994917.1
alr0744,WP_231865551.1
all0745,WP_010994919.1
all0747,WP_010994921.1
all0748,WP_010994922.1
asl0749,WP_010994923.1
alr0750,WP_010994924.1
alr0751,WP_010994925.1
alr0752,WP_010994926.1
all0753,WP_010994927.1
asr0755,WP_010994929.1
asr0756,WP_010994930.1
asr0757,WP_010994931.1
alr0758,WP_010994932.1
all0759,WP_010994933.1
alr0760,WP_010994934.1
alr0761,WP_044520719.1
alr0762,WP_010994936.1
alr0763,WP_010994937.1
alr0764,WP_010994938.1
alr0765,WP_010994939.1
alr0766,WP_010994940.1
all0767,WP_010994941.1
all0768,WP_010994942.1
all0769,WP_010994943.1
all0770,WP_010994944.1
all0771,WP_010994945.1
all0772,WP_044520721.1
asr0773,WP_010994947.1
alr0774,WP_010994948.1
all0775,WP_010994949.1
alr0776,WP_010994950.1
all0777,WP_010994951.1
all0781,WP_044520723.1
alr0782,WP_010994956.1
all0783,WP_010994957.1
alr0784,WP_010994958.1
asr0785,WP_010994959.1
alr0786,WP_010994960.1
alr0787,WP_010994961.1
all0788,WP_044522749.1
alr0789,WP_010994963.1
alr0790,WP_010994964.1
alr0791,WP_010994965.1
all0792,WP_010994966.1
asl0793,WP_010994967.1
all0794,WP_010994968.1
asl0795,WP_010994969.1
all0796,WP_010994970.1
all0797,WP_010994971.1
asr0798,WP_010994972.1
alr0799,WP_010994973.1
all0800,WP_010994974.1
all0801,WP_010994975.1
all0802,WP_010994976.1
alr0803,WP_010994977.1
alr0804,WP_010994978.1
alr0805,WP_010994979.1
alr0806,WP_044520727.1
all0807,WP_010994981.1
all0808,WP_010994982.1
all0809,WP_010994983.1
alr0810,WP_010994984.1
alr0811,WP_010994985.1
alr0812,WP_010994986.1
all0813,WP_010994987.1
alr0816,WP_010994990.1
asl0818,WP_010994992.1
alr0819,WP_010994993.1
alr0820,WP_010994994.1
alr0821,WP_010994995.1
asl0822,WP_044520728.1
all0823,WP_010994997.1
all0824,WP_010994998.1
all0825,WP_044520731.1
all0827,WP_010995001.1
all0830,WP_010995004.1
alr0831,WP_010995005.1
all0832,WP_010995006.1
all0833,WP_010995007.1
alr0834,WP_044520737.1
all0835,WP_010995009.1
alr0838,WP_044520740.1
all0839,WP_010995013.1
alr0840,WP_010995014.1
asl0842,WP_044520741.1
asr0843,WP_010995017.1
all0844,WP_044520743.1
asl0845,WP_010995019.1
asl0846,WP_010995020.1
asr0847,WP_010995021.1
all0848,WP_010995022.1
alr0849,WP_010995023.1
all0850,WP_010995024.1
alr0851,WP_010995025.1
all0852,WP_010995026.1
all0853,WP_010995027.1
all0854,WP_010995028.1
asr0855,WP_010995029.1
alr0856,WP_010995030.1
alr0857,WP_010995031.1
all0858,WP_010995032.1
all0859,WP_010995033.1
all0860,WP_010995034.1
all0861,WP_010995035.1
all0862,WP_044520747.1
all0863,WP_044520749.1
all0864,WP_010995038.1
all0865,WP_010995039.1
all0866,WP_010995040.1
all0868,WP_010995042.1
alr0869,WP_010995043.1
alr0870,WP_010995044.1
alr0871,WP_010995045.1
all0872,WP_010995046.1
asl0873,WP_010995047.1
alr0874,WP_010995048.1
all0875,WP_010995049.1
all0876,WP_010995050.1
alr0877,WP_010995051.1
all0878,WP_010995052.1
all0879,WP_010995053.1
alr0880,WP_010995054.1
asl0881,WP_010995055.1
alr0882,WP_010995056.1
asl0884,WP_010995058.1
asl0885,WP_010995059.1
all0886,WP_010995060.1
all0887,WP_010995061.1
all0888,WP_010995062.1
all0889,WP_010995063.1
asr0890,WP_044520761.1
all0891,WP_231865510.1
alr0892,WP_010995066.1
alr0893,WP_010995067.1
alr0894,WP_010995068.1
alr0895,WP_010995069.1
alr0896,WP_044520764.1
alr0897,WP_010995071.1
alr0898,WP_010995072.1
all0899,WP_010995073.1
alr0900,WP_044520765.1
alr0901,WP_010995075.1
all0902,WP_010995076.1
all0903,WP_010995077.1
alr0904,WP_010995078.1
asr0905,WP_010995079.1
all0906,WP_044522754.1
all0907,WP_010995081.1
all0908,WP_010995082.1
all0909,WP_010995083.1
all0910,WP_190449631.1
all0911,WP_010995085.1
alr0912,WP_044522758.1
alr0913,WP_010995087.1
all0914,WP_044520769.1
all0915,WP_010995089.1
all0916,WP_044522761.1
all0917,WP_010995091.1
all0919,WP_010995093.1
alr0920,WP_010995094.1
all0921,WP_010995095.1
alr0922,WP_010995096.1
asr0923,WP_010995097.1
asr0925,WP_044520772.1
all0926,WP_010995100.1
all0927,WP_044522768.1
all0928,WP_010995102.1
all0929,WP_010995103.1
all0930,WP_010995104.1
alr0931,WP_010995105.1
all0932,WP_010995106.1
alr0933,WP_010995107.1
all0934,WP_010995108.1
all0935,WP_010995109.1
all0936,WP_010995110.1
all0937,WP_044520779.1
alr0939,WP_010995113.1
asl0940,WP_010995114.1
asr0941,WP_010995115.1
alr0942,WP_010995116.1
alr0943,WP_010995117.1
alr0944,WP_010995118.1
all0945,WP_010995119.1
alr0946,WP_010995120.1
alr0947,WP_010995121.1
all0948,WP_010995122.1
all0949,WP_044520784.1
alr0950,WP_010995124.1
alr0951,WP_010995125.1
alr0952,WP_010995126.1
alr0953,WP_010995127.1
all0954,WP_010995128.1
all0955,WP_010995129.1
alr0957,WP_010995131.1
alr0960,WP_010995134.1
all0961,WP_010995135.1
all0962,WP_126987417.1
alr0963,WP_010995137.1
alr0964,WP_010995138.1
alr0965,WP_010995139.1
all0966,WP_010995140.1
all0967,WP_010995141.1
all0968,WP_010995142.1
all0969,WP_010995143.1
alr0970,WP_010995144.1
alr0971,WP_044520788.1
alr0972,WP_010995146.1
alr0973,WP_010995147.1
alr0974,WP_010995148.1
alr0975,WP_044520790.1
all0976,WP_084789130.1
all0978,WP_010995152.1
all0979,WP_044520791.1
all0980,WP_044520792.1
alr0981,WP_010995155.1
all0982,WP_010995156.1
all0983,WP_010995157.1
all0984,WP_010995158.1
all0985,WP_010995159.1
alr0986,WP_010995160.1
alr0987,WP_010995161.1
all0988,WP_010995162.1
alr0989,WP_010995163.1
alr0990,WP_044520794.1
alr0991,WP_010995165.1
alr0992,WP_199315729.1
all0993,WP_010995167.1
all0995,WP_010995169.1
alr0996,WP_010995170.1
all0997,WP_044520795.1
alr0998,WP_010995172.1
alr0999,WP_010995173.1
alr1000,WP_044520797.1
alr1001,WP_010995175.1
alr1002,WP_044522773.1
all1003,WP_010995177.1
alr1004,WP_010995178.1
asr1005,WP_010995179.1
all1006,WP_010995180.1
all1007,WP_190449680.1
alr1008,WP_010995182.1
all1009,WP_044520798.1
alr1010,WP_010995184.1
all1011,WP_044520799.1
all1012,WP_010995186.1
alr1013,WP_010995187.1
alr1014,WP_010995188.1
alr1015,WP_010995189.1
alr1016,WP_044522777.1
asr1017,WP_010995191.1
alr1018,WP_010995192.1
all1019,WP_010995193.1
all1020,WP_044522778.1
all1021,WP_010995195.1
all1022,WP_010995196.1
all1023,WP_010995197.1
alr1024,WP_044520801.1
asr1025,WP_010995199.1
alr1026,WP_010995200.1
all1027,WP_010995201.1
alr1028,WP_010995202.1
alr1029,WP_010995203.1
alr1030,WP_010995204.1
alr1031,WP_010995205.1
all1032,WP_199315774.1
all1033,WP_010995207.1
all1034,WP_010995208.1
all1035,WP_010995209.1
asr1038,WP_044522780.1
alr1039,WP_010995213.1
alr1040,WP_010995214.1
alr1041,WP_010995215.1
alr1042,WP_010995216.1
all1043,WP_010995217.1
alr1044,WP_010995218.1
alr1045,WP_010995219.1
all1046,WP_010995220.1
all1047,WP_010995221.1
asr1048,WP_010995222.1
asr1049,WP_044520806.1
alr1050,WP_010995224.1
all1051,WP_010995225.1
alr1052,WP_010995226.1
all1053,WP_010995227.1
alr1054,WP_010995228.1
alr1055,WP_010995229.1
alr1056,WP_010995230.1
alr1057,WP_010995231.1
all1058,WP_010995232.1
all1059,WP_010995233.1
alr1060,WP_010995234.1
all1061,WP_010995235.1
all1062,WP_010995236.1
alr1063,WP_044522785.1
all1065,WP_010995239.1
asl1066,WP_126987159.1
alr1067,WP_010995241.1
all1068,WP_010995242.1
all1069,WP_044522787.1
all1070,WP_010995244.1
all1071,WP_010995245.1
all1072,WP_010995246.1
alr1073,WP_010995247.1
alr1074,WP_044520808.1
all1075,WP_010995249.1
all1076,WP_044520809.1
alr1077,WP_010995251.1
alr1078,WP_010995252.1
all1079,WP_049942362.1
alr1080,WP_010995254.1
alr1081,WP_010995255.1
all1082,WP_010995256.1
alr1083,WP_010995257.1
all1084,WP_010995258.1
alr1085,WP_010995259.1
alr1086,WP_010995260.1
all1087,WP_041456314.1
all1088,WP_010995262.1
all1089,WP_010995263.1
all1090,WP_010995264.1
all1091,WP_010995265.1
all1092,WP_010995266.1
alr1093,WP_010995267.1
alr1094,WP_010995268.1
alr1095,WP_010995269.1
alr1096,WP_010995270.1
alr1097,WP_010995271.1
all1100,WP_010995273.1
all1101,WP_044520811.1
all1103,WP_010995276.1
alr1104,WP_010995277.1
alr1105,WP_010995278.1
all1106,WP_044520813.1
alr1107,WP_010995280.1
alr1108,WP_010995281.1
alr1109,WP_044520814.1
all1110,WP_010995283.1
asl1111,WP_010995284.1
alr1112,WP_010995285.1
alr1113,WP_010995286.1
alr1114,WP_010995287.1
asr1115,WP_010995288.1
all1116,WP_010995289.1
alr1117,WP_010995290.1
all1118,WP_010995291.1
all1119,WP_010995292.1
asl1120,WP_010995293.1
alr1121,WP_010995294.1
all1122,WP_010995295.1
all1123,WP_010995296.1
all1124,WP_010995297.1
alr1125,WP_010995298.1
all1126,WP_010995299.1
all1127,WP_010995300.1
alr1128,WP_010995301.1
alr1129,WP_010995302.1
all1130,WP_010995303.1
asr1131,WP_010995304.1
all1132,WP_010995305.1
alr1133,WP_010995306.1
asr1134,WP_010995307.1
alr1136,WP_010995309.1
alr1137,WP_010995310.1
alr1138,WP_044522791.1
alr1139,WP_044520824.1
all1140,WP_010995313.1
all1141,WP_010995314.1
alr1142,WP_010995315.1
alr1143,WP_010995316.1
alr1144,WP_010995317.1
all1145,WP_010995318.1
alr1146,WP_010995319.1
alr1147,WP_010995320.1
alr1148,WP_010995321.1
all1149,WP_231865512.1
all1151,WP_010995324.1
alr1152,WP_010995325.1
alr1153,WP_010995326.1
all1154,WP_010995327.1
alr1155,WP_010995328.1
alr1157,WP_010995330.1
