locus_tag,organism,gene_symbol,source_annotation,source_category,in_current_refseq,protein_id,refseq_product,refseq_still_hypothetical,best_hit_method,best_hit_database,best_hit_id,best_hit_description,best_hit_evalue,best_hit_query_coverage,best_hit_query_range,n_evidence_rows,confidence_call,evidence_level,reannotated_category
all0133,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994310.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,2.5e-33,0.8718,15-184,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0134,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994311.1,Uma2 family endonuclease,False,HMMER hmmscan,Pfam-A,PF05685.19,Putative restriction endonuclease,2.5e-31,0.8964,11-183,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0135,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994312.1,HAD family hydrolase,False,HMMER hmmscan,Pfam-A,PF00702.33,haloacid dehalogenase-like hydrolase,2.3e-21,0.8033,14-209,9,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0139,anabaena,-,unknown protein,Hypothetical,True,WP_010994316.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0143,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520496.1,2'-O-glycosyltransferase CruG,False,HMMER hmmscan,Pfam-A,PF00535.33,Glycosyl transferase family 2,7.3e-24,0.4394,54-227,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0144,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994321.1,gamma-carotene 1'-hydroxylase CruF,False,HMMER hmmscan,Pfam-A,PF04240.18,Carotenoid biosynthesis protein,1.4e-87,0.711,54-267,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0155,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0156,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520502.1,FHA domain-containing protein,False,HMMER hmmscan,Pfam-A,PF00498.32,FHA domain,1.1e-11,0.3561,26-98,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0157,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994334.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF14339.13,Domain of unknown function (DUF4394),0.079,0.4279,123-217,10,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0158,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520504.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF12420.14,"Fam-L, Fam-M like protein",0.0015,0.2267,40-107,7,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0160,anabaena,-,probable glycosyl transferase,Hypothetical,True,WP_010994337.1,glycosyltransferase,False,HMMER hmmscan,Pfam-A,PF13692.13,Glycosyl transferases group 1,3.9e-33,0.3724,201-343,11,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0164,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994341.1,phage holin family protein,False,HMMER hmmscan,Pfam-A,PF04020.19,"Mycobacterial 4 TMS phage holin, superfamily IV",1.5e-28,0.7591,3-106,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0172,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994349.1,type II toxin-antitoxin system Phd/YefM family antitoxin,False,HMMER hmmscan,Pfam-A,PF02604.27,"Antitoxin Phd_YefM, type II toxin-antitoxin system",3.6e-17,0.5333,20-91,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0173,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994350.1,M48 family metallopeptidase,False,HMMER hmmscan,Pfam-A,PF01435.25,Peptidase family M48,1.1e-21,0.677,65-261,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0184,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994361.1,DHH family phosphoesterase,False,HMMER hmmscan,Pfam-A,PF01368.28,"DHH family, N-terminal domain",7.8e-07,0.3607,80-233,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0185,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520516.1,murein biosynthesis integral membrane protein MurJ,False,HMMER hmmscan,Pfam-A,PF03023.20,Lipid II flippase MurJ,2e-104,0.8202,37-474,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0186,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994363.1,pentapeptide repeat-containing protein,False,HMMER hmmscan,Pfam-A,PF13599.14,Pentapeptide repeat region,2.1e-09,0.4583,32-108,18,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0195,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994372.1,Spx/MgsR family RNA polymerase-binding regulatory protein,False,HMMER hmmscan,Pfam-A,PF03960.22,ArsC family,1.2e-12,0.8974,6-110,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0197,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520521.1,lysylphosphatidylglycerol synthase transmembrane domain-containing protein,False,HMMER hmmscan,Pfam-A,PF03706.19,Lysylphosphatidylglycerol synthase TM region,1.3e-10,0.8961,16-291,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0200,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994377.1,nickel pincer cofactor biosynthesis protein LarC,False,HMMER hmmscan,Pfam-A,PF01969.23,Nickel insertion protein,3.6e-147,0.9531,5-410,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0207,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994384.1,alkaline phosphatase D family protein,False,HMMER hmmscan,Pfam-A,PF09423.16,PhoD-like phosphatase,2.1e-100,0.6711,158-514,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0209,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994386.1,AI-2E family transporter,False,HMMER hmmscan,Pfam-A,PF01594.23,AI-2E family transporter,2.3e-65,0.874,15-340,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0211,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994388.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF21141.4,"Trehalose-6-phosphate phosphatase, C-terminal",0.0054,0.4683,37-95,4,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0215,anabaena,-,unknown protein,Hypothetical,True,WP_010994392.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF01388.28,ARID/BRIGHT DNA binding domain,0.48,0.1462,70-100,2,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0216,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522660.1,MgPME-cyclase complex family protein,False,HMMER hmmscan,Pfam-A,PF10674.15,Ycf54 protein,9.9e-47,0.844,2-93,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0219,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994396.1,putative bifunctional diguanylate cyclase/phosphodiesterase,False,HMMER hmmscan,Pfam-A,PF00563.26,EAL domain,2e-74,0.4171,326-569,15,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0231,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994408.1,LPS export ABC transporter periplasmic protein LptC,False,HMMER hmmscan,Pfam-A,PF06835.19,"Lipopolysaccharide-assembly, LptC-related",8.5e-13,0.2857,15-124,11,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0232,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994409.1,NYN domain-containing protein,False,HMMER hmmscan,Pfam-A,PF01936.25,NYN domain,4.7e-34,0.7129,22-170,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0244,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520538.1,YdcF family protein,False,HMMER hmmscan,Pfam-A,PF02698.24,DUF218 domain,7e-12,0.7006,16-132,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0245,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520539.1,tocopherol cyclase family protein,False,HMMER hmmscan,Pfam-A,PF14249.13,Tocopherol cyclase-like,2.1e-166,0.9218,19-348,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0250,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994427.1,metallophosphoesterase,False,HMMER hmmscan,Pfam-A,PF00149.34,Calcineurin-like phosphoesterase,9.4e-15,0.5927,29-191,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0251,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994428.1,metallophosphoesterase,False,HMMER hmmscan,Pfam-A,PF00149.34,Calcineurin-like phosphoesterase,3.7e-15,0.5906,29-191,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0254,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994431.1,esterase/lipase family protein,False,HMMER hmmscan,Pfam-A,PF07819.20,PGAP1-like alpha/beta domain,2e-06,0.2814,65-129,13,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0263,anabaena,-,unknown protein,Hypothetical,True,WP_044520549.1,AAA family ATPase,False,HMMER hmmscan,Pfam-A,PF00004.36,ATPase family associated with various cellular activities (AAA),5.5e-11,0.325,266-395,27,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0268,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994445.1,MBL fold metallo-hydrolase,False,HMMER hmmscan,Pfam-A,PF13483.13,Beta-lactamase superfamily domain,2.2e-55,0.6392,37-199,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0271,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522663.1,rRNA maturation RNase YbeY,False,HMMER hmmscan,Pfam-A,PF02130.25,Endoribonuclease YbeY,4.6e-39,0.8011,28-168,4,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0274,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994451.1,DUF4114 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13448.12,Domain of unknown function (DUF4114),1.6e-18,0.092,748-823,23,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0282,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0291,anabaena,-,unknown protein,Hypothetical,True,WP_010994468.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0292,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994469.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF14597.13,Metallo-beta-lactamase superfamily,1.4e-116,1.0,1-199,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0293,anabaena,-,unknown protein,Hypothetical,True,WP_010994470.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF04513.18,"Baculovirus polyhedron envelope protein, PEP, C terminus",0.8,0.0488,188-252,13,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0298,anabaena,-,unknown protein,Hypothetical,True,WP_010994475.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF16888.11,YwqH-like,0.0069,0.9355,3-118,11,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0307,anabaena,-,unknown protein,Hypothetical,True,WP_010994483.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0311,anabaena,-,unknown protein,Hypothetical,True,WP_010994487.1,zinc ribbon domain-containing protein,False,HMMER hmmscan,Pfam-A,PF12773.14,Double zinc ribbon,6.1e-05,0.4472,6-60,52,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0313,anabaena,-,unknown protein,Hypothetical,True,WP_010994489.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF06395.17,CDC24 Calponin,0.072,0.2909,34-65,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0324,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994500.1,FAD-binding oxidoreductase,False,HMMER hmmscan,Pfam-A,PF01565.29,FAD binding domain,2.6e-30,0.3043,37-172,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0325,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994501.1,class I SAM-dependent methyltransferase,False,HMMER hmmscan,Pfam-A,PF13649.13,Methyltransferase domain,1.3e-08,0.3975,60-156,12,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0326,anabaena,-,unknown protein,Hypothetical,True,WP_010994502.1,hypothetical protein,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0327,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994503.1,class II glutamine amidotransferase,False,HMMER hmmscan,Pfam-A,PF13230.12,Glutamine amidotransferases class-II,1.5e-114,0.973,1-252,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0332,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0334,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994510.1,DUF2605 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF10792.15,Protein of unknown function (DUF2605),8.8e-45,0.8857,8-100,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0337,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994513.1,type II toxin-antitoxin system PemK/MazF family toxin,False,HMMER hmmscan,Pfam-A,PF02452.24,"PemK-like, MazF-like toxin of type II toxin-antitoxin system",8.2e-15,0.8017,4-100,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0341,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0343,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0349,anabaena,-,unknown protein,Hypothetical,True,WP_010994525.1,2TM domain-containing protein,False,HMMER hmmscan,Pfam-A,PF13239.12,2TM domain,2.1e-20,0.558,59-135,8,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0350,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994526.1,antibiotic biosynthesis monooxygenase,False,HMMER hmmscan,Pfam-A,PF27539.1,Y2318 C-terminal domain,1.7e-18,0.3495,115-179,4,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0351,anabaena,-,unknown protein,Hypothetical,True,WP_010994527.1,SMP-30/gluconolactonase/LRE family protein,False,HMMER hmmscan,Pfam-A,PF24684.2,Virginiamycin B lyase family,0.021,0.202,28-88,17,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0355,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520589.1,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,False,HMMER hmmscan,Pfam-A,PF04055.28,Radical SAM superfamily,1e-15,0.4507,122-281,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0360,anabaena,-,hypothetical protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0361,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0380,anabaena,-,unknown protein,Hypothetical,True,WP_010994556.1,CRISPR-associated protein Csx18,False,HMMER hmmscan,Pfam-A,PF05975.18,Bacterial ABC transporter protein EcsB,0.028,0.6471,7-72,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0384,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994560.1,rhodanese-related sulfurtransferase,False,HMMER hmmscan,Pfam-A,PF17773.8,UPF0176 acylphosphatase like domain,7.3e-30,0.2913,9-98,6,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0385,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994561.1,class I SAM-dependent methyltransferase,False,HMMER hmmscan,Pfam-A,PF06080.19,Protein of unknown function (DUF938),3.8e-94,0.9667,8-210,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0390,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520601.1,IucA/IucC family protein,False,HMMER hmmscan,Pfam-A,PF04183.19,IucA / IucC family,2.8e-75,0.4153,142-391,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0391,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994567.1,MFS transporter,False,HMMER hmmscan,Pfam-A,PF07690.22,Major Facilitator Superfamily,4.8e-12,0.6357,12-264,2,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0393,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994569.1,GNAT family N-acetyltransferase,False,HMMER hmmscan,Pfam-A,PF13523.13,Acetyltransferase (GNAT) domain,2.2e-54,0.7461,28-171,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0394,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994570.1,IucA/IucC family protein,False,HMMER hmmscan,Pfam-A,PF04183.19,IucA / IucC family,2.2e-67,0.3911,167-403,3,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0398,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0400,anabaena,-,unknown protein,Hypothetical,True,WP_010994576.1,hypothetical protein,True,HMMER hmmscan,Pfam-A,PF20320.5,Family of unknown function (DUF6615),0.00015,0.6321,65-241,2,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0403,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994579.1,DUF2103 domain-containing protein,False,HMMER hmmscan,Pfam-A,PF09876.15,Predicted metal-binding protein (DUF2103),2.6e-22,0.789,17-102,3,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0404,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994580.1,ATP-dependent Clp protease adapter ClpS,False,HMMER hmmscan,Pfam-A,PF02617.23,ATP-dependent Clp protease adaptor protein ClpS,2.2e-18,0.7037,30-105,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0405,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520608.1,FAD-dependent oxidoreductase,False,HMMER hmmscan,Pfam-A,PF12831.14,FAD dependent oxidoreductase,3.6e-26,0.1642,527-637,8,suggestive,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0406,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0407,anabaena,-,unknown protein,Hypothetical,False,,,True,,,,,,,,0,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0415,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994591.1,alkaline phosphatase family protein,False,HMMER hmmscan,Pfam-A,PF01663.28,Type I phosphodiesterase / nucleotide pyrophosphatase,5.7e-68,0.7892,4-370,1,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0416,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520613.1,metabolite traffic protein EboE,False,HMMER hmmscan,Pfam-A,PF01261.31,Xylose isomerase-like TIM barrel,0.041,0.1039,230-272,1,unknown,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0419,anabaena,-,hypothetical protein,Hypothetical,True,WP_044520615.1,UbiA-like protein EboC,False,HMMER hmmscan,Pfam-A,PF01040.24,UbiA prenyltransferase family,2.7e-19,0.6823,32-235,7,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0420,anabaena,-,hypothetical protein,Hypothetical,True,WP_010994596.1,TatD family hydrolase,False,HMMER hmmscan,Pfam-A,PF01026.28,TatD related DNase,2.5e-17,0.8161,12-264,6,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
all0421,anabaena,-,hypothetical protein,Hypothetical,True,WP_044522701.1,EboA family metabolite traffic protein,False,HMMER hmmscan,Pfam-A,PF28008.1,Metabolite traffic protein EboA,3.2e-112,0.869,12-230,5,confident,domain (Pfam HMM match) -- NOT a whole-protein orthology claim,
