locus_tag,organism,best_hit_id,best_hit_description,best_hit_evalue,refseq_product
all3446,anabaena,PF14534.13,Domain of unknown function (DUF4440),2.5e-23,nuclear transport factor 2 family protein
all3579,anabaena,PF09685.16,Magnetosome magnetite crystal formation protein family,1.5e-20,DUF4870 domain-containing protein
all3669,anabaena,PF13366.13,PD-(D/E)XK nuclease superfamily,1.1e-39,GxxExxY protein
all3741,anabaena,PF03060.22,Nitronate monooxygenase,8.1e-43,NAD(P)H-dependent flavin oxidoreductase
all3792,anabaena,PF00188.33,Cysteine-rich secretory protein family,1.9e-15,CAP domain-containing protein
all3793,anabaena,PF00188.33,Cysteine-rich secretory protein family,2.8e-13,CAP domain-containing protein
all3837,anabaena,PF11103.15,Protein of unknown function (DUF2887),9.4e-81,Rpn family recombination-promoting nuclease/putative transposase
all3971,anabaena,PF02163.29,Peptidase family M50,8.7e-64,RIP metalloprotease RseP
all3972,anabaena,PF01850.28,PIN domain,1.1e-12,type II toxin-antitoxin system VapC family toxin
all4102,anabaena,PF04339.19,Peptidogalycan biosysnthesis/recognition,6.3e-143,GNAT family N-acetyltransferase
all4116,anabaena,PF01427.23,D-ala-D-ala dipeptidase,2.5e-36,M15 family metallopeptidase
all4135,anabaena,PF01850.28,PIN domain,3e-12,type II toxin-antitoxin system VapC family toxin
all4184,anabaena,PF11103.15,Protein of unknown function (DUF2887),1.1e-31,Rpn family recombination-promoting nuclease/putative transposase
all4225,anabaena,PF00563.26,EAL domain,1.7e-76,putative bifunctional diguanylate cyclase/phosphodiesterase
all4283,anabaena,PF02633.20,Creatinine amidohydrolase,2e-71,creatininase family protein
all4285,anabaena,PF03092.23,BT1 family,3.4e-139,folate/biopterin family MFS transporter
all4341,anabaena,PF01521.27,Iron-sulphur cluster biosynthesis,3.6e-15,HesB/IscA family protein
all4403,anabaena,PF13416.12,Bacterial extracellular solute-binding protein,6.3e-32,VWA domain-containing protein
all4462,anabaena,PF03209.22,PUCC protein,3.3e-109,BCD family MFS transporter
all4463,anabaena,PF00149.34,Calcineurin-like phosphoesterase,3.4e-13,exonuclease subunit SbcD
all4478,anabaena,PF29531.1,Domain of unknown function (DUF8561),1.8e-24,DoxX family protein
all4556,anabaena,PF03486.21,HI0933-like protein Rossmann domain,1.3e-78,NAD(P)/FAD-dependent oxidoreductase
all4591,anabaena,PF01070.25,FMN-dependent dehydrogenase,5.2e-18,type 2 isopentenyl-diphosphate Delta-isomerase
all4614,anabaena,PF07690.22,Major Facilitator Superfamily,6.7e-30,MFS transporter
all4618,anabaena,PF00188.33,Cysteine-rich secretory protein family,1.6e-19,CAP domain-containing protein
all4667,anabaena,PF13500.13,AAA domain,9.9e-50,dethiobiotin synthase
all4671,anabaena,PF13328.13,HD domain,5.7e-26,HD domain-containing protein
all4752,anabaena,PF05368.20,NmrA-like family,8.2e-32,SDR family oxidoreductase
all4799,anabaena,PF09335.17,VTT domain,5.4e-15,DedA family protein
all4874,anabaena,PF13460.13,NAD(P)H-binding,2.2e-43,SDR family oxidoreductase
all4895,anabaena,PF03055.22,Retinal pigment epithelial membrane protein,8.7e-127,carotenoid oxygenase family protein
all4916,anabaena,PF14072.12,DNA-sulfur modification-associated,9.1e-11,DGQHR domain-containing protein
all4967,anabaena,PF05728.19,Uncharacterised protein family (UPF0227),2.2e-64,YqiA/YcfP family alpha/beta fold hydrolase
all4972,anabaena,PF10400.16,Virulence activator alpha C-term,4e-23,PadR family transcriptional regulator
all5037,anabaena,PF13483.13,Beta-lactamase superfamily domain,4.7e-32,MBL fold metallo-hydrolase
all5093,anabaena,PF09335.17,VTT domain,9.3e-24,DedA family protein
all5096,anabaena,PF01595.26,Cyclin M transmembrane N-terminal domain,1.8e-42,hemolysin family protein
all5102,anabaena,PF00535.33,Glycosyl transferase family 2,1.1e-19,TIGR04283 family arsenosugar biosynthesis glycosyltransferase
all5119,anabaena,PF09335.17,VTT domain,3e-26,TVP38/TMEM64 family protein
all5132,anabaena,PF01850.28,PIN domain,4.4e-11,type II toxin-antitoxin system VapC family toxin
all5169,anabaena,PF08847.17,Chlororespiratory reduction 6,1.7e-75,CRR6 family NdhI maturation factor
all5246,anabaena,PF09721.16,Transmembrane exosortase (Exosortase_EpsH),6.8e-45,cyanoexosortase A
all5255,anabaena,PF02578.22,Multi-copper polyphenol oxidoreductase laccase,9.8e-47,peptidoglycan editing factor PgeF
all5292,anabaena,PF09367.17,CpeS-like protein,8.2e-46,phycobiliprotein lyase
all5305,anabaena,PF13460.13,NAD(P)H-binding,2.3e-33,SDR family oxidoreductase
all5342,anabaena,PF13506.14,Glycosyl transferase family 21,1.1e-23,glycosyltransferase
all5343,anabaena,PF13506.14,Glycosyl transferase family 21,1.7e-26,glycosyltransferase
alr0024,anabaena,PF13369.13,Transglutaminase-like superfamily,1.9e-57,SirB1 family protein
alr0114,anabaena,PF04278.18,Tic22-like family,6.9e-18,outer membrane biogenesis proteinTic22
alr0116,anabaena,PF01300.25,Telomere recombination,1.9e-39,L-threonylcarbamoyladenylate synthase
alr0149,anabaena,PF01850.28,PIN domain,6.6e-16,type II toxin-antitoxin system VapC family toxin
alr0159,anabaena,PF00534.27,Glycosyl transferases group 1,1.4e-21,glycosyltransferase family 4 protein
alr0201,anabaena,PF01300.25,Telomere recombination,8.3e-45,L-threonylcarbamoyladenylate synthase
alr0303,anabaena,PF19493.5,Trypsin-co-occurring domain 1,1.4e-22,CU044_2847 family protein
alr0309,anabaena,PF01595.26,Cyclin M transmembrane N-terminal domain,2.6e-44,hemolysin family protein
alr0379,anabaena,PF02654.22,Cobalamin-5-phosphate synthase,8.3e-65,adenosylcobinamide-GDP ribazoletransferase
alr0446,anabaena,PF12704.15,MacB-like periplasmic core domain,6e-51,ABC transporter permease
alr0452,anabaena,PF12704.15,MacB-like periplasmic core domain,9.6e-52,ABC transporter permease
alr0480,anabaena,PF01370.28,NAD dependent epimerase/dehydratase family,9.3e-14,SDR family oxidoreductase
alr0484,anabaena,PF02361.22,Cobalt transport protein,2.9e-37,energy-coupling factor transporter transmembrane component T family protein
alr0486,anabaena,PF01168.27,"Alanine racemase, N-terminal domain",1e-21,YggS family pyridoxal phosphate-dependent enzyme
alr0519,anabaena,PF01903.24,CbiX,2.6e-19,sirohydrochlorin chelatase
alr0549,anabaena,PF05635.18,23S rRNA-intervening sequence protein,1.3e-30,four helix bundle protein
alr0617,anabaena,PF09367.17,CpeS-like protein,1.9e-73,phycobiliprotein lyase
alr0739,anabaena,PF28474.1,Domain of unknown function (DUF8412),9.2e-42,YdeI/OmpD-associated family protein
alr0776,anabaena,PF00535.33,Glycosyl transferase family 2,1.1e-20,glycosyltransferase
alr0894,anabaena,PF03364.26,Polyketide cyclase / dehydrase and lipid transport,1.3e-15,SRPBCC family protein
alr1198,anabaena,PF12850.13,Calcineurin-like phosphoesterase superfamily domain,1.6e-22,metallophosphoesterase family protein
alr1206,anabaena,PF00578.28,AhpC/TSA family,1.5e-16,thioredoxin family protein
alr1209,anabaena,PF01494.26,FAD binding domain,7.3e-15,geranylgeranyl reductase family protein
alr1352,anabaena,PF02089.22,Palmitoyl protein thioesterase,8e-13,esterase/lipase family protein
alr1372,anabaena,PF10021.16,"Microbial-type PARG, catalytic domain",4.8e-52,TIGR02452 family protein
alr1374,anabaena,PF02633.20,Creatinine amidohydrolase,2.6e-76,creatininase family protein
alr1385,anabaena,PF16955.12,"Ferrous iron uptake permease, iron-lead transporter",1.1e-13,COG4280 domain-containing protein
alr1392,anabaena,PF17765.8,MmyB-like transcription regulator ligand binding domain,7.9e-29,helix-turn-helix domain-containing protein
alr1506,anabaena,PF12704.15,MacB-like periplasmic core domain,2e-44,ABC transporter permease
alr1567,anabaena,PF01930.24,Domain of unknown function DUF83,1.6e-23,CRISPR-associated protein Cas4
alr1581,anabaena,PF14534.13,Domain of unknown function (DUF4440),3.1e-17,YybH family protein
alr1604,anabaena,PF13398.13,Peptidase M50B-like,3.8e-48,M50 family metallopeptidase
alr1612,anabaena,PF01940.22,Integral membrane protein DUF92,3.5e-67,TIGR00297 family protein
alr1621,anabaena,PF09822.17,ABC-type uncharacterized transport system,9.1e-29,GldG family protein
alr1788,anabaena,PF01593.31,Flavin containing amine oxidoreductase,3.3e-32,hydroxysqualene dehydroxylase
alr1796,anabaena,PF02021.24,Uncharacterised protein family UPF0102,5.3e-24,YraN family protein
alr1954,anabaena,PF13083.14,"KhpA/KhpB, KH domain",5.3e-16,KH domain-containing protein
alr1960,anabaena,PF10722.15,Putative bacterial sensory transduction regulator,1.6e-20,YbjN domain-containing protein
alr2018,anabaena,PF10400.16,Virulence activator alpha C-term,1.7e-16,PadR family transcriptional regulator
alr2064,anabaena,PF01593.31,Flavin containing amine oxidoreductase,6.1e-22,carotenoid isomerase
alr2074,anabaena,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,2.1e-12,VOC family protein
alr2111,anabaena,PF02254.25,TrkA-N domain,7.3e-25,potassium channel family protein
alr2122,anabaena,PF00857.27,Isochorismatase domain,5.6e-31,cysteine hydrolase family protein
alr2140,anabaena,PF13462.13,Thioredoxin,1.5e-12,DsbA family protein
alr2207,anabaena,PF09335.17,VTT domain,3.1e-30,TVP38/TMEM64 family protein
alr2298,anabaena,PF01933.24,2-phospho-L-lactate transferase CofD,4.2e-121,gluconeogenesis factor YvcK family protein
alr2308,anabaena,PF12617.14,Light dependent period A C-terminal domain,2.2e-78,circadian clock protein LdpA
alr2310,anabaena,PF00491.27,Arginase family,8.2e-47,agmatinase SpeB
alr2363,anabaena,PF07690.22,Major Facilitator Superfamily,5.6e-21,MFS transporter
alr2393,anabaena,PF17310.8,Family of unknown function (DUF5357),7e-171,filament integrity protein FraD
alr2404,anabaena,PF07063.20,2-oxoadipate dioxygenase/decarboxylase,8.3e-27,DUF1338 domain-containing protein
alr2408,anabaena,PF00535.33,Glycosyl transferase family 2,2.7e-24,TIGR04283 family arsenosugar biosynthesis glycosyltransferase
alr2434,anabaena,PF07690.22,Major Facilitator Superfamily,6.7e-21,MFS transporter
alr2462,anabaena,PF03647.19,Transmembrane proteins 14C,4.5e-25,TMEM14 family protein
alr2467,anabaena,PF02698.24,DUF218 domain,5.8e-37,YdcF family protein
alr2488,anabaena,PF01906.25,Putative heavy-metal-binding,1.1e-33,YbjQ family protein
alr2569,anabaena,PF03965.23,Penicillinase repressor,1.5e-30,BlaI/MecI/CopY family transcriptional regulator
alr2577,anabaena,PF11103.15,Protein of unknown function (DUF2887),4e-74,Rpn family recombination-promoting nuclease/putative transposase
alr2628,anabaena,PF13911.13,AhpC/TSA antioxidant enzyme,1.5e-25,peroxiredoxin-like family protein
alr2710,anabaena,PF13230.12,Glutamine amidotransferases class-II,3.9e-17,ergothioneine biosynthesis protein EgtC
alr2711,anabaena,PF03781.24,Sulfatase-modifying factor enzyme 1-like domain,1.6e-59,ergothioneine biosynthesis protein EgtB
alr2751,anabaena,PF13460.13,NAD(P)H-binding,7.1e-51,SDR family oxidoreductase
alr2752,anabaena,PF31186.1,Endolysin,2.5e-12,glycoside hydrolase family 24 protein
alr2762,anabaena,PF10726.15,Protein of function (DUF2518),5.2e-67,Ycf51 family protein
alr2784,anabaena,PF07697.17,7TM-HD extracellular,8.5e-53,HD family phosphohydrolase
alr2802,anabaena,PF02656.21,Domain of unknown function (DUF202),9e-20,YidH family protein
alr2822,anabaena,PF00092.35,von Willebrand factor type A domain,3.2e-11,vWA domain-containing protein
alr2826,anabaena,PF01266.31,FAD dependent oxidoreductase,1.5e-61,L-2-hydroxyglutarate oxidase
alr2903,anabaena,PF13460.13,NAD(P)H-binding,1.4e-29,SDR family oxidoreductase
alr2922,anabaena,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,2.2e-14,VOC family protein
alr3026,anabaena,PF04290.19,"Tripartite ATP-independent periplasmic transporters, DctQ component",4.3e-21,TRAP transporter small permease subunit
alr3097,anabaena,PF12345.14,Protein of unknown function (DUF3641),6.7e-54,arsenosugar biosynthesis radical SAM (seleno)protein ArsS
alr3238,anabaena,PF10057.15,Na+-translocating membrane potential-generating system (MpsC),3.3e-32,DUF2294 domain-containing protein
alr3252,anabaena,PF00106.32,short chain dehydrogenase,1.8e-31,SDR family NAD(P)-dependent oxidoreductase
alr3362,anabaena,PF21537.3,DUF1980 C-terminal domain,7.4e-22,TIGR03943 family putative permease subunit
alr3414,anabaena,PF03703.22,Bacterial PH domain,3.4e-11,PH domain-containing protein
alr3434,anabaena,PF14355.13,HEPN-like domain,2.8e-52,STM4504/CBY_0614 family protein
alr3448,anabaena,PF01040.24,UbiA prenyltransferase family,2e-45,homogentisate phytyltransferase
alr3469,anabaena,PF01850.28,PIN domain,9.2e-14,type II toxin-antitoxin system VapC family toxin
alr3496,anabaena,PF22296.3,bAvd-like,2e-21,diversity-generating retroelement protein Avd
alr3506,anabaena,PF01040.24,UbiA prenyltransferase family,1.3e-20,decaprenyl-phosphate phosphoribosyltransferase
alr3513,anabaena,PF02657.22,Fe-S metabolism associated domain,3e-44,SufE family protein
alr3529,anabaena,PF27865.1,Conserved hypothetical protein CHP04376,5.3e-85,TIGR04376 family protein
alr3573,anabaena,PF04055.28,Radical SAM superfamily,1.2e-13,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofG"
alr3703,anabaena,PF03547.24,Membrane transport protein,4.2e-16,AEC family transporter
alr3729,anabaena,PF07366.19,SnoaL-like polyketide cyclase,6.5e-35,nuclear transport factor 2 family protein
alr3760,anabaena,PF13581.13,Histidine kinase-like ATPase domain,7.1e-19,ATP-binding protein
alr3901,anabaena,PF01641.27,SelR domain,1.6e-50,peptide-methionine (R)-S-oxide reductase MsrB
alr4009,anabaena,PF00487.31,Fatty acid desaturase,9.6e-38,beta-carotene hydroxylase
alr4010,anabaena,PF00027.36,Cyclic nucleotide-binding domain,4.8e-13,Crp/Fnr family transcriptional regulator
alr4030,anabaena,PF24724.3,Family of unknown function (DUF7676),4.7e-63,(2Fe-2S) ferredoxin domain-containing protein
alr4059,anabaena,PF00550.32,Phosphopantetheine attachment site,3.2e-15,acyl carrier protein
alr4100,anabaena,PF04536.21,TPM domain,8e-28,photosystem II repair protein Psb32
alr4129,anabaena,PF04055.28,Radical SAM superfamily,1.5e-15,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofH"
alr4170,anabaena,PF06799.17,Conserved in the green lineage and diatoms 27,3.4e-66,CGLD27 family protein
alr4176,anabaena,PF05977.20,Transmembrane secretion effector,3e-16,MFS transporter
alr4229,anabaena,PF03235.20,"GmrSD restriction endonuclease, N-terminal domain",3.3e-32,DUF262 domain-containing protein
alr4275,anabaena,PF11103.15,Protein of unknown function (DUF2887),3.7e-21,Rpn family recombination-promoting nuclease/putative transposase
alr4323,anabaena,PF02485.28,Core-2/I-Branching enzyme,2.5e-27,"beta-1,6-N-acetylglucosaminyltransferase"
alr4469,anabaena,PF00903.32,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,5.4e-23,SMU1112c/YaeR family gloxylase I-like metalloprotein
alr4543,anabaena,PF13354.13,Beta-lactamase enzyme family,2.5e-89,serine hydrolase
alr4631,anabaena,PF01593.31,Flavin containing amine oxidoreductase,4.6e-13,phytoene desaturase family protein
alr4655,anabaena,PF01869.27,BadF/BadG/BcrA/BcrD ATPase family,2.4e-41,N-acetylglucosamine kinase
alr4696,anabaena,PF00472.27,RF-1 domain,7.6e-25,alternative ribosome rescue aminoacyl-tRNA hydrolase ArfB
alr4711,anabaena,PF13386.13,Cytochrome C biogenesis protein transmembrane region,5.8e-45,sulfite exporter TauE/SafE family protein
alr4847,anabaena,PF12706.14,Beta-lactamase superfamily domain,1.5e-20,MBL fold metallo-hydrolase
alr5027,anabaena,PF01243.28,Pyridoxamine 5'-phosphate oxidase,2.7e-22,HugZ family protein
alr5055,anabaena,PF10646.15,Sporulation and spore germination,5.7e-28,GerMN domain-containing protein
alr5087,anabaena,PF09685.16,Magnetosome magnetite crystal formation protein family,3.4e-13,DUF4870 domain-containing protein
alr5129,anabaena,PF03692.21,Putative zinc- or iron-chelating domain,2.6e-13,YkgJ family cysteine cluster protein
alr5156,anabaena,PF03235.20,"GmrSD restriction endonuclease, N-terminal domain",3e-20,DUF262 domain-containing protein
alr5159,anabaena,PF07510.17,"GmrSD restriction endonucleases, C-terminal domain",1e-25,HNH endonuclease family protein
alr5186,anabaena,PF09335.17,VTT domain,4.3e-29,TVP38/TMEM64 family protein
alr5235,anabaena,PF00534.27,Glycosyl transferases group 1,2.7e-30,glycosyltransferase family 4 protein
alr5239,anabaena,PF00534.27,Glycosyl transferases group 1,5.4e-32,glycosyltransferase
alr5361,anabaena,PF02608.21,ABC transporter substrate-binding protein PnrA-like,8.7e-60,BMP family protein
asl0491,anabaena,PF10985.14,Protein of unknown function (DUF2805),2.5e-34,TIGR03643 family protein
asl0793,anabaena,PF14255.12,Bacterial zinc ribbon domain,2.6e-23,CPXCG motif-containing cysteine-rich protein
asl0795,anabaena,PF04193.20,PQ loop repeat,2e-12,SemiSWEET family sugar transporter
asl0845,anabaena,PF02416.22,mttA/Hcf106 family,1.8e-20,TatA/E family twin arginine-targeting protein translocase
asl1434,anabaena,PF05082.19,Rop-like,4.5e-30,CCE_0567 family metalloprotein
asl2451,anabaena,PF26637.1,Family of unknown function (DUF8210),8.9e-40,"photosystem II protein, Psb35-related"
asl2557,anabaena,PF11347.15,Protein CHLORORESPIRATORY REDUCTION 42-like,1.1e-35,regulatory protein SipA
asl3112,anabaena,PF10742.15,Protein of unknown function (DUF2555),1.1e-30,protein IsiD
