protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed
WP_011377402.1,WP_010998250.1,Synpcc7942_0018,alr4111,RBH,True
WP_011378428.1,WP_010998516.1,Synpcc7942_2365,all4379,RBH,True
WP_196794073.1,WP_010997742.1,Synpcc7942_1566,alr3593,RBH,True
WP_407830101.1,WP_010994226.1,Synpcc7942_0611,all0049,RBH,True
WP_011244823.1,WP_010997708.1,Synpcc7942_1527,all3558,RBH,True
WP_011243718.1,WP_010998148.1,Synpcc7942_0098,all4008,RBH,True
WP_011378301.1,WP_010996600.1,Synpcc7942_2071,all2444,RBH,True
WP_011242728.1,WP_010999574.1,Synpcc7942_1133,alr7014,RBH,True
WP_011377790.1,WP_044521794.1,Synpcc7942_0924,alr3511,RBH,True
WP_011243548.1,WP_010995886.1,Synpcc7942_0277,all1717,RBH,True
WP_011243145.1,WP_010994315.1,Synpcc7942_0697,all0138,RBH,True
WP_011243832.1,WP_010995281.1,Synpcc7942_2588,alr1108,RBH,True
WP_011242648.1,WP_010997037.1,Synpcc7942_1216,alr2886,RBH,True
WP_011242913.1,WP_010998322.1,Synpcc7942_0941,all4183,RBH,True
WP_011243299.1,WP_044521778.1,Synpcc7942_0534,alr3464,RBH,True
WP_011244666.1,WP_010996648.1,Synpcc7942_1735,alr2492,RBH,True
WP_011377861.1,WP_010995156.1,Synpcc7942_1096,all0982,RBH,True
WP_039755810.1,WP_044522153.1,Synpcc7942_0799,all4307,RBH,True
WP_011378145.1,WP_010994617.1,Synpcc7942_1694,all0441,RBH,True
WP_011244796.1,WP_010996054.1,Synpcc7942_1501,alr1890,RBH,True
WP_011378025.1,WP_010998968.1,Synpcc7942_1410,alr4840,RBH,True
WP_011244566.1,WP_010997591.1,Synpcc7942_1838,alr3441,RBH,True
WP_011242444.1,WP_010995693.1,Synpcc7942_1426,alr1524,RBH,True
WP_011377403.1,WP_010995520.1,Synpcc7942_0019,alr1348,RBH,True
WP_039755959.1,WP_010997860.1,Synpcc7942_1577,all3717,RBH,True
WP_011378251.1,WP_010999126.1,Synpcc7942_1954,alr5000,RBH,True
WP_011244430.1,WP_010998098.1,Synpcc7942_1976,alr3957,RBH,True
WP_011244097.1,WP_010999165.1,Synpcc7942_2315,all5039,RBH,True
WP_011377767.1,WP_010996319.1,Synpcc7942_0859,all2161,RBH,True
WP_011244507.1,WP_010995589.1,Synpcc7942_1898,all1417,RBH,True
WP_011378217.1,WP_010997822.1,Synpcc7942_1846,all3678,RBH,True
WP_011243189.1,WP_010998386.1,Synpcc7942_0651,all4248,RBH,True
WP_011377539.1,WP_010994182.1,Synpcc7942_0336,all0005,RBH,True
WP_011378158.1,WP_010995995.1,Synpcc7942_1719,alr1827,RBH,True
WP_011378303.1,WP_010996602.1,Synpcc7942_2073,alr2446,RBH,True
WP_011244321.1,WP_010998520.1,Synpcc7942_2082,alr4383,RBH,True
WP_011244001.1,WP_010998211.1,Synpcc7942_2415,all4071,RBH,True
WP_011242392.1,WP_010998043.1,Synpcc7942_1621,all3902,RBH,True
WP_011243361.1,WP_010998321.1,Synpcc7942_0469,all4182,RBH,True
WP_011378199.1,WP_010998036.1,Synpcc7942_1809,all3895,RBH,True
WP_011377666.1,WP_010998429.1,Synpcc7942_0656,alr4291,RBH,True
WP_011378345.1,WP_010996484.1,Synpcc7942_2156,alr2328,RBH,True
WP_011243411.1,WP_010996036.1,Synpcc7942_0417,all1872,RBH,True
WP_011377653.1,WP_010996465.1,Synpcc7942_0625,alr2309,RBH,True
WP_011243817.1,WP_010995125.1,Synpcc7942_2603,alr0951,RBH,True
WP_011378061.1,WP_010996538.1,Synpcc7942_1512,all2382,RBH,True
WP_011378127.1,WP_010994968.1,Synpcc7942_1652,all0794,RBH,True
WP_011378031.1,WP_269083605.1,Synpcc7942_1432,all3536,RBH,True
WP_011243400.1,WP_010997672.1,Synpcc7942_0428,alr3522,RBH,True
WP_011377934.1,WP_010996225.1,Synpcc7942_1246,alr2064,RBH,True
WP_011378187.1,WP_044522419.1,Synpcc7942_1778,all4960,RBH,True
WP_011378451.1,WP_044522336.1,Synpcc7942_2409,alr4784,RBH,True
WP_011377787.1,WP_044523181.1,Synpcc7942_0918,alr3602,RBH,True
WP_011378028.1,WP_010999202.1,Synpcc7942_1420,all5076,RBH,True
WP_011242391.1,WP_010998434.1,Synpcc7942_1620,all4296,RBH,True
WP_011244078.1,WP_010998159.1,Synpcc7942_2334,all4019,RBH,True
WP_011244621.1,WP_010997444.1,Synpcc7942_1782,alr3293,RBH,True
WP_011378010.1,WP_010995469.1,Synpcc7942_1381,alr1297,RBH,True
WP_011243156.1,WP_010996060.1,Synpcc7942_0685,alr1896,RBH,True
WP_011378498.1,WP_010996043.1,Synpcc7942_2518,alr1879,RBH,True
WP_011378151.1,WP_010995054.1,Synpcc7942_1708,alr0880,RBH,True
WP_011242720.1,WP_010994410.1,Synpcc7942_1142,all0233,RBH,True
WP_039755849.1,WP_010997416.1,Synpcc7942_0645,alr3265,RBH,True
WP_011242737.1,WP_010998583.1,Synpcc7942_1124,all4450,RBH,True
WP_011378270.1,WP_010998711.1,Synpcc7942_2000,alr4579,RBH,True
WP_011242734.1,WP_010999343.1,Synpcc7942_1127,all5219,RBH,True
WP_011244041.1,WP_010995484.1,Synpcc7942_2374,alr1312,RBH,True
WP_011242491.1,WP_010995113.1,Synpcc7942_1379,alr0939,RBH,True
WP_011244376.1,WP_010995224.1,Synpcc7942_2029,alr1050,RBH,True
WP_011377825.1,WP_010994504.1,Synpcc7942_1003,all0328,RBH,True
WP_011377726.1,WP_010996140.1,Synpcc7942_0782,alr1978,RBH,True
WP_039755911.1,WP_010998028.1,Synpcc7942_2475,alr3887,RBH,True
WP_011377413.1,WP_010999399.1,Synpcc7942_0039,alr5275,RBH,True
WP_011242454.1,WP_010999009.1,Synpcc7942_1415,all4883,RBH,True
WP_011243134.1,WP_010994768.1,Synpcc7942_0708,all0592,RBH,True
WP_011378324.1,WP_010995227.1,Synpcc7942_2117,all1053,RBH,True
WP_011378266.1,WP_010996000.1,Synpcc7942_1983,alr1832,RBH,True
WP_011243849.1,WP_010999448.1,Synpcc7942_2571,alr5324,RBH,True
WP_011243893.1,WP_010997827.1,Synpcc7942_2526,alr3684,RBH,True
WP_011377750.1,WP_010997802.1,Synpcc7942_0830,alr3658,RBH,True
WP_011243197.1,WP_010998846.1,Synpcc7942_0640,alr4715,RBH,True
WP_011377450.1,WP_010995568.1,Synpcc7942_0118,alr1396,RBH,True
WP_011378314.1,WP_044522105.1,Synpcc7942_2093,alr4158,RBH,True
WP_011377831.1,WP_010995100.1,Synpcc7942_1014,all0926,RBH,True
WP_011242999.1,WP_010999229.1,Synpcc7942_0853,alr5103,RBH,True
WP_011378319.1,WP_010996304.1,Synpcc7942_2109,all2146,RBH,True
WP_407830099.1,WP_044523285.1,Synpcc7942_0868,alr4515,RBH,True
WP_039756002.1,WP_010997788.1,Synpcc7942_1001,alr3644,RBH,True
WP_011243803.1,WP_010997795.1,Synpcc7942_0004,all3651,RBH,True
WP_011377564.1,WP_010997244.1,Synpcc7942_0396,all3093,RBH,True
WP_231621326.1,WP_010998469.1,Synpcc7942_0878,alr4331,RBH,True
WP_011242430.1,WP_044520586.1,Synpcc7942_1439,alr0348,RBH,True
WP_011243543.1,WP_010998936.1,Synpcc7942_0282,alr4806,RBH,True
WP_011377415.1,WP_044520608.1,Synpcc7942_0044,all0405,RBH,True
WP_011377979.1,WP_010999062.1,Synpcc7942_1314,all4936,RBH,True
WP_011377530.1,WP_010995043.1,Synpcc7942_0309,alr0869,RBH,True
WP_011242624.1,WP_010994783.1,Synpcc7942_1240,alr0607,RBH,True
WP_039755558.1,WP_010999096.1,Synpcc7942_2390,all4970,RBH,True
WP_011377443.1,WP_010996641.1,Synpcc7942_0105,alr2485,RBH,True
WP_039755651.1,WP_010996116.1,Synpcc7942_1771,alr1952,RBH,True
WP_011377532.1,WP_010997545.1,Synpcc7942_0315,alr3395,RBH,True
WP_011242480.1,WP_010997721.1,Synpcc7942_0893,all3572,RBH,True
WP_011242480.1,WP_010997721.1,Synpcc7942_0893,alr3727,RBH,True
WP_011242480.1,WP_010997721.1,Synpcc7942_0893,alr4592,RBH,True
WP_011242480.1,WP_010997721.1,Synpcc7942_1389,all3572,RBH,True
WP_011242480.1,WP_010997721.1,Synpcc7942_1389,alr3727,RBH,True
WP_011242480.1,WP_010997721.1,Synpcc7942_1389,alr4592,RBH,True
WP_011243129.1,WP_010996657.1,Synpcc7942_0713,all2501,RBH,True
WP_011243549.1,WP_044522577.1,Synpcc7942_0276,alr5269,RBH,True
WP_011377496.1,WP_044521345.1,Synpcc7942_0211,alr2377,RBH,True
WP_196794078.1,WP_010997935.1,Synpcc7942_2143,all3794,RBH,True
WP_039755450.1,WP_010994305.1,Synpcc7942_0385,alr0128,RBH,True
WP_011377431.1,WP_044520689.1,Synpcc7942_0082,all0640,RBH,True
WP_011378495.1,WP_010995394.1,Synpcc7942_2512,alr1222,RBH,True
WP_011377940.1,WP_010996853.1,Synpcc7942_1259,all2700,RBH,True
WP_011243233.1,WP_010998776.1,Synpcc7942_0603,all4645,RBH,True
WP_011377649.1,WP_010995586.1,Synpcc7942_0618,alr1414,RBH,True
WP_011243798.1,WP_010998928.1,Synpcc7942_0009,alr4798,RBH,True
WP_011378476.1,WP_010998263.1,Synpcc7942_2463,alr4124,RBH,True
WP_011378200.1,WP_010998032.1,Synpcc7942_1810,all3891,RBH,True
WP_011242478.1,WP_010998228.1,Synpcc7942_1391,alr4088,RBH,True
WP_011244658.1,WP_010997506.1,Synpcc7942_1743,alr3355,RBH,True
WP_011244529.1,WP_010995921.1,Synpcc7942_1875,alr1753,RBH,True
WP_011378237.1,WP_010995412.1,Synpcc7942_1911,alr1240,RBH,True
WP_011377912.1,WP_010998876.1,Synpcc7942_1198,alr4745,RBH,True
WP_011242509.1,WP_010995770.1,Synpcc7942_1359,all1601,RBH,True
WP_011377573.1,WP_044522977.1,Synpcc7942_0420,all2349,RBH,True
WP_011378181.1,WP_010998164.1,Synpcc7942_1767,all4024,RBH,True
WP_011243185.1,WP_010998428.1,Synpcc7942_0655,alr4290,RBH,True
WP_011243185.1,WP_010998428.1,Synpcc7942_0655,alr4548,RBH,True
WP_011243185.1,WP_010998428.1,Synpcc7942_1637,alr4290,RBH,True
WP_011243185.1,WP_010998428.1,Synpcc7942_1637,alr4548,RBH,True
WP_011244073.1,WP_010994659.1,Synpcc7942_2340,alr0483,RBH,True
WP_011377447.1,WP_010995436.1,Synpcc7942_0111,alr1264,RBH,True
WP_011242885.1,WP_010999249.1,Synpcc7942_0970,all5123,RBH,True
WP_011377518.1,WP_010994926.1,Synpcc7942_0279,alr0752,RBH,True
WP_011242552.1,WP_010998703.1,Synpcc7942_1315,alr4571,RBH,True
WP_011244022.1,WP_010997356.1,Synpcc7942_2393,all3205,RBH,True
WP_011377863.1,WP_044522901.1,Synpcc7942_1100,alr2009,RBH,True
WP_011243529.1,WP_010999264.1,Synpcc7942_0295,all5138,RBH,True
WP_011244573.1,WP_010994228.1,Synpcc7942_1831,alr0051,RBH,True
WP_011242968.1,WP_010998475.1,Synpcc7942_0884,all4337,RBH,True
WP_011377965.1,WP_010995495.1,Synpcc7942_1292,all1323,RBH,True
WP_011377651.1,WP_044520713.1,Synpcc7942_0623,all0737,RBH,True
WP_011378519.1,WP_044521006.1,Synpcc7942_2562,alr1600,RBH,True
WP_011243296.1,WP_010997494.1,Synpcc7942_0537,alr3343,RBH,True
WP_011244433.1,WP_010997550.1,Synpcc7942_1973,alr3400,RBH,True
WP_011243901.1,WP_010994342.1,Synpcc7942_2515,alr0165,RBH,True
WP_011244814.1,WP_010995760.1,Synpcc7942_1519,all1591,RBH,True
WP_011243198.1,WP_010997688.1,Synpcc7942_0639,all3538,RBH,True
WP_011378188.1,WP_010999087.1,Synpcc7942_1779,alr4961,RBH,True
WP_011377973.1,WP_010995721.1,Synpcc7942_1305,alr1552,RBH,True
WP_011378516.1,WP_010994940.1,Synpcc7942_2555,alr0766,RBH,True
WP_011377472.1,WP_010997057.1,Synpcc7942_0158,all2906,RBH,True
WP_011377631.1,WP_010999171.1,Synpcc7942_0580,alr5045,RBH,True
WP_011378256.1,WP_010997702.1,Synpcc7942_1965,all3552,RBH,True
WP_011377869.1,WP_010999309.1,Synpcc7942_1118,all5185,RBH,True
WP_011378095.1,WP_044522294.1,Synpcc7942_1582,all4677,RBH,True
WP_011378312.1,WP_010998295.1,Synpcc7942_2091,alr4156,RBH,True
WP_011378466.1,WP_010998003.1,Synpcc7942_2448,all3862,RBH,True
WP_011377896.1,WP_010998025.1,Synpcc7942_1169,alr3884,RBH,True
WP_011378300.1,WP_010996599.1,Synpcc7942_2070,all2443,RBH,True
WP_011378386.1,WP_010994506.1,Synpcc7942_2282,all0330,RBH,True
WP_011242426.1,WP_010998695.1,Synpcc7942_1443,all4563,RBH,True
WP_011378404.1,WP_010997923.1,Synpcc7942_2317,all3782,RBH,True
WP_011378230.1,WP_010999253.1,Synpcc7942_1886,alr5127,RBH,True
WP_011243743.1,WP_010995159.1,Synpcc7942_0073,all0985,RBH,True
WP_011377466.1,WP_010998917.1,Synpcc7942_0148,alr4787,RBH,True
WP_011244771.1,WP_010996292.1,Synpcc7942_1475,all2134,RBH,True
WP_011243328.1,WP_010995216.1,Synpcc7942_0504,alr1042,RBH,True
WP_011377880.1,WP_010996489.1,Synpcc7942_1140,all2333,RBH,True
WP_011244663.1,WP_010996651.1,Synpcc7942_1738,alr2495,RBH,True
WP_011377907.1,WP_010994414.1,Synpcc7942_1190,alr0237,RBH,True
WP_011377585.1,WP_044521114.1,Synpcc7942_0455,alr1885,RBH,True
WP_011377647.1,WP_010994399.1,Synpcc7942_0612,alr0222,RBH,True
WP_011378047.1,WP_010996010.1,Synpcc7942_1473,all1842,RBH,True
WP_196794074.1,WP_010998384.1,Synpcc7942_1668,all4246,RBH,True
WP_011378152.1,WP_010997928.1,Synpcc7942_1709,all3787,RBH,True
WP_011244193.1,WP_010998335.1,Synpcc7942_2214,all4197,RBH,True
WP_011243563.1,WP_010997148.1,Synpcc7942_0262,all2997,RBH,True
WP_011378101.1,WP_010999017.1,Synpcc7942_1588,alr4891,RBH,True
WP_011244808.1,WP_044523268.1,Synpcc7942_1513,alr4351,RBH,True
WP_011378332.1,WP_044521120.1,Synpcc7942_2132,alr1900,RBH,True
WP_011378258.1,WP_010995384.1,Synpcc7942_1968,all1211,RBH,True
WP_011243627.1,WP_010998422.1,Synpcc7942_0196,all4284,RBH,True
WP_011244204.1,WP_010998324.1,Synpcc7942_2203,all4185,RBH,True
WP_011243380.1,WP_010998117.1,Synpcc7942_0449,all3976,RBH,True
WP_011244150.1,WP_010996962.1,Synpcc7942_2258,alr2811,RBH,True
WP_011244736.1,WP_010995266.1,Synpcc7942_1662,all1092,RBH,True
WP_011377868.1,WP_010998270.1,Synpcc7942_1116,all4131,RBH,True
WP_011243349.1,WP_010994893.1,Synpcc7942_0482,alr0718,RBH,True
WP_190528583.1,WP_044523083.1,Synpcc7942_0785,all2952,RBH,True
WP_011377948.1,WP_010999308.1,Synpcc7942_1269,all5184,RBH,True
WP_011243536.1,WP_010998062.1,Synpcc7942_0288,alr3921,RBH,True
WP_011377463.1,WP_010994298.1,Synpcc7942_0142,all0121,RBH,True
WP_011378229.1,WP_044522801.1,Synpcc7942_1881,alr1217,RBH,True
WP_011242524.1,WP_010994400.1,Synpcc7942_1343,alr0223,RBH,True
WP_011378280.1,WP_010997970.1,Synpcc7942_2022,alr3829,RBH,True
WP_011242435.1,WP_010994488.1,Synpcc7942_1435,alr0312,RBH,True
WP_011377448.1,WP_010996878.1,Synpcc7942_0112,alr2725,RBH,True
WP_011243077.1,WP_010999028.1,Synpcc7942_0771,all4902,RBH,True
WP_011378038.1,WP_010997964.1,Synpcc7942_1452,alr3823,RBH,True
WP_011378233.1,WP_010996231.1,Synpcc7942_1896,alr2073,RBH,True
WP_011378014.1,WP_010996547.1,Synpcc7942_1386,all2391,RBH,True
WP_011242570.1,WP_010998727.1,Synpcc7942_1297,alr4596,RBH,True
WP_231621334.1,WP_010996935.1,Synpcc7942_0779,alr2784,RBH,True
WP_011242839.1,WP_010998012.1,Synpcc7942_1019,alr3871,RBH,True
WP_011377766.1,WP_044522787.1,Synpcc7942_0858,all1069,RBH,True
WP_011377741.1,WP_010998751.1,Synpcc7942_0811,all4620,RBH,True
WP_011242475.1,WP_044521326.1,Synpcc7942_1394,alr2326,RBH,True
WP_011378321.1,WP_044522287.1,Synpcc7942_2113,alr4670,RBH,True
WP_011378112.1,WP_010998175.1,Synpcc7942_1609,all4035,RBH,True
WP_011377497.1,WP_010994971.1,Synpcc7942_0212,all0797,RBH,True
WP_011378218.1,WP_010994629.1,Synpcc7942_1854,all0453,RBH,True
WP_011243252.1,WP_010994329.1,Synpcc7942_0583,all0152,RBH,True
WP_011243680.1,WP_010997892.1,Synpcc7942_0137,alr3751,RBH,True
WP_011378346.1,WP_010995178.1,Synpcc7942_2160,alr1004,RBH,True
WP_011243247.1,WP_010995471.1,Synpcc7942_0588,alr1299,RBH,True
WP_173282550.1,WP_010994351.1,Synpcc7942_0715,all0174,RBH,True
WP_011243279.1,WP_010994898.1,Synpcc7942_0554,all0723,RBH,True
WP_011377664.1,WP_010999387.1,Synpcc7942_0649,all5263,RBH,True
WP_011378051.1,WP_010995832.1,Synpcc7942_1484,all1663,RBH,True
WP_011377963.1,WP_010999342.1,Synpcc7942_1289,all5218,RBH,True
WP_011244660.1,WP_010999191.1,Synpcc7942_1741,alr5065,RBH,True
WP_321167209.1,WP_010995254.1,Synpcc7942_0943,alr1080,RBH,True
WP_011243281.1,WP_010996653.1,Synpcc7942_0552,all2497,RBH,True
WP_011378097.1,WP_010997027.1,Synpcc7942_1584,all2876,RBH,True
WP_011244143.1,WP_044522932.1,Synpcc7942_2265,all2166,RBH,True
WP_011243343.1,WP_010996459.1,Synpcc7942_0488,all2303,RBH,True
WP_155813972.1,WP_096637227.1,Synpcc7942_0404,all0273,RBH,True
WP_011243440.1,WP_010996455.1,Synpcc7942_0386,alr2298,RBH,True
WP_011242942.1,WP_010999058.1,Synpcc7942_0912,alr4932,RBH,True
WP_011242832.1,WP_010998511.1,Synpcc7942_1026,all4374,RBH,True
WP_011243477.1,WP_010997423.1,Synpcc7942_0348,all3272,RBH,True
WP_011378058.1,WP_010995485.1,Synpcc7942_1505,alr1313,RBH,True
WP_011243741.1,WP_010994443.1,Synpcc7942_0075,all0266,RBH,True
WP_011244460.1,WP_010996861.1,Synpcc7942_1944,alr2708,RBH,True
WP_011243942.1,WP_010995927.1,Synpcc7942_2472,all1759,RBH,True
WP_011377571.1,WP_010995870.1,Synpcc7942_0414,all1701,RBH,True
WP_011377487.1,WP_010998423.1,Synpcc7942_0197,all4285,RBH,True
WP_011377464.1,WP_010994299.1,Synpcc7942_0143,all0122,RBH,True
WP_011242879.1,WP_010998262.1,Synpcc7942_0977,alr4123,RBH,True
WP_011243327.1,WP_010995215.1,Synpcc7942_0505,alr1041,RBH,True
WP_039755781.1,WP_010996858.1,Synpcc7942_0971,all2705,RBH,True
WP_011377759.1,WP_010999094.1,Synpcc7942_0842,all4968,RBH,True
WP_011243256.1,WP_010996422.1,Synpcc7942_0579,alr2265,RBH,True
WP_011378355.1,WP_010996421.1,Synpcc7942_2186,alr2264,RBH,True
WP_011378327.1,WP_010995328.1,Synpcc7942_2122,alr1155,RBH,True
WP_011243503.1,WP_010997274.1,Synpcc7942_0322,alr3123,RBH,True
WP_011243808.1,WP_010996230.1,Synpcc7942_2612,all2072,RBH,True
WP_011242878.1,WP_010998260.1,Synpcc7942_0978,all4121,RBH,True
WP_039755882.1,WP_010999060.1,Synpcc7942_0256,alr4934,RBH,True
WP_011244611.1,WP_010998517.1,Synpcc7942_1792,alr4380,RBH,True
WP_231621311.1,WP_010997419.1,Synpcc7942_1294,alr3268,RBH,True
WP_011242597.1,WP_010999215.1,Synpcc7942_1268,all5089,RBH,True
WP_011243918.1,WP_044522211.1,Synpcc7942_2498,alr4528,RBH,True
WP_011243850.1,WP_010997133.1,Synpcc7942_2570,alr2982,RBH,True
WP_011377792.1,WP_044521308.1,Synpcc7942_0928,alr2269,RBH,True
WP_011244623.1,WP_010997206.1,Synpcc7942_1780,alr3055,RBH,True
WP_011378113.1,WP_010997558.1,Synpcc7942_1610,all3408,RBH,True
WP_011243263.1,WP_010997848.1,Synpcc7942_0571,alr3705,RBH,True
WP_011378219.1,WP_010998075.1,Synpcc7942_1855,alr3934,RBH,True
WP_039755692.1,WP_010996471.1,Synpcc7942_1552,all2315,RBH,True
WP_011243128.1,WP_044523344.1,Synpcc7942_0714,all4999,RBH,True
WP_011243148.1,WP_010994313.1,Synpcc7942_0694,all0136,RBH,True
WP_039755477.1,WP_044520478.1,Synpcc7942_0300,all0087,RBH,True
WP_011242775.1,WP_010998050.1,Synpcc7942_1086,all3909,RBH,True
WP_011242559.1,WP_010995441.1,Synpcc7942_1308,all1269,RBH,True
WP_231621313.1,WP_010996271.1,Synpcc7942_1264,all2113,RBH,True
WP_011243999.1,WP_010995201.1,Synpcc7942_2417,all1027,RBH,True
WP_039755494.1,WP_010998551.1,Synpcc7942_0171,alr4416,RBH,True
WP_011377597.1,WP_010997489.1,Synpcc7942_0485,alr3338,RBH,True
WP_011243188.1,WP_010995094.1,Synpcc7942_0652,alr0920,RBH,True
