# category is assigned from the Anabaena side only (Kushige's own curated scheme; Ito publishes no equivalent) -- see notebook Sec 2.
locus_tag_7942,locus_tag_anabaena,gene_symbol_7942,gene_symbol_anabaena,annotation_7942,annotation_anabaena,category,amplitude_cv_7942,amplitude_cv_anabaena,amp_pct_7942,amp_pct_anabaena,cycling_7942,cycling_anabaena
Synpcc7942_1650,alr1786,,-,phosphorylase kinase alpha subunit,phosphorylase kinase alpha subunit,Regulatory functions,0.14390863222120054,0.29204083874109693,0.6493041749502982,0.3302098950524738,AR,AR
Synpcc7942_2199,all3578,dnaE,-,DNA polymerase III alpha subunit [Contains: Ssp dnaE intein],DNA polymerase III alpha subunit,"DNA replication, recombination, and repair",0.14203818390344244,0.46346849810292406,0.6361829025844931,0.8056596701649176,AR,AR
Synpcc7942_2047,all4607,gcvP,-,glycine dehydrogenase,glycine cleavage system protein P,"Purines, pyrimidines, nucleosides, and nucleotides",0.10563289705583984,0.2028829196280857,0.3415506958250497,0.05865817091454273,a,AR
Synpcc7942_2252,all4861,ppc,"ppc, pepC",phosphoenolpyruvate carboxylase,phosphoenolpyruvate carboxylase,Energy metabolism,0.07545220215090465,0.19130340397966342,0.10854870775347912,0.03710644677661169,AR,AR
Synpcc7942_1869,alr5294,,-,probable cation efflux system protein,probable cation efflux system protein,Transport and binding proteins,0.13079888746898463,0.4154069570685669,0.5618290258449304,0.7044602698650675,a,AR
Synpcc7942_0254,all0860,gyrA,-,DNA gyrase A subunit,DNA gyrase A subunit,"DNA replication, recombination, and repair",0.10565472754068088,0.2421432680158094,0.341948310139165,0.1619190404797601,a,AR
Synpcc7942_2049,alr5154,psaA,psaA,photosystem I reaction center subunit Ia,photosystem I reaction center subunit Ia,Photosynthesis and respiration,0.05644283441877425,0.3116888629870279,0.02743538767395626,0.404047976011994,AR,AR
Synpcc7942_0876,alr2418,alaS,-,alanyl-tRNA synthetase,alanyl-tRNA synthetase,Translation,0.09510441388873864,0.36660332665157597,0.2485089463220676,0.5762743628185907,AR,AR
Synpcc7942_0781,all0635,"ppsA, pps",-,phosphoenolpyruvate synthase,phosphoenolpyruvate synthase,Energy metabolism,0.27228595165893016,0.4705514996811095,0.9220675944333996,0.8174662668665668,AR,AR
Synpcc7942_0877,alr4330,,-,hypothetical protein,hypothetical protein,Hypothetical,0.12695204666810989,0.31758021392141,0.5312127236580517,0.4261619190404798,AR,AR
Synpcc7942_2048,alr5155,psaB,psaB,photosystem I reaction center subunit Ib,photosystem I reaction center subunit Ib,Photosynthesis and respiration,0.0644416590809737,0.44443893690813496,0.057256461232604375,0.7661169415292354,AR,AR
Synpcc7942_1416,alr2780,topA,-,DNA topoisomerase I,DNA topoisomerase I,"DNA replication, recombination, and repair",0.15667253598244066,0.19938593443466793,0.7168986083499006,0.05022488755622189,AR,AR
Synpcc7942_0587,all1318,valS,valS,valyl-tRNA synthetase,valyl-tRNA synthetase,Translation,0.14539994229797915,0.24105761324989164,0.659244532803181,0.15817091454272864,AR,AR
Synpcc7942_1920,alr3283,leuS,leuS,leucyl-tRNA synthetase,leucyl-tRNA synthetase,Translation,0.1327292310369208,0.43808312973422786,0.5749502982107356,0.7544977511244377,AR,AR
Synpcc7942_1085,all0713,glgB,glgB,14-alpha-glucan branching enzyme,"1,4-alpha-glucan branching enzyme",Central intermediary metabolism,0.14103637587879672,0.31725637641664045,0.631013916500994,0.4252248875562219,a,a
Synpcc7942_2080,all1483,,-,probable phosphoketolase 1,hypothetical protein,Hypothetical,0.3784032899952317,0.4718130185167273,0.9562624254473161,0.8193403298350824,a,AR
Synpcc7942_2045,alr1128,,-,chromosome segregation protein SMC1,chromosome segregation protein,Translation,0.10494416003918566,0.3904149958263787,0.3324055666003976,0.6428035982008995,AR,AR
Synpcc7942_0003,all3652,purL,-,phosphoribosylformyl glycinamidine synthetase II,phosphoribosylformyl glycinamidine synthetase II,"Purines, pyrimidines, nucleosides, and nucleotides",0.07952221885276915,0.2779387284557133,0.13717693836978131,0.2835457271364318,AR,AR
Synpcc7942_0194,alr1254,polA,-,DNA polymerase I,DNA polymerase I,"DNA replication, recombination, and repair",0.16109781844516088,0.35831384761972396,0.7411530815109344,0.552848575712144,a,AR
Synpcc7942_0885,all4338,fus,fus,elongation factor EF-G,translation elongation factor EF-G,Translation,0.06244904411744667,0.28218352699907967,0.046520874751491054,0.29985007496251875,AR,AR
Synpcc7942_2440,all4396,pnp,-,polyribonucleotide nucleotidyltransferase,polyribonucleotide nucleotidyltransferase,Transcription,0.1879667765383754,0.24027004893646908,0.8250497017892644,0.1555472263868066,a,AR
Synpcc7942_0563,all1132,uvrB,uvrB,excinuclease ABC subunit B,excinuclease ABC subunit B,"DNA replication, recombination, and repair",0.093607163818149,0.2607912287116412,0.2389662027833002,0.22357571214392805,AR,AR
Synpcc7942_1082,all3375,,-,cation-transporting ATPase PacL homolog,cation-transporting ATPase,Transport and binding proteins,0.0840439164469808,0.25281430319738946,0.1662027833001988,0.1939655172413793,AR,AR
Synpcc7942_0538,alr3344,"tktA, cbbT",-,transketolase,transketolase,Other categories,0.12976072747224277,0.3723951086449965,0.5526838966202783,0.5925787106446777,a,AR
Synpcc7942_1136,all0594,pepN,-,aminopeptidase,aminopeptidase,Translation,0.10144507643121793,0.23912619876293179,0.3017892644135189,0.15217391304347827,AR,AR
Synpcc7942_0942,all3642,ftsH,ftsH,cell division protein FtsH,cell division protein,Cellular processes,0.14123522320563775,0.1994584445471319,0.6314115308151094,0.050974512743628186,a,AR
Synpcc7942_2168,all4495,pcrA,-,ATP-dependent helicase PcrA,DNA helicase II,"DNA replication, recombination, and repair",0.11237202638821378,0.194576960874035,0.39602385685884695,0.041604197901049474,a,AR
Synpcc7942_1377,all1549,,-,GTP pyrophosphokinase,(p)ppGpp 3-pyrophosphohydrolase,Regulatory functions,0.07412519086921217,0.19413052697656225,0.1025844930417495,0.04047976011994003,AR,AR
Synpcc7942_1079,all4789,recG,-,DNA recombinase,DNA helicase,"DNA replication, recombination, and repair",0.11772169934079024,0.28001573939182384,0.4429423459244533,0.2906671664167916,AR,AR
Synpcc7942_2468,alr1742,dnaK,dnaK,DnaK protein,DnaK-type molecular chaperone,Cellular processes,0.18785335262026134,0.4497029443677795,0.8242544731610338,0.7762368815592204,AR,AR
Synpcc7942_1324,alr0489,,-,putative helicase,putative helicase,Other categories,0.1305162675447982,0.26970520349946336,0.5590457256461233,0.2529985007496252,AR,AR
Synpcc7942_2423,alr3561,gidA,-,glucose inhibited division protein,glucose inhibited division protein A,Cellular processes,0.07869559419582951,0.20475549710711494,0.1312127236580517,0.06221889055472264,AR,AR
Synpcc7942_0854,alr2816,,-,"hypothetical protein, predicted bile acid beta-glucosidase",hypothetical protein,Hypothetical,0.120638997717183,0.35887505945926024,0.46958250497017895,0.554160419790105,AR,AR
Synpcc7942_2369,all3143,acrF,-,RND multidrug efflux transporter  acriflavin resistance protein,RND multidrug efflux transporter,Transport and binding proteins,0.0927344050562332,0.20824354215557087,0.2337972166998012,0.07065217391304347,AR,AR
Synpcc7942_1525,all4140,typA,typA,N-terminus of GTP-binding protein TypA homolog,GTP-binding protein TypA,Regulatory functions,0.09485370157064005,0.33487845817942913,0.24731610337972168,0.48125937031484256,AR,AR
Synpcc7942_2491,all5265,gyrB,-,DNA gyrase B subunit,DNA gyrase B subunit,"DNA replication, recombination, and repair",0.11283531744604626,0.3070480893332356,0.4003976143141153,0.38624437781109444,AR,AR
Synpcc7942_0297,alr1261,ftsH,ftsH,cell division protein FtsH,cell division protein,Cellular processes,0.06826848786490662,0.3825786148817109,0.07594433399602386,0.6216266866566716,AR,AR
Synpcc7942_2020,alr3832,infB,infB,translation initiation factor IF-2,translation initiation factor IF-2,Translation,0.04729750041156495,0.23629262673959722,0.009542743538767396,0.14355322338830584,AR,AR
Synpcc7942_1293,alr4958,pheT,-,phenylalanyl-tRNA synthetase,phenylalanyl-tRNA synthetase,Translation,0.1821283321281614,0.24420272481373304,0.8095427435387674,0.16847826086956522,a,AR
Synpcc7942_0976,all3989,,-,similar to polyA polymerase,polyA polymerase,Other categories,0.15324455628286998,0.28316653437743405,0.700596421471173,0.3030359820089955,AR,AR
Synpcc7942_1622,all1741,,-,probable proteinase,probable proteinase,Translation,0.11669840661882172,0.3135675555953887,0.4357852882703777,0.4106071964017991,AR,AR
Synpcc7942_0430,alr0599,dxs,-,1-deoxyxylulose-5-phosphate synthase,1-deoxy-xylulose 5-phosphate synthase,Energy metabolism,0.0992104998260049,0.24974654044742106,0.27634194831013914,0.18478260869565216,AR,AR
Synpcc7942_1313,all2436,aspS,-,aspartyl-tRNA synthetase,aspartate--tRNA ligase,Translation,0.11552825140432554,0.4219201320758403,0.42664015904572566,0.719640179910045,a,AR
Synpcc7942_1037,all3401,speA,speA,arginine decarboxylase,arginine decarboxylase,Energy metabolism,0.04229009620504641,0.4407762375921049,0.00437375745526839,0.7603073463268366,AR,AR
Synpcc7942_0479,all2508,,lepA,GTP-binding protein,GTP-binding elongation factor,Translation,0.09753134193935696,0.22955196857318777,0.2679920477137177,0.12087706146926537,AR,AR
Synpcc7942_2606,alr0335,thrS,thrS,threonyl-tRNA synthetase,threonyl-tRNA synthetase,Translation,0.11794330691569704,0.2516356328502313,0.44612326043737577,0.19059220389805098,AR,AR
Synpcc7942_1490,alr2879,cmpC,cmpC,ABC-type bicarbonate transport system ATP-binding protein,ABC-type bicarbonate transport system ATP-binding protein,Transport and binding proteins,0.11744537052655475,0.4250589308044085,0.4401590457256461,0.7269490254872564,AR,AR
Synpcc7942_1669,all4245,kdpB,-,potassium-transporting ATPase B chain,potassium-dependent ATPase subunit B,Transport and binding proteins,0.4815140013610114,0.3093575213177281,0.9713717693836978,0.3954272863568216,b,AR
Synpcc7942_2580,alr2990,dnaK,dnaK,DnaK protein,DnaK-type molecular chaperone,Cellular processes,0.13548573729314914,0.23047200308066512,0.5924453280318092,0.12256371814092953,AR,c
Synpcc7942_2313,alr3662,groEL-2,groEL,"groEL protein, 60kD chaperonin 2 of Synechococcus PCC7942",chaperonin GroEL,Cellular processes,0.14059986680488734,0.6507517880477356,0.6262425447316103,0.9499625187406296,AR,b
Synpcc7942_0874,alr4398,,-,putative SNF2 helicase,SNF2 helicase homolog,"DNA replication, recombination, and repair",0.10626713564582413,0.26688063128549416,0.3475149105367793,0.24212893553223389,AR,AR
Synpcc7942_1977,alr3956,ndhF1,ndhF1,NADH dehydrogenase subunit 5,NADH dehydrogenase subunit 5,Photosynthesis and respiration,0.05627120046091988,0.24476765677348356,0.026242544731610338,0.17035232383808097,AR,AR
Synpcc7942_1235,alr0612,narB,narB,ferredoxin--nitrate reductase,ferredoxin--nitrate reductase,Amino acid biosynthesis,0.21483941726321773,0.3270346408880297,0.8751491053677932,0.4563343328335832,AR,b
Synpcc7942_1703,all0848,ams1,-,alpha-mannosidase  glycosyl hydrolases family,putative alpha-mannosidase,Central intermediary metabolism,0.056670047985586364,0.28084417804854384,0.029025844930417495,0.29347826086956524,AR,AR
Synpcc7942_1959,alr5053,proS,-,proline-tRNA ligase,prolyl-tRNA synthetase,Translation,0.15378367493874223,0.18015946782106207,0.7033797216699801,0.021739130434782608,a,AR
Synpcc7942_0189,all2846,guaA,-,GMP synthetase,GMP synthase (glutamine-hydrolyzing),"Purines, pyrimidines, nucleosides, and nucleotides",0.05702339278280412,0.22065715667694621,0.030218687872763418,0.095952023988006,AR,AR
Synpcc7942_1813,alr2323,htpG,htpG,heat shock protein HtpG,heat shock protein,Cellular processes,0.10194957225192408,0.2824784214203539,0.3061630218687873,0.3009745127436282,AR,AR
Synpcc7942_1945,alr2728,uvrC,uvrC,excinuclease ABC subunit C,excinuclease ABC subunit C,"DNA replication, recombination, and repair",0.12749686574088515,0.39605090699035367,0.5375745526838966,0.6559220389805097,AR,AR
Synpcc7942_0139,all4613,ilvB,ilvG,acetolactate synthase,acetohydroxy acid synthase,Amino acid biosynthesis,0.05387125620752332,0.3084731908450994,0.023061630218687873,0.3916791604197901,AR,AR
Synpcc7942_0328,alr0020,apcE,apcE,"phycobilisome core-membrane linker polypeptide Lcm, allophycocyanin-associated","phycobilisome core-membrane linker polypeptide Lcm, allophycocyanin-associated",Photosynthesis and respiration,0.05660614633237368,0.5670249104372418,0.028628230616302187,0.9119190404797601,AR,b
Synpcc7942_1889,alr2450,,-,hypothetical protein,hypothetical protein,Hypothetical,0.08664657096273817,0.29294430017863604,0.18369781312127237,0.33339580209895053,AR,c
Synpcc7942_0498,alr2361,,-,mannose-1-phosphate guanyltransferase,mannose-1-phosphate guanyltransferase,Energy metabolism,0.2222893956422264,0.18822870854878665,0.8831013916500994,0.03204647676161919,AR,AR
Synpcc7942_0018,alr4111,glyS,-,glycyl-tRNA synthetase beta chain,glycyl-tRNA synthetase beta chain,Translation,0.10880318679667635,0.22462833537734345,0.3697813121272366,0.10700899550224888,AR,AR
Synpcc7942_2365,all4379,"prfC, tos",-,peptide-chain-release factor 3,peptide-chain-release factor 3,Translation,0.12438725888287473,0.22219617675802014,0.5053677932405567,0.10026236881559221,a,AR
Synpcc7942_1566,alr3593,ppk,-,polyphosphate kinase,polyphosphate kinase,Central intermediary metabolism,0.12746332367073404,0.36298675616818976,0.5371769383697813,0.5650299850074962,AR,AR
Synpcc7942_0611,all0049,mutS,mutS,DNA mismatch repair protein MutS,DNA mismatch repair protein,"DNA replication, recombination, and repair",0.08376463635850742,0.21910188706876382,0.16500994035785288,0.09351574212893553,AR,AR
Synpcc7942_1527,all3558,,-,nitrogen assimilation regulatory protein,nitrogen assimilation regulatory protein,Amino acid biosynthesis,0.09602326333927466,0.41134572843182593,0.25725646123260437,0.6952773613193404,AR,AR
Synpcc7942_0098,all4008,"pyk2, pykF",-,pyruvate kinase,pyruvate kinase,Regulatory functions,0.08233003482011922,0.4618121397260911,0.1558648111332008,0.8026611694152923,AR,AR
Synpcc7942_2071,all2444,"pilB1, gspE1",-,type IV pilus assembly protein PilB  general secretion pathway protein E,general secretion pathway protein E,Cellular processes,0.0728635748709723,0.34432084615704683,0.09662027833001988,0.5116191904047976,AR,AR
Synpcc7942_0924,alr3511,"hik33, chk33, ycf26, dspA, nblS, dfr","hik33, chk33, ycf26, dspA, nblS, dfr","two-component system histidine kinase, multi-signal sensor","two-component system histidine kinase, multi-signal sensor",Regulatory functions,0.1314365777476046,0.1775467345441769,0.5654075546719682,0.018553223388305846,AR,AR
Synpcc7942_0277,all1717,lig,-,DNA ligase,DNA ligase,"DNA replication, recombination, and repair",0.10744785572040381,0.39805160061624106,0.3558648111332008,0.6604197901049476,a,AR
Synpcc7942_0697,all0138,psbB,psbB,photosystem II core light harvesting protein,photosystem II CP47 protein,Photosynthesis and respiration,0.04204777154978515,0.27558340782200336,0.003976143141153081,0.2738005997001499,AR,AR
Synpcc7942_2588,alr1108,ubiD,-,3-octaprenyl-4-hydroxybenzoate carboxy-lyase UbiD,hypothetical protein,Hypothetical,0.10424070686330443,0.2976872496942878,0.3268389662027833,0.35288605697151426,a,AR
Synpcc7942_1216,alr2886,KaiC,kaiC,circadian clock protein KaiC,circadian oscillation regulator,Other categories,0.5791733786692236,0.39623338335548286,0.9809145129224652,0.6561094452773614,b,AR
Synpcc7942_0941,all4183,,-,ATP-binding protein of ABC transporter,ATP-binding protein of ABC transporter,Transport and binding proteins,0.2702798087757318,0.17833241546204884,0.9204771371769384,0.01911544227886057,b,AR
Synpcc7942_0534,alr3464,glmS,nodM,L-glutamine:D-fructose-6-P amidotransferase,glutamine-fructose-6-P-aminotransferase,Regulatory functions,0.15195759199808728,0.325003423778659,0.6946322067594434,0.4497751124437781,a,AR
Synpcc7942_1735,alr2492,,-,ABC transporter subunit,probable ABC transporter membrane protein (ycf24),Transport and binding proteins,0.08296211496932886,0.2782458065115141,0.15904572564612326,0.28523238380809596,AR,AR
Synpcc7942_1096,all0982,thiC,thiC,thiamine biosynthesis protein ThiC,thiamin biosynthesis protein,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.2600099273449915,0.3428035063928023,0.9137176938369781,0.506559220389805,AR,AR
Synpcc7942_0799,all4307,,ChlE,"hypothetical protein, similar to Fe-S oxidoreductase",probable anaerobic magnesium protoporphyrin IX monomethyl ester cyclase,Hypothetical,0.12276435527056252,0.2541712082314702,0.48986083499005967,0.19921289355322339,AR,AR
Synpcc7942_1694,all0441,gyrA,-,DNA gyrase A subunit,DNA topoisomerase chain A,"DNA replication, recombination, and repair",0.0979948427238936,0.28479225740359465,0.27157057654075545,0.3073463268365817,AR,AR
Synpcc7942_1501,alr1890,serA,-,D-3-phosphoglycerate dehydrogenase,phosphoglycerate dehydrogenase,Amino acid biosynthesis,0.2104206034134762,0.30045008110947335,0.869582504970179,0.3626311844077961,AR,AR
Synpcc7942_1410,alr4840,leuA,leuA,2-isopropylmalate synthase,2-isopropylmalate synthase,Amino acid biosynthesis,0.08663019052910038,0.24469833464840438,0.18330019880715706,0.1701649175412294,AR,AR
Synpcc7942_1838,alr3441,chlB,chlB,light-independent protochlorophyllide reductase subunit B,light-independent protochlorophyllide reductase subunit B,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.4767016366913205,0.3134345342151825,0.9705765407554672,0.41023238380809596,b,AR
Synpcc7942_1426,alr1524,rbcL,rbcL,"ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit","ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit",Photosynthesis and respiration,0.1002665271854971,0.2762983402437099,0.2882703777335984,0.2767991004497751,a,AR
Synpcc7942_0019,alr1348,sir,sir,ferredoxin-sulfite reductase,ferredoxin-sulfite reductase,Other categories,0.35352493664758106,0.24925238534110147,0.9499005964214712,0.18272113943028487,a,AR
Synpcc7942_1577,all3717,argS,argS,arginyl-tRNA-synthetase,arginyl-tRNA-synthetase,Translation,0.19126775381983793,0.2507028812622596,0.8337972166998012,0.18721889055472263,a,AR
Synpcc7942_1954,alr5000,pyrG,-,CTP synthetase,CTP synthetase,"Purines, pyrimidines, nucleosides, and nucleotides",0.1253469889159587,0.24826374156560582,0.51610337972167,0.18047226386806597,AR,AR
Synpcc7942_1976,alr3957,ndhD1,ndhD1,NADH dehydrogenase subunit 4,NADH dehydrogenase subunit 4,Photosynthesis and respiration,0.2354463602346302,0.38869426121586,0.8962226640159046,0.6373688155922039,a,AR
Synpcc7942_2315,all5039,atpB,atpB,ATP synthase beta chain of F1,ATP synthase beta chain of F1,Photosynthesis and respiration,0.11108839832237627,0.31127972717994823,0.3860834990059642,0.4016116941529235,a,AR
Synpcc7942_0859,all2161,,-,two-component hybrid sensor and regulator,two-component hybrid sensor and regulator,Regulatory functions,0.2814895991072464,0.29890157464534656,0.9272365805168986,0.3575712143928036,a,AR
Synpcc7942_1898,all1417,leuC,leuC,3-isopropylmalate dehydratase large subunit,"3-isopropylmalate dehydratase, large chain",Amino acid biosynthesis,0.08225761216587209,0.4344443049012474,0.15467196819085488,0.7477511244377811,AR,AR
Synpcc7942_1846,all3678,,-,probable hydrolase,hypothetical protein,Hypothetical,0.09405002260052725,0.3562267729936065,0.24294234592445327,0.5464767616191905,AR,AR
Synpcc7942_0651,all4248,priA,-,primosomal protein N',primosomal protein N',"DNA replication, recombination, and repair",0.10889534213890155,0.2081393258327129,0.3705765407554672,0.06971514242878561,AR,AR
Synpcc7942_0336,all0005,atpA,atpA,ATP synthase alpha chain of F1,ATP synthase alpha chain of F1,Photosynthesis and respiration,0.1161926989758456,0.23716731084435705,0.43180914512922464,0.14636431784107945,a,AR
Synpcc7942_1719,alr1827,icd,icd,isocitrate dehydrogenase (NADP+),isocitrate dehydrogenase (NADP),Energy metabolism,0.178701949250387,0.24454727930652834,0.8003976143141153,0.1692278860569715,a,AR
Synpcc7942_2073,alr2446,dnaK,dnaK,DnaK protein,DnaK-type molecular chaperone,Cellular processes,0.1349314042981248,0.20676044820744477,0.5880715705765408,0.06577961019490255,AR,AR
Synpcc7942_2082,alr4383,fus,fus,elongation factor EF-G,translation elongation factor EF-G,Translation,0.7355909186836768,0.26706135679259985,0.9904572564612326,0.24325337331334332,b,AR
Synpcc7942_2415,all4071,lysS,lysS,lysyl-tRNA synthetase,lysyl-tRNA synthetase,Translation,0.13587451666927758,0.3222792741973294,0.5964214711729622,0.4417166416791604,a,AR
Synpcc7942_1621,all3902,,-,similar to Fe-S oxidoreductase,hypothetical protein,Hypothetical,0.14796280161629163,0.27711475986356227,0.6743538767395626,0.28073463268365817,AR,AR
Synpcc7942_0469,all4182,"yibO, pgm",-,phosphoglycerate mutase,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",Energy metabolism,0.15895681399183995,0.3203781284238037,0.7292246520874751,0.4351574212893553,a,AR
Synpcc7942_1809,all3895,dfa1,-,flavoprotein,probable flavoprotein,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.13941391017175547,0.4756524579670556,0.6190854870775347,0.8240254872563718,a,AR
Synpcc7942_0656,alr4291,psbC,psbC,photosystem II CP43 protein,photosystem II CP43 protein,Photosynthesis and respiration,0.05891990605355847,0.5191484660815764,0.0341948310139165,0.8759370314842578,AR,AR
Synpcc7942_2156,alr2328,glnA,glnA,glutamate--ammonia ligase,glutamate--ammonia ligase,Amino acid biosynthesis,0.093581772304455,0.4911152283404976,0.23817097415506958,0.8444527736131934,AR,AR
Synpcc7942_0417,all1872,,-,hypothetical protein,hypothetical protein,Hypothetical,0.12406792894706571,0.3459074390134307,0.5009940357852882,0.5151799100449775,AR,AR
Synpcc7942_0625,alr2309,ycf45,-,hypothetical protein YCF45,hypothetical protein,Hypothetical,0.1497473589719044,0.1735055746931314,0.6827037773359841,0.014805097451274363,AR,AR
Synpcc7942_2603,alr0951,ctaD,coxA1,cytochrome c oxidase subunit I,cytochrome c oxidase subunit I,Photosynthesis and respiration,0.23653203119374774,0.6792248018642336,0.8966202783300199,0.9568965517241379,a,AR
Synpcc7942_1512,all2382,zds,crtQ,zeta-carotene desaturase,zeta-carotene desaturase,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.08918662361276791,0.26997164664704587,0.20278330019880716,0.25412293853073464,AR,AR
Synpcc7942_1652,all0794,,-,"hypothetical protein, Fe-S oxidoreductase",hypothetical protein,Hypothetical,0.06576312093551746,0.3235987019061449,0.061630218687872766,0.44583958020989506,AR,AR
Synpcc7942_1432,all3536,ribA,-,riboflavin biosynthesis protein RibA,"GTP cyclohydrolase II / 3,4-dihydroxy-2-butanone 4-phosphate synthase",Regulatory functions,0.10605661369358854,0.4770013090185596,0.34512922465208745,0.8260869565217391,AR,AR
Synpcc7942_0428,alr3522,leuA,leuA,2-isopropylmalate synthase,2-isopropylmalate synthase,Amino acid biosynthesis,0.09490143758863506,0.31878643755744807,0.247713717693837,0.4302848575712144,AR,AR
Synpcc7942_1246,alr2064,,-,carotene isomerase,hypothetical protein,Hypothetical,0.09994790977706179,0.28246245951029403,0.28508946322067596,0.3007871064467766,AR,AR
Synpcc7942_1778,all4960,,-,"hypothetical protein, predicted unusual protein kinase",hypothetical protein,Hypothetical,0.19149432686124768,0.3558951454713551,0.8349900596421471,0.5451649175412294,a,AR
Synpcc7942_2409,alr4784,purA,-,adenylosuccinate synthetase,adenylosuccinate synthetase,"Purines, pyrimidines, nucleosides, and nucleotides",0.04585646737004138,0.3441789186640951,0.008349900596421472,0.5106821589205397,AR,b
Synpcc7942_0918,alr3602,fadD,-,long-chain-fatty-acid CoA ligase,probable long-chain-fatty-acid--CoA ligase,"Fatty acid, phospholipid and sterol metabolism",0.12704161393696325,0.2728149647359832,0.532803180914513,0.26499250374812594,a,AR
Synpcc7942_1420,all5076,chlN,chlN,light-independent protochlorophyllide reductase subunit N,light-independent protochlorophyllide reductase subunit N,"Biosynthesis of cofactors, prosthetic groups, and carriers",0.2891667873499278,0.34039234195937557,0.9296222664015904,0.4981259370314843,a,AR
Synpcc7942_1620,all4296,ycf46,-,hypothetical protein YCF46,hypothetical protein,Hypothetical,0.1079873948913553,0.2605525275450827,0.3610337972166998,0.22282608695652173,AR,AR
Synpcc7942_2334,all4019,zwf,zwf,glucose-6-phosphate 1-dehydrogenase,glucose 6-phosphate dehydrogenase,Energy metabolism,0.862254775750836,0.24783867761569806,0.9956262425447316,0.17916041979010494,b,c
