protein_id_7942,protein_id_anabaena,locus_tag_7942,locus_tag_anabaena,ortholog_method,rbh_confirmed,gene_symbol_7942,annotation_7942,peak_time_h_7942,corr_p_7942,amplitude_cv_7942,rhythmic_tier_7942,gene_symbol_anabaena,annotation_anabaena,peak_time_h_anabaena,corr_p_anabaena,ri_ttest_p_anabaena,amplitude_cv_anabaena,rhythmic_tier_anabaena
WP_011378199.1,WP_010998036.1,Synpcc7942_1809,all3895,RBH,True,dfa1,flavoprotein,21.8,0.01804,0.13941391017175547,a,-,probable flavoprotein,4.0,,0.111264694316638,0.4756524579670556,AR
WP_011243817.1,WP_010995125.1,Synpcc7942_2603,alr0951,RBH,True,ctaD,cytochrome c oxidase subunit I,9.4,0.00193,0.23653203119374774,a,coxA1,cytochrome c oxidase subunit I,16.0,,0.0352020389970059,0.6792248018642336,AR
WP_011378187.1,WP_044522419.1,Synpcc7942_1778,all4960,RBH,True,,"hypothetical protein, predicted unusual protein kinase",20.6,0.00488,0.19149432686124768,a,-,hypothetical protein,12.0,,0.0326765599325757,0.3558951454713551,AR
WP_011377787.1,WP_044523181.1,Synpcc7942_0918,alr3602,RBH,True,fadD,long-chain-fatty-acid CoA ligase,11.8,0.03901,0.12704161393696325,a,-,probable long-chain-fatty-acid--CoA ligase,8.0,,0.291578618095298,0.2728149647359832,AR
WP_011378028.1,WP_010999202.1,Synpcc7942_1420,all5076,RBH,True,chlN,light-independent protochlorophyllide reductase subunit N,11.6,0.00321,0.2891667873499278,a,chlN,light-independent protochlorophyllide reductase subunit N,8.0,,0.750891498781582,0.34039234195937557,AR
WP_011244078.1,WP_010998159.1,Synpcc7942_2334,all4019,RBH,True,zwf,glucose-6-phosphate 1-dehydrogenase,10.8,0.00023,0.862254775750836,b,zwf,glucose 6-phosphate dehydrogenase,16.0,,0.0218071585710811,0.24783867761569806,c
WP_011378010.1,WP_010995469.1,Synpcc7942_1381,alr1297,RBH,True,,ABC transporter ATP binding protein,22.4,0.08646,0.1539202856800577,a,-,ABC transporter ATP binding protein,16.0,,0.0777843081077279,0.30620620856417774,AR
WP_011242720.1,WP_010994410.1,Synpcc7942_1142,all0233,RBH,True,metS,methionyl-tRNA synthetase,20.8,0.00118,0.13307669681475084,a,-,methionyl-tRNA synthetase,16.0,,0.69901071870838,0.28699690415784435,AR
WP_011244376.1,WP_010995224.1,Synpcc7942_2029,alr1050,RBH,True,pgi,glucose-6-phosphate isomerase,10.8,0.00037,0.33789353035052544,b,-,glucose-6-phosphate isomerase,16.0,,0.015248809731162,0.3265759346812679,AR
WP_039755911.1,WP_010998028.1,Synpcc7942_2475,alr3887,RBH,True,argH,L-argininosuccinate lyase,22.0,0.04846,0.11835181001904294,a,-,argininosuccinate lyase,8.0,,0.297314629146776,0.2647814224367433,AR
WP_011377413.1,WP_010999399.1,Synpcc7942_0039,alr5275,RBH,True,gnd,6-phosphogluconate dehydrogenase,10.6,0.00022,0.6954435317788515,b,-,6-phosphogluconate dehydrogenase,12.0,0.038,0.0045485527470681,0.5143806512315157,b
WP_011378266.1,WP_010996000.1,Synpcc7942_1983,alr1832,RBH,True,pds,phytoene dehydrogenase (phytoene desaturase),17.4,0.01237,0.1404899816988232,a,pds,phytoene desaturase,4.0,,0.100314326756062,0.3088631926687487,c
WP_011243893.1,WP_010997827.1,Synpcc7942_2526,alr3684,RBH,True,clpX,ATP-dependent protease ATPase subunit,11.2,0.02636,0.14888521988188438,a,clpC,ATP-dependent Clp protease regulatory subunit,12.0,,0.151404781090953,0.16062901885243133,AR
WP_011242999.1,WP_010999229.1,Synpcc7942_0853,alr5103,RBH,True,dapL1,LL-diaminopimelate aminotransferase,21.2,0.02184,0.13027049947004155,a,-,aminotransferase,0.0,,0.0097841851354044,0.19513417342789358,AR
WP_039756002.1,WP_010997788.1,Synpcc7942_1001,alr3644,RBH,True,lysC,aspartate kinase,22.4,0.01586,0.20726640962465753,a,-,aspartate kinase,20.0,,0.425726453929161,0.46450070923076386,AR
WP_011243803.1,WP_010997795.1,Synpcc7942_0004,all3651,RBH,True,purF,amidophosphoribosyltransferase,23.2,0.0,0.34962249061774126,b,-,amidophosphoribosyltransferase,16.0,,0.0246696040116676,0.45503370194642645,AR
WP_011377564.1,WP_010997244.1,Synpcc7942_0396,all3093,RBH,True,purH,phosphoribosyl aminoimidazole carboxy formyl formyltransferase/inosinemonophosphate cyclohydrolase (PUR-H(J)),21.4,0.00356,0.16267172392208107,a,purH,bifunctional purine biosynthesis protein,0.0,,0.387071255827793,0.25255531291087546,AR
WP_231621326.1,WP_010998469.1,Synpcc7942_0878,alr4331,RBH,True,rne,ribonuclease E,12.6,0.00527,0.1963883018006782,a,-,ribonuclease E,20.0,,0.0799551098171499,0.24948947975989424,AR
WP_011377415.1,WP_044520608.1,Synpcc7942_0044,all0405,RBH,True,,hypothetical protein,23.4,0.00898,0.31414560414039244,a,-,hypothetical protein,16.0,,0.698925723910962,0.2928458936583108,AR
WP_039755651.1,WP_010996116.1,Synpcc7942_1771,alr1952,RBH,True,ffh,signal recognition particle protein,15.0,0.08881,0.12652383165225015,a,-,signal recognition particle protein,4.0,,0.439919706401281,0.19752090032346922,AR
WP_011242480.1,WP_010997721.1,Synpcc7942_0893,all3572,RBH,True,psbAII,photosystem II reaction center D1 protein,22.0,0.00216,0.1518785821380992,a,psbAIV,photosystem II reaction center D1 protein,4.0,0.044,0.0367586201902064,0.48238098490298736,b
WP_011243549.1,WP_044522577.1,Synpcc7942_0276,alr5269,RBH,True,glcD,glycolate dehydrogenase,2.0,0.0176,0.12701620610956815,a,glcD,glycolate dehydrogenase,20.0,,0.287982693056169,0.4329326011251658,AR
WP_039755450.1,WP_010994305.1,Synpcc7942_0385,alr0128,RBH,True,chlP,geranylgeranyl hydrogenase,23.8,0.00542,0.14074362264069462,a,chlP,geranylgeranyl reductase,12.0,,0.159052297090703,0.25519693780283603,AR
WP_011377431.1,WP_044520689.1,Synpcc7942_0082,all0640,RBH,True,mdlB,ATP-binding protein of ABC transporter,22.4,0.04779,0.12350772410144012,a,-,ATP-binding protein of ABC transporter,0.0,,0.0013337855322642,0.40647815379503355,AR
WP_011378495.1,WP_010995394.1,Synpcc7942_2512,alr1222,RBH,True,,hypothetical protein,20.4,0.00876,0.10848860308880917,a,-,hypothetical protein,16.0,,0.0230018860127902,0.17723224353759498,AR
WP_011243798.1,WP_010998928.1,Synpcc7942_0009,alr4798,RBH,True,argG,argininosuccinate synthetase,21.2,0.00042,0.18076270652720167,a,argG,argininosuccinate synthase,0.0,,0.293454900412802,0.32073284650296097,c
WP_011378476.1,WP_010998263.1,Synpcc7942_2463,alr4124,RBH,True,"metX, metK",S-adenosylmethionine synthetase,22.4,0.0017,0.1856081441634457,a,-,S-adenosylmethionine synthetase,20.0,,0.0215400978090679,0.24721957268258826,AR
WP_011242478.1,WP_010998228.1,Synpcc7942_1391,alr4088,RBH,True,comM,competence protein ComM homolog,10.4,0.00078,0.7752711949655807,b,comM,competence protein,4.0,,0.636760211703647,0.5777501413250761,AR
WP_011378237.1,WP_010995412.1,Synpcc7942_1911,alr1240,RBH,True,zam,protein conferring resistance to acetazolamide Zam,18.4,0.02948,0.1154955402104443,a,zam,Zam protein,16.0,,0.158414451069715,0.22420716567557164,AR
WP_011377912.1,WP_010998876.1,Synpcc7942_1198,alr4745,RBH,True,"phdD, lpdA",dihydrolipoamide dehydrogenase,20.0,0.02719,0.15341726613735832,a,-,dihydrolipoamide dehydrogenase,0.0,,0.912421231487633,0.3266692877182824,AR
WP_011242509.1,WP_010995770.1,Synpcc7942_1359,all1601,RBH,True,,hypothetical protein,21.4,0.07868,0.1030556474703785,a,-,hypothetical protein,12.0,,0.392290466501239,0.22226438490876999,AR
WP_011377573.1,WP_044522977.1,Synpcc7942_0420,all2349,RBH,True,,hypothetical protein,9.8,0.06942,0.15034556482746406,a,-,unknown protein,12.0,,0.489480908998848,0.2951193323900046,AR
WP_011244073.1,WP_010994659.1,Synpcc7942_2340,alr0483,RBH,True,,GTP-binding protein engA,11.0,0.06861,0.12794346500115195,a,-,GTP binding protein,4.0,,0.263114301922853,0.16972205461492365,AR
WP_011377518.1,WP_010994926.1,Synpcc7942_0279,alr0752,RBH,True,hoxF,NADH dehydrogenase I chain F,11.0,0.00222,0.45018500875039363,a,hoxF,hydrogenase subunit,12.0,,0.0172056498407257,0.3397384997996571,AR
WP_011243529.1,WP_010999264.1,Synpcc7942_0295,all5138,RBH,True,"met3, sopT",sulfate adenylyltransferase,22.0,0.00025,0.18212537824219746,a,-,sulfate adenylyltransferase,4.0,,0.0165907505802259,0.31484445340573425,AR
WP_011244573.1,WP_010994228.1,Synpcc7942_1831,alr0051,RBH,True,"guaB, gnaB",inosine-5'-monophosphate dehydrogenase,22.4,0.00998,0.1178222707521861,a,-,IMP dehydrogenase,4.0,,0.0271383956970754,0.3276723097178733,AR
WP_011377651.1,WP_044520713.1,Synpcc7942_0623,all0737,RBH,True,trxB,thioredoxin reductase,23.6,0.0252,0.2204022803742435,a,-,thioredoxin reductase,0.0,,0.913628110036264,0.25644756024330345,AR
WP_011243198.1,WP_010997688.1,Synpcc7942_0639,all3538,RBH,True,eno,enolase,21.8,0.00422,0.1945717567676853,a,-,enolase,20.0,,0.108528612838712,0.2312588224714844,AR
WP_011378516.1,WP_010994940.1,Synpcc7942_2555,alr0766,RBH,True,hoxH,NAD-reducing hydrogenase HoxS beta subunit,10.4,0.00013,0.6319452198065872,b,hoxH,hydrogenase large subunit,0.0,,0.204628129596744,0.22929726772553,AR
WP_011378256.1,WP_010997702.1,Synpcc7942_1965,all3552,RBH,True,ppx,exopolyphosphatase,21.8,0.00885,0.12230933148287504,a,-,exopolyphosphatase,12.0,,0.186694130195785,0.49001529436206226,AR
WP_011378404.1,WP_010997923.1,Synpcc7942_2317,all3782,RBH,True,ctaA,copper-transporting P-type ATPase CtaA,9.4,0.05441,0.1205367106391271,a,-,cation-transporting P-type ATPase,12.0,,0.910328475919311,0.25821915145319246,AR
WP_011378230.1,WP_010999253.1,Synpcc7942_1886,alr5127,RBH,True,recJ,single-strand-DNA-specific exonuclease RecJ,11.2,0.02039,0.14319085510844423,a,recJ,single-stranded-DNA-specific exonuclease,0.0,,0.0047067362849054,0.808122895582374,AR
WP_011377466.1,WP_010998917.1,Synpcc7942_0148,alr4787,RBH,True,,hypothetical protein,12.4,0.00526,0.2058371623287252,a,-,hypothetical protein,0.0,,0.166097527758087,3.2443493841621223,AR
WP_011377647.1,WP_010994399.1,Synpcc7942_0612,alr0222,RBH,True,gltA,citrate synthase,21.4,0.00188,0.1560187422224348,a,gltA,citrate synthase,20.0,,0.159102689148226,0.22544856758633175,AR
WP_196794074.1,WP_010998384.1,Synpcc7942_1668,all4246,RBH,True,kdpA,potassium-transporting ATPase A chain,10.2,0.00069,0.714308107743372,b,-,potassium-dependent ATPase subunit A,16.0,,0.766435479373483,0.2791268628438203,AR
WP_011378101.1,WP_010999017.1,Synpcc7942_1588,alr4891,RBH,True,,probable chloride channel protein,0.7999999999999972,0.03214,0.15033506242928477,a,-,probable chloride channel protein,0.0,,0.641702305349973,0.3769518520373403,AR
WP_011244808.1,WP_044523268.1,Synpcc7942_1513,alr4351,RBH,True,dxr,1-deoxy-d-xylulose 5-phosphate reductoisomerase,22.2,0.00013,0.13817524513218948,a,-,deoxyxylulose 5-phosphate reductoisomerase,0.0,,0.0193725776171329,0.6007086910046916,AR
WP_011378332.1,WP_044521120.1,Synpcc7942_2132,alr1900,RBH,True,manB,MrsA protein homolog  phosphomannomutase,1.6,0.06688,0.12163325923010765,a,-,phosphoglucomutase,8.0,,0.238080092157814,0.2856114347602225,AR
WP_011243380.1,WP_010998117.1,Synpcc7942_0449,all3976,RBH,True,serS,seryl-tRNA synthetase,20.2,0.07982,0.11338173135453512,a,serS,seryl-tRNA synthetase,0.0,,0.572128352511757,0.19483020369367376,AR
WP_011243536.1,WP_010998062.1,Synpcc7942_0288,alr3921,RBH,True,glmU,UDP-N-acetylglucosamine pyrophosphorylase,21.6,0.02601,0.21113280736127218,a,-,UDP-N-acetylglucosamine pyrophosphorylase,0.0,,0.557122841850379,0.19556986317751535,AR
WP_011242524.1,WP_010994400.1,Synpcc7942_1343,alr0223,RBH,True,ndhA,NADH dehydrogenase subunit 1,22.8,0.0176,0.10318980199244987,a,ndhA,NADH dehydrogenase subunit 1,8.0,,0.0736615313831739,0.19250279856276942,AR
WP_011378280.1,WP_010997970.1,Synpcc7942_2022,alr3829,RBH,True,nusA,N utilization substance protein A   transcription termination-antitermination factor,12.6,0.01568,0.17327154826200541,a,-,transcription termination factor,20.0,,0.708149696751173,0.3911485153352671,AR
WP_011378233.1,WP_010996231.1,Synpcc7942_1896,alr2073,RBH,True,argJ,arginine biosynthesis bifunctional protein ArgJ,12.0,0.00115,0.2501366480332446,a,-,glutamate N-acetyltransferase,12.0,,0.313743174594108,0.23540642656241104,AR
WP_011242839.1,WP_010998012.1,Synpcc7942_1019,alr3871,RBH,True,,4-alpha-glucanotransferase,10.6,0.01778,0.14536189424101784,a,-,4-alpha-glucanotransferase,0.0,,0.0055588422966208,0.2328433333803523,AR
WP_011377766.1,WP_044522787.1,Synpcc7942_0858,all1069,RBH,True,"pixJ1, pisJ1, taxD1, tsr, cheD",methyl-accepting chemotaxis protein,23.8,9e-05,0.3208046595656908,b,-,methyl-accepting chemotaxis protein,0.0,,0.699081305240185,1.618775197190284,AR
WP_011377741.1,WP_010998751.1,Synpcc7942_0811,all4620,RBH,True,,Na+/H+ antiporter,22.4,0.05466,0.13312473922025772,a,-,Na+/H+-exchanging protein,0.0,,0.666393450495968,0.30923929195771416,AR
WP_011378112.1,WP_010998175.1,Synpcc7942_1609,all4035,RBH,True,,ribonucleoside triphosphate reductase B,16.0,0.00267,0.14993523407022763,a,-,unknown protein,0.0,,0.714702260814399,0.21805282482591254,c
WP_011243252.1,WP_010994329.1,Synpcc7942_0583,all0152,RBH,True,chlI,Magnesium protoporphyrin IX chelatase subunit I,21.4,0.0933,0.14350473608871356,a,chlI,protoporphyrin IX magnesium chelatase chain,16.0,,0.531220299034475,0.25561928288605396,AR
WP_011378346.1,WP_010995178.1,Synpcc7942_2160,alr1004,RBH,True,"spt, agt",soluble hydrogenase 42 kD subunit  serine:pyruvate/alanine:glyoxylate aminotransferase,22.4,0.00212,0.1337785580955591,a,-,alanine--glyoxylate aminotransferase,16.0,,0.587964263050036,0.3520195344971312,AR
WP_173282550.1,WP_010994351.1,Synpcc7942_0715,all0174,RBH,True,murZ,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,0.1999999999999993,0.0552,0.15636184216136761,a,-,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,16.0,,0.0715760287538336,0.2730629956173089,AR
WP_011243279.1,WP_010994898.1,Synpcc7942_0554,all0723,RBH,True,,probable GTP binding protein,22.0,0.0047,0.18345110197176284,a,-,probable GTP-binding protein,0.0,,0.727200217466774,0.2859422467595805,AR
WP_011377664.1,WP_010999387.1,Synpcc7942_0649,all5263,RBH,True,"rpoD1, sigA",principal RNA polymerase sigma factor RpoD1,11.8,0.02698,0.14029770748956916,a,sigA,transcription initiation factor sigma,8.0,,0.0109307395145671,0.3550360863831268,AR
WP_011378051.1,WP_010995832.1,Synpcc7942_1484,all1663,RBH,True,murE,UDP-N-acetylmuramoylalanyl-D-glutamate--2 6-diaminopimelate ligase,21.6,0.00029,0.12454683508032863,a,-,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",0.0,,0.0960594298228731,0.2327603483467486,AR
WP_011243343.1,WP_010996459.1,Synpcc7942_0488,all2303,RBH,True,,hypothetical protein,11.6,0.00496,0.19845867041829368,a,-,dihydroorotase,16.0,,0.216441293393278,0.2687380317420167,AR
WP_011242832.1,WP_010998511.1,Synpcc7942_1026,all4374,RBH,True,,similar to fibronectin binding protein,22.4,0.01386,0.16548801781064257,a,-,probable fibronectin/fibrinogen-binding protein,20.0,,0.767899637541614,0.268284788886902,AR
WP_011243477.1,WP_010997423.1,Synpcc7942_0348,all3272,RBH,True,recA,RecA gene product,12.6,0.01433,0.1045386945535878,a,recA,recombination protein,0.0,,0.0841140968102252,0.46864005503322964,AR
WP_011243327.1,WP_010995215.1,Synpcc7942_0505,alr1041,RBH,True,"fbpI, glpX","fructose-1,6-/sedoheptulose-1,7-bisphosphatase",21.6,0.01572,0.13956146150439017,a,-,"fructose-1,6-/sedoheptulose-1,7-bisphosphatase",8.0,,0.0010542978497326,0.43240695173067145,AR
WP_011243256.1,WP_010996422.1,Synpcc7942_0579,alr2265,RBH,True,sqdX,sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein,22.4,0.00596,0.11891903671315952,a,sqdX,sulfolipid sulfoquinovosyldiacylglycerol biosynthesis protein,12.0,,0.935766446697339,0.4181981733243581,AR
WP_011378327.1,WP_010995328.1,Synpcc7942_2122,alr1155,RBH,True,"carA, pyrA",carbamoyl-phosphate synthase small chain,20.4,0.00018,0.12340591716619942,a,-,carbamoyl phosphate synthase small subunit,16.0,,0.399692789472196,0.37936973378479905,AR
WP_011243808.1,WP_010996230.1,Synpcc7942_2612,all2072,RBH,True,thrC,threonine synthase,20.4,0.0524,0.10713401078566306,a,thrC,threonine synthase,20.0,,0.886573746064941,0.26508989587481996,AR
WP_039755882.1,WP_010999060.1,Synpcc7942_0256,alr4934,RBH,True,ama,N-acyl-L-amino acid amidohydrolase,10.8,0.00818,0.17437619506901944,a,-,N-acyl-L-amino acid amidohydrolase,20.0,,0.160144646274991,0.30494219518306925,AR
WP_011244611.1,WP_010998517.1,Synpcc7942_1792,alr4380,RBH,True,hemB,porphobilinogen synthase,22.4,0.04756,0.10260194557850899,a,hemB,delta-aminolevulinic acid dehydratase,4.0,,0.0520392249661672,0.23408608143463552,AR
WP_011242597.1,WP_010999215.1,Synpcc7942_1268,all5089,RBH,True,,phosphoglucomutase/phosphomannomutase,22.0,0.00189,0.12253411964119103,a,-,phosphoglucomutase/phosphomannomutase,4.0,,0.0022424808101935,0.34433198671135296,AR
WP_011243918.1,WP_044522211.1,Synpcc7942_2498,alr4528,RBH,True,,similar to flotillin,9.2,0.01086,0.25363558596626634,a,-,similar to flotillin,16.0,,0.627309042759212,0.354845452567115,AR
